"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","2,700","2,700","2,700","2,700","-","2,66%"
"08/04/2020","2,630","2,630","2,630","2,600","49,17K","2,73%"
"07/04/2020","2,560","2,500","2,560","2,500","51,45K","2,81%"
"06/04/2020","2,490","2,400","2,490","2,400","3,84K","2,89%"
"03/04/2020","2,420","2,460","2,460","2,390","5,65K","-1,63%"
"02/04/2020","2,460","2,590","2,590","2,460","7,23K","-2,77%"
"01/04/2020","2,530","2,460","2,530","2,460","4,53K","2,85%"
"31/03/2020","2,460","2,400","2,470","2,360","5,56K","2,07%"
"30/03/2020","2,410","2,480","2,480","2,410","1,78K","-0,82%"
"27/03/2020","2,430","2,370","2,430","2,370","1,48K","2,97%"
"26/03/2020","2,360","2,350","2,370","2,340","2,22K","0,85%"
"25/03/2020","2,340","2,350","2,350","2,310","1,48K","1,74%"
"24/03/2020","2,300","2,240","2,300","2,240","6,71K","2,68%"
"23/03/2020","2,240","2,250","2,250","2,130","4,61K","2,28%"
"19/03/2020","2,190","2,250","2,310","2,190","23,20K","-2,67%"
"18/03/2020","2,250","2,310","2,370","2,250","38,57K","-2,60%"
"17/03/2020","2,310","2,310","2,310","2,310","1,33K","-5,71%"
"16/03/2020","2,450","2,510","2,520","2,440","7,09K","-3,16%"
"13/03/2020","2,530","2,700","2,700","2,530","14,37K","-5,95%"
"12/03/2020","2,690","2,700","2,750","2,620","1,28K","-1,82%"
"11/03/2020","2,740","2,600","2,740","2,600","10,92K","2,24%"
"10/03/2020","2,680","2,680","2,730","2,560","10,88K","-0,74%"
"09/03/2020","2,700","2,780","2,780","2,700","3,12K","-2,53%"
"06/03/2020","2,770","2,810","2,810","2,720","12,04K","-1,07%"
"05/03/2020","2,800","2,790","2,860","2,720","12,23K","1,45%"
"04/03/2020","2,760","2,820","2,820","2,740","12,76K","-1,43%"
"03/03/2020","2,800","2,810","2,850","2,760","26,36K","-0,36%"
"02/03/2020","2,810","2,800","2,860","2,800","4,00K","-1,06%"
"28/02/2020","2,840","2,800","2,880","2,800","35,26K","1,43%"
"27/02/2020","2,800","2,780","2,820","2,760","5,19K","-0,36%"
"26/02/2020","2,810","2,840","2,840","2,810","3,14K","-1,40%"
"25/02/2020","2,850","2,890","2,890","2,810","9,71K","0,00%"
"24/02/2020","2,850","2,850","2,910","2,840","6,63K","0,00%"
"21/02/2020","2,850","2,940","2,940","2,850","18,48K","-2,40%"
"20/02/2020","2,920","2,850","2,970","2,800","46,86K","1,74%"
"19/02/2020","2,870","2,830","2,870","2,820","17,59K","-1,03%"
"18/02/2020","2,900","2,850","2,930","2,800","17,47K","1,75%"
"17/02/2020","2,850","2,910","2,980","2,850","11,13K","-2,40%"
"14/02/2020","2,920","3,050","3,050","2,920","6,74K","-2,67%"
"13/02/2020","3,000","3,070","3,070","2,950","4,56K","-1,32%"
"12/02/2020","3,040","2,990","3,050","2,990","17,18K","1,33%"
