"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","6,12","6,12","6,12","6,12","-","2,86%"
"08/04/2020","5,95","6,00","6,00","5,95","2,17K","-1,65%"
"07/04/2020","6,05","5,71","6,05","5,71","0,66K","2,89%"
"06/04/2020","5,88","6,05","6,05","5,88","0,20K","0,00%"
"03/04/2020","5,88","5,88","6,05","5,71","0,71K","0,00%"
"02/04/2020","5,88","6,23","6,23","5,88","0,17K","-2,97%"
"01/04/2020","6,06","5,90","6,07","5,81","0,26K","2,71%"
"31/03/2020","5,90","5,90","5,90","5,90","0,00K","1,72%"
"30/03/2020","5,80","5,80","5,80","5,80","0,00K","2,84%"
"27/03/2020","5,64","5,74","5,80","5,64","0,29K","0,00%"
"26/03/2020","5,64","5,60","5,64","5,40","3,33K","2,92%"
"25/03/2020","5,48","5,80","5,80","5,48","4,61K","-2,84%"
"24/03/2020","5,64","5,60","5,64","5,48","0,20K","2,92%"
"23/03/2020","5,48","5,18","5,48","5,18","0,18K","2,81%"
"19/03/2020","5,33","5,35","5,65","5,33","7,44K","-2,91%"
"18/03/2020","5,49","5,49","5,65","5,49","8,49K","-2,83%"
"17/03/2020","5,65","5,65","5,65","5,65","2,21K","-4,40%"
"16/03/2020","5,91","6,09","6,09","5,91","13,84K","-4,68%"
"13/03/2020","6,20","6,30","6,30","6,12","12,13K","-4,47%"
"12/03/2020","6,49","6,70","6,70","6,49","3,50K","-2,99%"
"11/03/2020","6,69","6,52","6,70","6,35","14,46K","2,61%"
"10/03/2020","6,52","6,30","6,54","6,30","5,29K","-0,76%"
"09/03/2020","6,57","6,67","6,75","6,55","6,00K","-2,67%"
"06/03/2020","6,75","6,79","6,81","6,75","5,31K","-2,74%"
"05/03/2020","6,94","6,95","6,95","6,79","10,43K","-0,14%"
"04/03/2020","6,95","6,95","6,95","6,81","1,22K","0,00%"
"03/03/2020","6,95","6,99","6,99","6,80","3,94K","0,00%"
"02/03/2020","6,95","6,99","6,99","6,79","3,11K","-0,71%"
"28/02/2020","7,00","7,00","7,00","6,90","2,12K","0,14%"
"27/02/2020","6,99","7,00","7,00","6,85","1,70K","-0,14%"
"26/02/2020","7,00","7,00","7,00","6,91","1,04K","0,72%"
"25/02/2020","6,95","7,00","7,00","6,95","0,06K","0,00%"
"24/02/2020","6,95","7,00","7,05","6,93","2,40K","-1,42%"
"21/02/2020","7,05","7,00","7,05","6,98","2,84K","0,71%"
"20/02/2020","7,00","7,05","7,05","7,00","3,10K","0,00%"
"19/02/2020","7,00","6,93","7,00","6,93","3,69K","0,29%"
"18/02/2020","6,98","7,00","7,00","6,91","0,69K","0,00%"
"17/02/2020","6,98","7,00","7,00","6,91","3,39K","-0,29%"
"14/02/2020","7,00","7,08","7,08","7,00","6,05K","-0,71%"
"13/02/2020","7,05","7,08","7,08","7,00","5,41K","0,57%"
"12/02/2020","7,01","7,08","7,08","7,00","5,41K","-0,99%"
"11/02/2020","7,08","7,07","7,08","7,00","13,74K","0,14%"
"10/02/2020","7,07","7,00","7,07","7,00","5,85K","0,00%"
"07/02/2020","7,07","7,08","7,08","7,01","3,32K","-0,14%"
"06/02/2020","7,08","7,01","7,08","7,01","3,68K","-0,14%"
"05/02/2020","7,09","7,01","7,10","7,01","1,37K","-0,14%"
"04/02/2020","7,10","7,14","7,14","7,01","1,60K","-0,70%"
"03/02/2020","7,15","7,15","7,15","7,07","1,27K","0,14%"
"31/01/2020","7,14","7,14","7,16","7,10","2,41K","0,00%"
"30/01/2020","7,14","7,10","7,14","7,06","19,47K","0,56%"
"29/01/2020","7,10","7,05","7,16","7,05","0,70K","-0,70%"
"28/01/2020","7,15","7,11","7,16","7,06","2,64K","0,70%"
"27/01/2020","7,10","7,11","7,11","7,10","1,99K","-0,42%"
"24/01/2020","7,13","7,02","7,14","7,02","0,81K","0,14%"
"23/01/2020","7,12","7,10","7,12","7,00","3,27K","-0,42%"
"22/01/2020","7,15","7,12","7,15","7,12","2,00K","0,28%"
"21/01/2020","7,13","7,13","7,13","6,92","3,59K","0,14%"
"20/01/2020","7,12","7,10","7,12","6,97","2,16K","0,42%"
"17/01/2020","7,09","7,03","7,13","7,00","7,42K","-0,56%"
"16/01/2020","7,13","7,13","7,13","7,00","2,21K","-0,14%"
"15/01/2020","7,14","7,13","7,14","7,00","3,04K","-0,14%"
"13/01/2020","7,15","7,16","7,16","7,15","0,25K","-0,14%"
"10/01/2020","7,16","7,15","7,16","6,83","1,25K","2,29%"
"09/01/2020","7,00","6,80","7,00","6,80","4,10K","-2,51%"
"08/01/2020","7,18","7,10","7,18","6,98","32,14K","-0,14%"
"07/01/2020","7,19","7,20","7,20","7,10","1,39K","0,14%"
"06/01/2020","7,18","7,18","7,20","7,17","1,64K","-0,14%"
"03/01/2020","7,19","7,20","7,20","7,10","1,79K","-0,14%"
"02/01/2020","7,20","7,20","7,20","7,20","0,26K","0,00%"
"31/12/2019","7,20","7,23","7,23","7,11","7,25K","-0,41%"
"30/12/2019","7,23","7,15","7,25","7,11","15,97K","1,26%"
"27/12/2019","7,14","7,19","7,20","7,11","1,66K","-0,83%"
"26/12/2019","7,20","7,20","7,20","7,20","0,32K","0,00%"
"25/12/2019","7,20","7,19","7,20","7,10","2,44K","0,14%"
"24/12/2019","7,19","7,10","7,19","7,07","3,82K","0,00%"
"23/12/2019","7,19","7,18","7,19","7,07","1,96K","0,00%"
"20/12/2019","7,19","7,20","7,20","7,19","0,94K","-0,14%"
"19/12/2019","7,20","7,20","7,20","7,20","0,52K","0,00%"
"18/12/2019","7,20","7,20","7,20","7,10","0,69K","0,00%"
"17/12/2019","7,20","7,22","7,22","7,11","1,80K","-0,14%"
"16/12/2019","7,21","7,20","7,23","7,11","1,14K","0,14%"
"13/12/2019","7,20","7,20","7,20","7,10","6,12K","-0,41%"
"12/12/2019","7,23","7,20","7,23","7,10","1,32K","0,00%"
"11/12/2019","7,23","7,23","7,23","7,23","0,37K","1,12%"
"10/12/2019","7,15","7,15","7,23","7,15","7,26K","0,00%"
"09/12/2019","7,15","7,15","7,15","7,10","0,32K","0,00%"
"06/12/2019","7,15","7,19","7,19","7,08","1,05K","0,00%"
"05/12/2019","7,15","7,19","7,19","7,10","1,29K","0,70%"
"04/12/2019","7,10","7,15","7,15","7,10","4,55K","-0,70%"
"03/12/2019","7,15","7,11","7,20","7,11","2,43K","-0,56%"
"02/12/2019","7,19","7,20","7,20","7,13","1,72K","0,42%"
"29/11/2019","7,16","7,16","7,23","7,16","2,09K","-0,97%"
"28/11/2019","7,23","7,24","7,24","7,16","1,55K","-0,14%"
"27/11/2019","7,24","7,24","7,24","7,16","1,21K","0,00%"
"26/11/2019","7,24","7,29","7,29","7,16","2,61K","0,00%"
"25/11/2019","7,24","7,29","7,29","7,15","2,94K","-0,69%"
"22/11/2019","7,29","7,37","7,37","7,15","2,77K","-0,82%"
"21/11/2019","7,35","7,17","7,39","7,17","2,47K","-0,54%"
"20/11/2019","7,39","7,26","7,39","7,15","10,04K","1,79%"
"19/11/2019","7,26","7,15","7,26","7,15","2,28K","0,83%"
"18/11/2019","7,20","7,26","7,26","7,15","2,53K","-0,28%"
"15/11/2019","7,22","7,29","7,29","7,22","3,93K","-0,96%"
"14/11/2019","7,29","7,20","7,30","7,20","7,97K","1,25%"
"13/11/2019","7,20","7,35","7,35","7,20","5,85K","-1,77%"
"12/11/2019","7,33","7,14","7,35","7,14","0,21K","0,41%"
"11/11/2019","7,30","7,35","7,35","7,22","2,41K","-0,14%"
"08/11/2019","7,31","7,39","7,39","7,25","8,97K","-0,81%"
"07/11/2019","7,37","7,39","7,39","7,30","0,59K","-0,14%"
"06/11/2019","7,38","7,31","7,38","7,21","1,56K","1,10%"
"05/11/2019","7,30","7,38","7,40","7,30","29,73K","-1,35%"
"04/11/2019","7,40","7,40","7,40","7,21","1,74K","0,00%"
"01/11/2019","7,40","7,21","7,40","7,21","12,88K","1,65%"
"31/10/2019","7,28","7,40","7,40","7,20","3,26K","-0,27%"
"30/10/2019","7,30","7,40","7,40","7,30","2,77K","-0,68%"
"29/10/2019","7,35","7,40","7,40","7,35","8,59K","-0,68%"
"28/10/2019","7,40","7,45","7,45","7,30","2,73K","-0,67%"
"25/10/2019","7,45","7,45","7,45","7,45","1,46K","0,00%"
"24/10/2019","7,45","7,45","7,45","7,35","4,86K","0,00%"
"23/10/2019","7,45","7,41","7,45","7,30","53,94K","0,00%"
"22/10/2019","7,45","7,50","7,50","7,38","18,05K","-1,32%"
"21/10/2019","7,55","7,50","7,55","7,47","9,62K","0,00%"
"18/10/2019","7,55","7,64","7,64","7,46","17,86K","0,80%"
"17/10/2019","7,49","7,69","7,69","7,49","61,38K","-2,60%"
"16/10/2019","7,69","7,69","7,69","7,55","11,47K","0,00%"
"14/10/2019","7,69","7,72","7,75","7,69","3,27K","0,00%"
"11/10/2019","7,69","7,40","7,73","7,40","33,16K","3,92%"
"10/10/2019","7,40","7,30","7,40","7,30","10,49K","0,00%"
"09/10/2019","7,40","7,40","7,40","7,39","4,38K","0,14%"
"08/10/2019","7,39","7,26","7,39","7,26","0,93K","-1,20%"
"07/10/2019","7,48","7,41","7,48","7,41","2,19K","0,00%"
"04/10/2019","7,48","7,40","7,48","7,36","10,99K","2,75%"
"03/10/2019","7,28","7,07","7,28","7,07","8,98K","2,97%"
"02/10/2019","7,07","7,17","7,17","7,00","0,93K","-0,14%"
"01/10/2019","7,08","7,03","7,20","7,02","16,71K","-0,84%"
"30/09/2019","7,14","6,98","7,14","6,98","4,55K","0,00%"
"27/09/2019","7,14","7,02","7,15","6,96","4,82K","-0,42%"
"26/09/2019","7,17","7,18","7,19","7,02","3,59K","2,43%"
"25/09/2019","7,00","6,95","7,01","6,85","6,49K","2,19%"
"24/09/2019","6,85","6,97","6,97","6,85","1,83K","-1,72%"
"23/09/2019","6,97","7,00","7,00","6,97","1,54K","-0,43%"
"20/09/2019","7,00","7,00","7,14","6,97","4,44K","0,00%"
