"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","3,75","3,75","3,75","3,75","-","1,90%"
"08/04/2020","3,68","3,55","3,68","3,55","0,79K","0,82%"
"07/04/2020","3,65","3,50","3,67","3,47","4,25K","2,24%"
"06/04/2020","3,57","3,57","3,57","3,57","0,00K","0,00%"
"03/04/2020","3,57","3,47","3,57","3,47","0,10K","2,59%"
"02/04/2020","3,48","3,50","3,65","3,47","0,56K","-2,52%"
"01/04/2020","3,57","3,49","3,58","3,49","0,43K","2,59%"
"31/03/2020","3,48","3,48","3,48","3,47","0,21K","2,96%"
"30/03/2020","3,38","3,29","3,38","3,29","1,19K","2,74%"
"19/03/2020","3,29","3,49","3,49","3,29","0,59K","-2,95%"
"18/03/2020","3,39","3,29","3,39","3,29","7,17K","0,00%"
"17/03/2020","3,39","3,49","3,49","3,39","0,45K","-7,88%"
"13/03/2020","3,68","3,68","3,68","3,50","3,19K","-2,65%"
"12/03/2020","3,78","3,80","3,80","3,78","1,10K","-2,83%"
"11/03/2020","3,89","3,85","3,89","3,85","2,41K","-0,26%"
"10/03/2020","3,90","3,65","3,93","3,65","0,09K","2,09%"
"06/03/2020","3,82","3,84","3,84","3,82","2,96K","-1,55%"
"05/03/2020","3,88","3,88","3,88","3,88","2,43K","-1,77%"
"03/03/2020","3,95","3,87","3,95","3,87","3,23K","-0,75%"
"28/02/2020","3,98","3,98","3,98","3,86","0,15K","2,84%"
"27/02/2020","3,87","3,87","3,87","3,87","0,89K","1,31%"
"26/02/2020","3,82","3,82","3,82","3,82","0,21K","-1,29%"
"25/02/2020","3,87","3,88","3,88","3,84","14,06K","-0,51%"
"24/02/2020","3,89","3,95","3,95","3,88","9,50K","-1,52%"
"21/02/2020","3,95","3,96","3,96","3,95","4,80K","0,00%"
"20/02/2020","3,95","3,88","3,95","3,88","9,38K","1,54%"
"19/02/2020","3,89","3,89","3,89","3,89","0,13K","-2,51%"
"18/02/2020","3,99","3,86","3,99","3,86","0,34K","0,76%"
"17/02/2020","3,96","3,84","3,96","3,84","3,84K","-0,50%"
"14/02/2020","3,98","3,98","3,99","3,87","13,85K","0,00%"
"13/02/2020","3,98","3,95","3,99","3,85","0,35K","0,76%"
"12/02/2020","3,95","3,93","3,95","3,90","2,34K","0,51%"
"11/02/2020","3,93","3,92","3,93","3,88","0,47K","-1,75%"
"10/02/2020","4,00","3,93","4,00","3,90","7,86K","0,00%"
"07/02/2020","4,00","3,93","4,00","3,93","0,81K","0,25%"
"05/02/2020","3,99","3,93","3,99","3,93","2,62K","0,00%"
"04/02/2020","3,99","4,00","4,00","3,91","21,11K","-0,25%"
"03/02/2020","4,00","3,97","4,00","3,95","294,11K","0,00%"
"31/01/2020","4,00","3,97","4,00","3,97","0,26K","0,00%"
"30/01/2020","4,00","4,02","4,02","4,00","78,96K","0,00%"
"29/01/2020","4,00","4,12","4,12","4,00","40,78K","-2,20%"
"28/01/2020","4,09","4,12","4,12","4,00","41,72K","1,24%"
"27/01/2020","4,04","4,00","4,10","4,00","45,35K","1,00%"
"24/01/2020","4,00","3,95","4,06","3,95","53,80K","1,01%"
"23/01/2020","3,96","4,10","4,18","3,96","116,11K","-2,46%"
"22/01/2020","4,06","4,00","4,11","4,00","91,60K","1,50%"
"21/01/2020","4,00","3,95","4,00","3,95","78,92K","1,01%"
"20/01/2020","3,96","3,95","3,96","3,95","2,90K","2,86%"
"17/01/2020","3,85","3,86","3,96","3,85","19,35K","-2,78%"
"16/01/2020","3,96","3,96","3,96","3,96","0,04K","0,00%"
"15/01/2020","3,96","4,00","4,00","3,96","0,06K","-0,25%"
"10/01/2020","3,97","4,00","4,00","3,97","37,67K","-2,93%"
"09/01/2020","4,09","4,19","4,19","4,09","0,39K","-2,85%"
"07/01/2020","4,21","4,25","4,25","4,21","1,14K","-1,86%"
"06/01/2020","4,29","4,05","4,29","4,05","5,85K","5,93%"
"03/01/2020","4,05","4,05","4,05","4,05","0,03K","-0,25%"
"31/12/2019","4,06","4,00","4,06","4,00","2,38K","0,00%"
"30/12/2019","4,06","4,06","4,06","4,06","0,01K","1,50%"
"27/12/2019","4,00","4,00","4,00","4,00","4,26K","0,00%"
"26/12/2019","4,00","4,08","4,08","4,00","12,84K","0,00%"
"25/12/2019","4,00","3,90","4,00","3,80","2,88K","2,56%"
"24/12/2019","3,90","3,85","3,90","3,85","0,29K","1,30%"
"23/12/2019","3,85","3,85","3,85","3,85","0,01K","-1,28%"
"20/12/2019","3,90","3,89","4,09","3,89","16,47K","0,26%"
"19/12/2019","3,89","3,82","3,89","3,82","0,69K","1,83%"
"18/12/2019","3,82","3,82","3,82","3,82","24,12K","0,00%"
"17/12/2019","3,82","3,90","3,90","3,82","0,18K","-2,05%"
"16/12/2019","3,90","3,95","3,95","3,84","12,06K","-1,27%"
"13/12/2019","3,95","3,99","3,99","3,94","0,48K","1,28%"
"12/12/2019","3,90","3,95","3,95","3,90","5,76K","-2,99%"
"11/12/2019","4,02","3,95","4,02","3,95","4,39K","-0,25%"
"10/12/2019","4,03","4,00","4,03","4,00","2,08K","0,00%"
"09/12/2019","4,03","4,08","4,08","4,03","1,79K","-1,23%"
"06/12/2019","4,08","4,05","4,09","4,05","2,28K","-0,24%"
"05/12/2019","4,09","4,02","4,09","4,02","1,06K","0,99%"
"04/12/2019","4,05","4,07","4,07","4,05","5,46K","-0,98%"
"03/12/2019","4,09","4,10","4,15","4,09","5,54K","0,49%"
"02/12/2019","4,07","4,20","4,20","4,07","10,00K","0,00%"
"29/11/2019","4,07","4,19","4,19","4,06","57,46K","-1,93%"
"28/11/2019","4,15","4,19","4,19","4,05","30,64K","0,00%"
"26/11/2019","4,15","4,19","4,19","4,15","2,52K","-0,72%"
"25/11/2019","4,18","4,18","4,18","4,18","0,02K","-0,48%"
"22/11/2019","4,20","4,24","4,24","4,20","5,10K","0,00%"
"21/11/2019","4,20","4,27","4,27","4,20","9,23K","0,00%"
"20/11/2019","4,20","4,27","4,27","4,20","5,05K","0,00%"
"19/11/2019","4,20","4,15","4,25","4,15","5,22K","-0,94%"
"18/11/2019","4,24","4,15","4,24","4,15","0,18K","-0,24%"
"15/11/2019","4,25","4,27","4,27","4,21","4,84K","1,19%"
"14/11/2019","4,20","4,15","4,27","4,15","10,05K","-0,24%"
"13/11/2019","4,21","4,12","4,27","4,12","31,79K","0,24%"
"12/11/2019","4,20","4,12","4,26","4,12","0,09K","0,00%"
"11/11/2019","4,20","4,13","4,20","4,13","1,23K","-1,18%"
"08/11/2019","4,25","4,10","4,27","4,10","57,56K","2,41%"
"07/11/2019","4,15","4,07","4,15","4,07","17,85K","0,24%"
"06/11/2019","4,14","4,11","4,14","4,10","30,00K","-0,24%"
"05/11/2019","4,15","4,10","4,15","4,08","7,94K","1,22%"
"04/11/2019","4,10","4,10","4,14","4,10","13,49K","-2,15%"
"01/11/2019","4,19","4,12","4,22","4,12","5,03K","-0,24%"
"31/10/2019","4,20","4,12","4,20","4,12","4,00K","0,48%"
"30/10/2019","4,18","4,11","4,18","4,11","3,12K","-0,24%"
"29/10/2019","4,19","4,20","4,20","4,15","15,11K","-2,10%"
"28/10/2019","4,28","4,29","4,29","4,20","5,70K","1,42%"
"25/10/2019","4,22","4,21","4,28","4,21","8,11K","-1,40%"
