"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"03/04/2020","1,600","1,600","1,600","1,600","12,17K","-0,62%"
"02/04/2020","1,610","1,610","1,610","1,610","12,00K","-2,42%"
"01/04/2020","1,650","1,650","1,650","1,650","0,01K","1,85%"
"31/03/2020","1,620","1,620","1,620","1,620","0,01K","1,89%"
"30/03/2020","1,590","1,540","1,590","1,540","1,34K","1,92%"
"27/03/2020","1,560","1,560","1,560","1,560","0,02K","0,00%"
"26/03/2020","1,560","1,560","1,560","1,560","0,00K","0,00%"
"25/03/2020","1,560","1,500","1,560","1,500","1,10K","1,96%"
"24/03/2020","1,530","1,530","1,530","1,530","3,84K","0,00%"
"23/03/2020","1,530","1,530","1,530","1,530","0,25K","-2,55%"
"19/03/2020","1,570","1,570","1,570","1,570","0,03K","2,61%"
"18/03/2020","1,530","1,540","1,540","1,470","0,60K","1,32%"
"17/03/2020","1,510","1,510","1,510","1,510","0,06K","-2,58%"
"16/03/2020","1,550","1,560","1,560","1,550","1,05K","-1,27%"
"13/03/2020","1,570","1,570","1,570","1,570","1,94K","-2,48%"
"12/03/2020","1,610","1,610","1,610","1,610","1,00K","-2,42%"
"11/03/2020","1,650","1,670","1,670","1,610","5,93K","0,00%"
"10/03/2020","1,650","1,650","1,650","1,620","3,15K","-4,07%"
"09/03/2020","1,720","1,720","1,720","1,720","3,04K","0,00%"
"06/03/2020","1,720","1,720","1,720","1,660","0,49K","4,24%"
"05/03/2020","1,650","1,660","1,660","1,650","2,09K","-2,94%"
"04/03/2020","1,700","1,740","1,740","1,700","5,03K","-2,30%"
"03/03/2020","1,740","1,690","1,740","1,690","6,40K","0,00%"
"02/03/2020","1,740","1,740","1,740","1,740","0,70K","-2,79%"
"26/02/2020","1,790","1,740","1,790","1,740","12,57K","0,00%"
"25/02/2020","1,790","1,790","1,790","1,790","0,06K","0,00%"
"24/02/2020","1,790","1,710","1,800","1,710","2,06K","2,29%"
"21/02/2020","1,750","1,710","1,750","1,710","1,91K","-0,57%"
"20/02/2020","1,760","1,740","1,760","1,740","2,01K","2,92%"
"19/02/2020","1,710","1,700","1,710","1,700","4,04K","0,00%"
"17/02/2020","1,710","1,650","1,710","1,650","13,24K","0,59%"
"14/02/2020","1,700","1,670","1,700","1,670","4,10K","1,80%"
"13/02/2020","1,670","1,690","1,690","1,630","3,83K","-1,76%"
"12/02/2020","1,700","1,780","1,780","1,700","0,23K","-2,86%"
"11/02/2020","1,750","1,790","1,790","1,750","1,03K","0,00%"
"10/02/2020","1,750","1,750","1,770","1,710","18,08K","1,74%"
"07/02/2020","1,720","1,670","1,720","1,670","9,04K","4,88%"
"06/02/2020","1,640","1,630","1,640","1,630","29,97K","2,50%"
"05/02/2020","1,600","1,560","1,600","1,560","7,45K","2,56%"
"04/02/2020","1,560","1,560","1,600","1,560","0,80K","0,00%"
"03/02/2020","1,560","1,580","1,590","1,550","56,24K","0,65%"
"31/01/2020","1,550","1,590","1,590","1,550","10,96K","-2,52%"
"30/01/2020","1,590","1,580","1,600","1,580","1,88K","-1,24%"
"29/01/2020","1,610","1,650","1,650","1,610","1,15K","-4,17%"
"28/01/2020","1,680","1,690","1,690","1,680","0,00K","1,82%"
"27/01/2020","1,650","1,610","1,650","1,610","5,24K","2,48%"
"24/01/2020","1,610","1,580","1,610","1,580","2,08K","0,00%"
"23/01/2020","1,610","1,610","1,610","1,580","1,60K","0,62%"
"22/01/2020","1,600","1,570","1,600","1,570","1,56K","2,56%"
"21/01/2020","1,560","1,520","1,560","1,520","0,91K","0,00%"
"20/01/2020","1,560","1,560","1,570","1,560","1,36K","-2,50%"
"17/01/2020","1,600","1,530","1,600","1,530","2,02K","1,91%"
"16/01/2020","1,570","1,610","1,610","1,570","2,31K","-1,87%"
"15/01/2020","1,600","1,610","1,610","1,590","5,10K","0,00%"
"13/01/2020","1,600","1,610","1,610","1,590","27,69K","-0,62%"
"10/01/2020","1,610","1,500","1,610","1,500","10,17K","3,21%"
"09/01/2020","1,560","1,560","1,560","1,520","13,04K","-0,64%"
"08/01/2020","1,570","1,580","1,600","1,570","2,31K","-2,48%"
"07/01/2020","1,610","1,610","1,640","1,610","11,85K","-2,42%"
"06/01/2020","1,650","1,640","1,650","1,610","4,16K","0,00%"
"03/01/2020","1,650","1,610","1,660","1,610","7,24K","0,00%"
"02/01/2020","1,650","1,690","1,690","1,650","2,26K","-2,94%"
"31/12/2019","1,700","1,670","1,700","1,650","18,23K","0,00%"
"30/12/2019","1,700","1,700","1,700","1,650","3,18K","-0,58%"
"27/12/2019","1,710","1,740","1,740","1,710","14,02K","-4,47%"
"26/12/2019","1,790","1,810","1,810","1,790","10,36K","-2,72%"
"25/12/2019","1,840","1,880","1,880","1,840","10,68K","-2,65%"
"24/12/2019","1,890","1,920","1,920","1,890","4,08K","-2,58%"
"23/12/2019","1,940","1,970","1,970","1,930","8,54K","-2,02%"
"20/12/2019","1,980","2,000","2,000","1,940","13,83K","0,00%"
"19/12/2019","1,980","1,980","2,000","1,970","20,83K","1,02%"
"18/12/2019","1,960","1,850","1,960","1,850","107,35K","5,95%"
"17/12/2019","1,850","1,850","1,850","1,800","40,32K","0,54%"
"16/12/2019","1,840","1,790","1,870","1,790","73,62K","2,79%"
"13/12/2019","1,790","1,750","1,790","1,750","52,42K","2,29%"
"12/12/2019","1,750","1,800","1,800","1,750","4,90K","-2,23%"
"11/12/2019","1,790","1,780","1,790","1,750","10,28K","-0,56%"
"10/12/2019","1,800","1,850","1,850","1,800","3,42K","-2,70%"
"09/12/2019","1,850","1,850","1,850","1,840","0,31K","2,78%"
"06/12/2019","1,800","1,900","1,900","1,800","9,64K","-2,17%"
"05/12/2019","1,840","1,790","1,840","1,790","24,33K","5,14%"
"04/12/2019","1,750","1,750","1,750","1,740","63,52K","4,79%"
"03/12/2019","1,670","1,630","1,670","1,630","1,26K","5,03%"
"02/12/2019","1,590","1,550","1,590","1,550","25,42K","5,30%"
"29/11/2019","1,510","1,470","1,510","1,470","8,11K","4,86%"
"28/11/2019","1,440","1,470","1,470","1,430","1,50K","-1,37%"
"27/11/2019","1,460","1,470","1,470","1,430","4,52K","0,69%"
"26/11/2019","1,450","1,470","1,470","1,430","0,84K","0,00%"
"25/11/2019","1,450","1,420","1,460","1,420","3,08K","-0,68%"
"22/11/2019","1,460","1,460","1,460","1,420","3,44K","2,82%"
"21/11/2019","1,420","1,430","1,430","1,410","2,20K","-0,70%"
"20/11/2019","1,430","1,440","1,440","1,410","4,35K","1,42%"
"19/11/2019","1,410","1,450","1,450","1,410","7,91K","-2,76%"
"18/11/2019","1,450","1,460","1,460","1,440","2,79K","-1,36%"
"15/11/2019","1,470","1,470","1,470","1,440","0,99K","-0,68%"
"14/11/2019","1,480","1,480","1,480","1,480","0,00K","0,68%"
"13/11/2019","1,470","1,500","1,500","1,460","3,72K","-1,34%"
"12/11/2019","1,490","1,500","1,500","1,490","4,14K","-2,61%"
"11/11/2019","1,530","1,530","1,530","1,530","0,00K","2,68%"
"08/11/2019","1,490","1,530","1,530","1,490","1,10K","-1,32%"
"07/11/2019","1,510","1,500","1,510","1,500","0,66K","-1,31%"
"06/11/2019","1,530","1,560","1,560","1,530","8,67K","-2,55%"
"05/11/2019","1,570","1,570","1,570","1,570","1,20K","-0,63%"
"04/11/2019","1,580","1,620","1,620","1,580","0,15K","-1,25%"
"01/11/2019","1,600","1,620","1,620","1,600","0,00K","0,00%"
"31/10/2019","1,600","1,600","1,600","1,570","0,13K","0,00%"
"29/10/2019","1,600","1,620","1,620","1,600","1,21K","0,63%"
"28/10/2019","1,590","1,620","1,620","1,590","1,07K","-0,62%"
"25/10/2019","1,600","1,620","1,620","1,580","2,36K","0,00%"
"24/10/2019","1,600","1,600","1,600","1,590","6,21K","0,00%"
"23/10/2019","1,600","1,620","1,620","1,600","3,08K","0,00%"
"22/10/2019","1,600","1,600","1,610","1,600","1,90K","-1,23%"
"21/10/2019","1,620","1,650","1,650","1,620","4,45K","0,00%"
"18/10/2019","1,620","1,600","1,620","1,600","2,16K","-1,22%"
"17/10/2019","1,640","1,640","1,640","1,640","0,00K","0,61%"
"16/10/2019","1,630","1,630","1,630","1,630","0,04K","1,24%"
"14/10/2019","1,610","1,610","1,610","1,600","4,96K","-1,23%"
"11/10/2019","1,630","1,630","1,630","1,630","0,00K","0,00%"
"10/10/2019","1,630","1,630","1,630","1,630","0,01K","-1,21%"
"09/10/2019","1,650","1,650","1,650","1,650","0,00K","1,23%"
"08/10/2019","1,630","1,610","1,630","1,610","0,50K","-1,21%"
"07/10/2019","1,650","1,650","1,650","1,650","0,06K","2,48%"
"04/10/2019","1,610","1,610","1,610","1,610","0,34K","0,00%"
"03/10/2019","1,610","1,650","1,650","1,610","0,38K","-1,23%"
"02/10/2019","1,630","1,610","1,630","1,610","0,39K","-1,21%"
"01/10/2019","1,650","1,670","1,670","1,650","0,04K","0,00%"
"30/09/2019","1,650","1,650","1,650","1,650","5,00K","-1,79%"
"27/09/2019","1,680","1,680","1,680","1,650","0,05K","1,82%"
"26/09/2019","1,650","1,610","1,650","1,610","1,37K","0,61%"
