"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","8,95","8,90","9,09","8,90","0,61K","-2,19%"
"08/04/2020","9,15","9,00","9,15","8,91","2,15K","0,33%"
"07/04/2020","9,12","9,12","9,36","9,12","2,48K","-2,98%"
"06/04/2020","9,40","8,96","9,40","8,96","2,35K","1,62%"
"03/04/2020","9,25","9,25","9,25","9,25","0,31K","-2,73%"
"02/04/2020","9,51","9,51","9,51","9,51","0,10K","-2,96%"
"01/04/2020","9,80","9,99","9,99","9,47","0,45K","0,51%"
"30/03/2020","9,75","9,78","9,78","9,23","0,85K","2,63%"
"27/03/2020","9,50","10,07","10,07","9,50","2,79K","-2,86%"
"26/03/2020","9,78","9,81","9,81","9,40","0,01K","2,52%"
"25/03/2020","9,54","9,59","9,59","9,20","10,68K","1,49%"
"24/03/2020","9,40","9,32","9,59","9,07","2,71K","0,86%"
"23/03/2020","9,32","9,78","9,78","9,32","0,44K","-2,92%"
"19/03/2020","9,60","9,68","9,68","9,12","0,36K","2,13%"
"18/03/2020","9,40","9,12","9,68","9,12","3,51K","0,00%"
"17/03/2020","9,40","9,05","9,40","9,05","0,45K","0,86%"
"16/03/2020","9,32","9,98","9,98","9,32","1,04K","-4,41%"
"13/03/2020","9,75","9,76","9,99","9,75","2,06K","-4,41%"
"12/03/2020","10,20","10,71","10,71","10,10","0,75K","-1,92%"
"11/03/2020","10,40","10,10","10,40","10,10","1,31K","2,97%"
"10/03/2020","10,10","10,30","10,30","10,10","1,14K","-1,27%"
"09/03/2020","10,23","10,35","10,35","10,23","4,03K","-0,68%"
"06/03/2020","10,30","10,66","10,66","10,30","2,65K","-2,28%"
"05/03/2020","10,54","10,75","10,93","10,54","1,66K","-1,86%"
"04/03/2020","10,74","10,85","10,85","10,70","1,55K","-1,47%"
"03/03/2020","10,90","11,00","11,00","10,87","10,28K","-2,68%"
"02/03/2020","11,20","11,19","11,30","11,19","1,98K","1,82%"
"28/02/2020","11,00","11,00","11,13","10,90","43,18K","0,92%"
"27/02/2020","10,90","11,04","11,04","10,86","0,41K","0,55%"
"26/02/2020","10,84","11,03","11,03","10,80","2,10K","-0,55%"
"25/02/2020","10,90","10,80","10,90","10,80","2,45K","-1,80%"
"24/02/2020","11,10","11,13","11,13","10,90","0,44K","1,83%"
"21/02/2020","10,90","11,00","11,00","10,90","0,61K","-0,91%"
"20/02/2020","11,00","11,00","11,00","10,91","0,50K","-1,17%"
"19/02/2020","11,13","10,87","11,13","10,87","1,13K","0,00%"
"18/02/2020","11,13","10,87","11,13","10,87","0,20K","-0,45%"
"17/02/2020","11,18","10,88","11,18","10,86","0,76K","1,64%"
"14/02/2020","11,00","11,14","11,18","11,00","8,64K","-1,26%"
"13/02/2020","11,14","11,00","11,14","10,98","2,98K","1,64%"
"12/02/2020","10,96","11,00","11,00","10,92","5,06K","-2,06%"
"11/02/2020","11,19","10,81","11,19","10,80","1,43K","2,94%"
"10/02/2020","10,87","11,19","11,19","10,87","3,16K","-2,95%"
"07/02/2020","11,20","11,20","11,20","11,20","0,02K","1,82%"
"06/02/2020","11,00","11,00","11,00","11,00","0,72K","-1,79%"
"05/02/2020","11,20","11,24","11,24","11,10","0,73K","0,99%"
"04/02/2020","11,09","10,90","11,09","10,90","0,49K","1,19%"
"03/02/2020","10,96","10,81","10,98","10,81","6,32K","1,39%"
"31/01/2020","10,81","10,80","11,00","10,80","1,95K","0,09%"
"30/01/2020","10,80","10,85","11,00","10,80","0,48K","0,00%"
"29/01/2020","10,80","10,86","10,86","10,80","0,41K","-0,55%"
"28/01/2020","10,86","10,87","10,92","10,86","0,65K","-0,09%"
"27/01/2020","10,87","10,92","10,92","10,82","1,49K","-0,46%"
"24/01/2020","10,92","11,00","11,01","10,92","1,68K","-0,82%"
"23/01/2020","11,01","11,10","11,10","11,00","0,83K","0,09%"
"22/01/2020","11,00","11,30","11,30","11,00","1,08K","-0,90%"
"21/01/2020","11,10","11,10","11,10","11,10","0,30K","0,00%"
"20/01/2020","11,10","11,06","11,29","11,06","0,52K","0,00%"
"17/01/2020","11,10","11,10","11,29","11,10","0,28K","-0,89%"
"16/01/2020","11,20","11,34","11,34","11,05","0,09K","1,73%"
"15/01/2020","11,01","11,30","11,30","11,01","1,19K","-1,70%"
"13/01/2020","11,20","11,22","11,22","11,20","0,33K","-0,18%"
"10/01/2020","11,22","11,35","11,40","11,22","0,59K","-2,18%"
"09/01/2020","11,47","11,35","11,49","11,30","3,42K","-0,26%"
"08/01/2020","11,50","11,36","11,56","11,36","2,90K","1,23%"
"07/01/2020","11,36","11,30","11,60","11,30","23,52K","-1,22%"
"06/01/2020","11,50","11,39","11,50","11,39","0,21K","-0,35%"
"03/01/2020","11,54","11,89","11,89","11,54","3,36K","-1,95%"
"02/01/2020","11,77","12,13","12,13","11,77","2,32K","-1,42%"
"31/12/2019","11,94","11,99","12,00","11,65","6,38K","2,40%"
"30/12/2019","11,66","12,00","12,00","11,65","17,05K","-2,83%"
"27/12/2019","12,00","11,42","12,05","11,42","5,11K","2,56%"
"26/12/2019","11,70","11,83","11,83","11,50","1,47K","-0,85%"
"25/12/2019","11,80","11,80","11,83","11,78","12,90K","0,85%"
"24/12/2019","11,70","11,71","11,71","11,70","2,76K","0,00%"
"23/12/2019","11,70","11,78","11,78","11,41","0,98K","2,54%"
"20/12/2019","11,41","11,76","11,76","11,41","1,18K","-0,17%"
"19/12/2019","11,43","11,78","11,78","11,43","1,04K","-2,31%"
"18/12/2019","11,70","11,72","11,78","11,40","8,82K","0,00%"
"17/12/2019","11,70","11,60","11,70","11,50","6,40K","0,86%"
"16/12/2019","11,60","11,73","11,78","11,60","3,12K","-1,11%"
"13/12/2019","11,73","11,43","11,73","11,30","3,29K","2,62%"
"12/12/2019","11,43","11,43","11,44","11,43","1,20K","-2,31%"
"11/12/2019","11,70","11,63","11,78","11,50","1,03K","0,00%"
"10/12/2019","11,70","11,65","11,85","11,65","1,02K","-1,10%"
"09/12/2019","11,83","12,19","12,19","11,83","3,75K","-1,42%"
"06/12/2019","12,00","11,79","12,33","11,63","4,90K","0,17%"
"05/12/2019","11,98","12,34","12,48","11,98","5,10K","-3,00%"
"04/12/2019","12,35","12,54","12,85","12,28","31,02K","1,40%"
"03/12/2019","12,18","11,56","12,18","11,56","22,54K","6,01%"
"02/12/2019","11,49","11,00","11,49","11,00","11,80K","4,45%"
"29/11/2019","11,00","10,99","11,00","10,77","28,51K","1,29%"
"28/11/2019","10,86","11,00","11,00","10,75","1,57K","-0,37%"
"27/11/2019","10,90","11,00","11,00","10,86","0,66K","0,37%"
"26/11/2019","10,86","10,86","11,00","10,76","137,92K","0,00%"
"25/11/2019","10,86","11,00","11,00","10,71","2,32K","-1,81%"
"22/11/2019","11,06","10,88","11,08","10,88","1,25K","1,28%"
"21/11/2019","10,92","10,90","11,04","10,90","0,59K","-1,09%"
"20/11/2019","11,04","10,90","11,05","10,90","1,09K","1,01%"
"19/11/2019","10,93","10,92","11,08","10,92","2,21K","-1,44%"
"18/11/2019","11,09","11,09","11,09","10,86","0,76K","1,56%"
"15/11/2019","10,92","10,90","11,10","10,90","0,98K","0,18%"
"14/11/2019","10,90","11,00","11,20","10,88","1,99K","-2,68%"
"13/11/2019","11,20","11,20","11,20","10,85","0,94K","2,00%"
"12/11/2019","10,98","11,33","11,33","10,95","1,24K","-2,66%"
"11/11/2019","11,28","10,97","11,30","10,97","0,26K","-0,18%"
"08/11/2019","11,30","10,88","11,32","10,88","0,96K","2,73%"
"07/11/2019","11,00","10,90","11,20","10,85","2,82K","0,92%"
"06/11/2019","10,90","11,20","11,20","10,85","1,64K","0,00%"
"05/11/2019","10,90","10,90","10,90","10,80","2,71K","0,46%"
"04/11/2019","10,85","11,00","11,00","10,82","2,37K","-2,69%"
"01/11/2019","11,15","11,15","11,15","11,00","1,31K","1,36%"
"31/10/2019","11,00","11,00","11,00","10,81","0,54K","-0,90%"
"30/10/2019","11,10","11,02","11,15","10,91","1,94K","0,82%"
"29/10/2019","11,01","11,03","11,28","11,00","8,07K","-0,09%"
"28/10/2019","11,02","11,28","11,38","11,02","5,28K","-2,82%"
"25/10/2019","11,34","11,35","11,35","11,01","0,15K","0,00%"
"24/10/2019","11,34","11,06","11,38","11,05","1,08K","-0,35%"
"23/10/2019","11,38","11,50","11,50","11,15","2,80K","-0,96%"
"22/10/2019","11,49","11,16","11,50","11,16","1,30K","-0,95%"
"21/10/2019","11,60","11,33","11,60","11,32","0,08K","0,00%"
"18/10/2019","11,60","11,60","11,60","11,60","0,00K","0,87%"
"17/10/2019","11,50","11,35","11,60","11,35","28,94K","1,23%"
"16/10/2019","11,36","11,17","11,36","11,15","0,94K","-0,18%"
"14/10/2019","11,38","11,30","11,38","11,15","0,21K","-0,18%"
"10/10/2019","11,40","11,30","11,40","11,20","0,61K","0,00%"
"09/10/2019","11,40","11,20","11,40","11,20","0,03K","-0,70%"
"08/10/2019","11,48","11,20","11,48","11,20","0,04K","-0,09%"
"07/10/2019","11,49","11,50","11,50","11,20","0,82K","2,41%"
"04/10/2019","11,22","11,20","11,40","11,18","1,34K","-2,35%"
"03/10/2019","11,49","11,49","11,49","11,31","0,95K","0,00%"
"02/10/2019","11,49","11,33","11,49","11,33","0,02K","-0,09%"
"01/10/2019","11,50","11,59","11,59","11,50","4,10K","0,00%"
"30/09/2019","11,50","11,58","11,58","11,40","2,14K","1,68%"
"27/09/2019","11,31","11,58","11,58","11,26","5,54K","-1,65%"
"26/09/2019","11,50","11,50","11,58","11,50","5,43K","0,00%"
"25/09/2019","11,50","11,30","11,50","11,30","17,03K","1,86%"
"24/09/2019","11,29","11,25","11,29","11,25","0,16K","-0,09%"
"23/09/2019","11,30","11,32","11,50","11,30","1,68K","-1,74%"
"20/09/2019","11,50","11,50","11,50","11,31","0,07K","0,09%"
"19/09/2019","11,49","11,30","11,50","11,30","1,18K","0,09%"
