"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","9,41","9,41","9,41","9,41","-","-2,99%"
"01/04/2020","9,70","9,70","9,70","9,70","0,00K","0,41%"
"18/03/2020","9,66","9,66","9,66","9,66","0,02K","2,88%"
"17/03/2020","9,39","9,39","9,39","9,39","0,01K","0,11%"
"13/03/2020","9,38","9,38","9,38","9,38","0,00K","2,96%"
"12/03/2020","9,11","9,11","9,11","9,11","0,00K","-2,98%"
"03/03/2020","9,39","9,39","9,39","9,39","0,50K","-0,32%"
"28/02/2020","9,42","9,69","9,69","9,42","0,09K","-2,89%"
"26/02/2020","9,70","9,70","9,70","9,70","0,00K","0,00%"
"20/02/2020","9,70","9,70","9,70","9,70","0,07K","3,08%"
"19/02/2020","9,41","9,41","9,41","9,41","0,01K","-2,99%"
"18/02/2020","9,70","9,70","9,70","9,70","0,61K","-3,00%"
"14/02/2020","10,00","9,55","10,00","9,55","0,07K","0,00%"
"10/02/2020","10,00","10,00","10,00","10,00","0,02K","3,09%"
"07/02/2020","9,70","9,70","9,70","9,70","0,05K","-3,00%"
"05/02/2020","10,00","10,00","10,00","10,00","0,79K","0,00%"
"04/02/2020","10,00","10,00","10,00","10,00","0,93K","0,00%"
"29/01/2020","10,00","10,00","10,00","10,00","0,20K","0,00%"
"27/01/2020","10,00","10,00","10,00","10,00","0,80K","0,00%"
"24/01/2020","10,00","10,00","10,00","10,00","0,98K","0,00%"
"23/01/2020","10,00","10,00","10,00","10,00","0,12K","0,10%"
"22/01/2020","9,99","9,65","9,99","9,65","1,40K","3,52%"
"21/01/2020","9,65","9,57","9,65","9,57","1,51K","3,76%"
"20/01/2020","9,30","9,50","9,60","9,30","1,68K","-1,59%"
"17/01/2020","9,45","9,50","9,50","9,45","11,24K","-0,53%"
"16/01/2020","9,50","9,47","9,50","9,47","3,71K","0,32%"
"15/01/2020","9,47","9,20","9,47","9,20","0,22K","5,22%"
