"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","7,60","7,60","7,60","7,60","-","0,13%"
"08/04/2020","7,59","7,20","7,59","7,19","4,31K","2,85%"
"07/04/2020","7,38","7,38","7,38","7,38","0,03K","-2,89%"
"06/04/2020","7,60","7,60","7,60","7,60","0,00K","0,00%"
"03/04/2020","7,60","7,60","7,60","7,60","0,00K","0,00%"
"02/04/2020","7,60","7,38","7,60","7,38","0,02K","0,00%"
"01/04/2020","7,60","7,60","7,60","7,60","0,01K","0,00%"
"31/03/2020","7,60","7,60","7,60","7,50","1,14K","0,00%"
"30/03/2020","7,60","7,60","7,60","7,60","0,00K","0,00%"
"27/03/2020","7,60","7,60","7,60","7,60","0,01K","0,00%"
"26/03/2020","7,60","7,60","7,62","7,40","0,08K","2,70%"
"25/03/2020","7,40","7,42","7,42","7,40","0,76K","2,64%"
"24/03/2020","7,21","7,21","7,21","7,21","0,17K","3,00%"
"23/03/2020","7,00","7,40","7,40","7,00","0,11K","-2,64%"
"19/03/2020","7,19","7,36","7,36","7,00","4,42K","0,56%"
"18/03/2020","7,15","7,19","7,19","6,87","0,50K","0,99%"
"17/03/2020","7,08","7,08","7,08","7,08","5,12K","-4,45%"
"16/03/2020","7,41","7,25","7,46","7,04","3,14K","-0,40%"
"13/03/2020","7,44","7,44","7,44","7,44","0,02K","-3,00%"
"12/03/2020","7,67","7,67","7,71","7,48","4,36K","-0,13%"
"11/03/2020","7,68","7,69","7,69","7,67","0,07K","0,79%"
"10/03/2020","7,62","7,73","7,73","7,50","0,34K","-1,04%"
"09/03/2020","7,70","7,73","7,73","7,50","0,53K","-0,52%"
"06/03/2020","7,74","7,60","7,89","7,47","6,17K","0,52%"
"05/03/2020","7,70","7,80","7,80","7,57","1,48K","-1,28%"
"04/03/2020","7,80","7,75","7,80","7,65","0,69K","1,30%"
"03/03/2020","7,70","7,75","7,75","7,65","0,93K","-0,65%"
"02/03/2020","7,75","7,70","7,75","7,60","3,02K","0,91%"
"28/02/2020","7,68","7,50","7,70","7,50","6,17K","1,05%"
"27/02/2020","7,60","7,60","7,60","7,45","0,50K","0,00%"
"26/02/2020","7,60","7,60","7,60","7,60","0,00K","0,00%"
"25/02/2020","7,60","7,60","7,60","7,60","0,00K","0,00%"
"24/02/2020","7,60","7,69","7,69","7,59","6,69K","0,00%"
"21/02/2020","7,60","7,65","7,65","7,57","0,22K","-0,65%"
"20/02/2020","7,65","7,65","7,65","7,60","0,63K","0,66%"
"19/02/2020","7,60","7,65","7,65","7,60","1,48K","0,00%"
"18/02/2020","7,60","7,65","7,65","7,57","1,06K","0,40%"
"17/02/2020","7,57","7,57","7,65","7,57","5,14K","0,00%"
"14/02/2020","7,57","7,49","7,58","7,40","3,60K","-0,39%"
"13/02/2020","7,60","7,60","7,60","7,60","0,00K","0,26%"
"12/02/2020","7,58","7,60","7,60","7,58","15,11K","-0,26%"
"11/02/2020","7,60","7,50","7,60","7,50","3,10K","1,60%"
"10/02/2020","7,48","7,48","7,48","7,39","1,37K","1,08%"
"07/02/2020","7,40","7,40","7,40","7,25","0,05K","0,00%"
"06/02/2020","7,40","7,50","7,50","7,40","0,08K","-0,67%"
"05/02/2020","7,45","7,50","7,50","7,40","0,57K","0,00%"
"04/02/2020","7,45","7,50","7,50","7,40","2,35K","-0,67%"
"03/02/2020","7,50","7,50","7,55","7,40","0,17K","-0,66%"
"31/01/2020","7,55","7,53","7,55","7,32","2,76K","0,67%"
"30/01/2020","7,50","7,30","7,50","7,30","13,11K","0,00%"
"29/01/2020","7,50","7,50","7,50","7,50","0,00K","0,00%"
"28/01/2020","7,50","7,49","7,50","7,27","0,79K","0,27%"
"27/01/2020","7,48","7,60","7,60","7,38","1,72K","-0,27%"
"24/01/2020","7,50","7,67","7,67","7,50","5,32K","-1,32%"
"23/01/2020","7,60","7,70","7,70","7,60","6,32K","-0,78%"
"22/01/2020","7,66","7,44","7,66","7,42","13,60K","3,10%"
