"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","10,76","10,80","11,17","10,76","117,84K","-1,91%"
"08/04/2020","10,97","11,30","11,30","10,97","67,28K","-2,92%"
"07/04/2020","11,30","11,30","11,75","11,30","1,80K","-2,92%"
"06/04/2020","11,64","11,64","11,64","11,64","2,30K","-3,00%"
"03/04/2020","12,00","12,48","12,49","12,00","0,51K","-1,15%"
"02/04/2020","12,14","12,14","12,14","11,45","2,76K","2,97%"
"01/04/2020","11,79","11,50","11,79","11,40","1,16K","2,97%"
"31/03/2020","11,45","11,50","11,50","11,45","0,03K","2,05%"
"30/03/2020","11,22","11,55","11,55","11,20","22,15K","0,00%"
"27/03/2020","11,22","11,22","11,22","11,22","51,36K","2,94%"
"26/03/2020","10,90","11,22","11,22","10,90","0,65K","0,00%"
"25/03/2020","10,90","11,00","11,00","10,90","0,74K","-0,91%"
"24/03/2020","11,00","10,70","11,00","10,70","1,12K","0,92%"
"23/03/2020","10,90","11,00","11,00","10,90","1,21K","-0,91%"
"19/03/2020","11,00","11,01","11,33","11,00","1,58K","0,00%"
"18/03/2020","11,00","10,97","11,63","10,97","2,55K","-2,65%"
"17/03/2020","11,30","11,40","11,40","11,30","0,38K","-0,18%"
"16/03/2020","11,32","11,42","11,42","11,32","1,58K","-4,47%"
"12/03/2020","11,85","12,24","12,55","11,85","0,80K","-2,79%"
"11/03/2020","12,19","11,85","12,20","11,85","2,86K","2,87%"
"10/03/2020","11,85","11,95","11,95","11,85","0,19K","-3,19%"
"09/03/2020","12,24","12,70","12,70","12,24","1,79K","-1,61%"
"06/03/2020","12,44","12,80","12,80","12,44","2,19K","-0,24%"
"05/03/2020","12,47","12,85","12,85","12,47","1,66K","-0,24%"
"04/03/2020","12,50","12,25","12,60","12,25","2,00K","2,12%"
"03/03/2020","12,24","12,24","12,24","12,24","0,06K","-2,08%"
"02/03/2020","12,50","12,59","12,59","12,50","0,39K","-0,71%"
"28/02/2020","12,59","12,59","12,59","12,59","1,00K","0,40%"
"27/02/2020","12,54","12,58","12,58","12,21","0,34K","-0,16%"
"26/02/2020","12,56","12,75","12,75","12,56","1,66K","-0,48%"
"25/02/2020","12,62","12,84","12,84","12,62","1,33K","-0,24%"
"24/02/2020","12,65","12,85","12,85","12,64","7,53K","0,00%"
"21/02/2020","12,65","12,80","12,85","12,65","1,42K","0,24%"
"20/02/2020","12,62","12,79","12,79","12,60","1,33K","0,16%"
"19/02/2020","12,60","12,45","12,65","12,45","4,88K","0,40%"
"18/02/2020","12,55","12,79","12,79","12,55","2,40K","-1,18%"
"17/02/2020","12,70","12,80","12,90","12,70","2,94K","-0,78%"
"14/02/2020","12,80","12,98","12,98","12,80","8,81K","0,00%"
"13/02/2020","12,80","12,65","12,99","12,65","6,69K","1,19%"
"12/02/2020","12,65","12,88","12,90","12,65","2,33K","-0,24%"
"11/02/2020","12,68","12,98","12,98","12,65","2,46K","1,44%"
"10/02/2020","12,50","12,29","12,50","12,29","1,58K","1,71%"
"07/02/2020","12,29","12,25","12,30","12,17","4,29K","2,42%"
"06/02/2020","12,00","11,95","12,02","11,95","22,78K","1,87%"
"05/02/2020","11,78","11,60","11,78","11,60","1,81K","1,46%"
"04/02/2020","11,61","11,61","11,61","11,58","6,06K","0,26%"
"03/02/2020","11,58","11,58","11,75","11,58","1,61K","0,70%"
"31/01/2020","11,50","11,25","11,50","11,15","6,43K","2,22%"
"30/01/2020","11,25","10,77","11,25","10,77","11,42K","4,46%"
"29/01/2020","10,77","10,78","10,78","10,77","0,56K","-0,09%"
"28/01/2020","10,78","10,80","10,99","10,78","4,00K","0,00%"
"27/01/2020","10,78","10,80","10,80","10,78","1,02K","0,94%"
"24/01/2020","10,68","10,67","10,68","10,67","1,09K","-0,19%"
"23/01/2020","10,70","10,74","10,74","10,46","2,49K","0,94%"
"22/01/2020","10,60","10,50","10,79","10,50","1,64K","-1,40%"
"21/01/2020","10,75","10,78","10,78","10,43","0,84K","0,00%"
"20/01/2020","10,75","10,76","10,80","10,75","0,90K","2,87%"
"17/01/2020","10,45","10,46","10,78","10,45","0,72K","-2,79%"
"16/01/2020","10,75","10,75","10,89","10,75","0,43K","0,00%"
"15/01/2020","10,75","10,50","10,81","10,50","1,27K","2,38%"
"13/01/2020","10,50","10,70","10,70","10,46","2,24K","0,38%"
"10/01/2020","10,46","10,60","10,60","10,45","3,67K","0,10%"
"09/01/2020","10,45","10,60","10,70","10,45","0,11K","-1,23%"
"08/01/2020","10,58","10,29","10,58","10,29","0,22K","-0,19%"
"07/01/2020","10,60","10,51","10,60","10,51","2,33K","3,82%"
"06/01/2020","10,21","10,39","10,67","10,20","3,11K","-1,45%"
"03/01/2020","10,36","10,37","10,37","10,23","0,45K","0,58%"
"02/01/2020","10,30","10,38","10,38","10,30","1,74K","-0,68%"
"31/12/2019","10,37","10,48","10,50","10,37","6,76K","0,10%"
"30/12/2019","10,36","10,66","10,90","10,36","1,69K","-0,38%"
"27/12/2019","10,40","10,58","10,58","10,40","1,67K","0,39%"
"26/12/2019","10,36","10,17","10,47","10,17","1,72K","-0,38%"
"25/12/2019","10,40","10,40","10,47","10,15","6,26K","2,26%"
"24/12/2019","10,17","10,21","10,21","10,17","0,84K","-0,39%"
"23/12/2019","10,21","10,35","10,35","10,16","1,83K","0,39%"
"20/12/2019","10,17","10,35","10,35","10,15","202,89K","-1,74%"
"19/12/2019","10,35","10,42","10,48","10,35","0,73K","1,27%"
"18/12/2019","10,22","10,48","10,48","10,22","2,64K","0,00%"
"17/12/2019","10,22","10,45","10,76","10,22","0,99K","-2,67%"
"16/12/2019","10,50","10,26","10,50","10,26","1,85K","2,34%"
"13/12/2019","10,26","10,30","10,30","10,22","0,80K","-0,39%"
"12/12/2019","10,30","10,30","10,30","10,30","1,00K","0,00%"
"11/12/2019","10,30","10,30","10,30","10,25","5,46K","0,00%"
"10/12/2019","10,30","10,55","10,78","10,30","1,15K","0,00%"
"09/12/2019","10,30","10,40","10,40","10,30","1,00K","-1,15%"
"06/12/2019","10,42","10,42","10,42","10,42","0,02K","2,16%"
"05/12/2019","10,20","10,44","10,44","10,20","0,04K","0,00%"
"04/12/2019","10,20","10,44","10,44","10,20","0,05K","-1,83%"
"03/12/2019","10,39","10,45","10,45","10,39","0,77K","-0,57%"
"02/12/2019","10,45","10,45","10,45","10,45","0,45K","1,46%"
"29/11/2019","10,30","10,51","10,51","10,30","3,98K","-1,90%"
"28/11/2019","10,50","10,50","10,50","10,20","1,09K","0,19%"
"27/11/2019","10,48","10,20","10,48","10,20","0,10K","2,34%"
"26/11/2019","10,24","10,40","10,48","10,24","0,31K","-2,85%"
"25/11/2019","10,54","10,54","10,54","10,54","0,24K","1,35%"
"22/11/2019","10,40","10,55","10,55","10,40","0,15K","0,00%"
"21/11/2019","10,40","10,55","10,55","10,24","1,63K","0,00%"
"20/11/2019","10,40","10,54","10,54","10,30","1,49K","0,00%"
"19/11/2019","10,40","10,50","10,50","10,40","0,08K","1,96%"
"18/11/2019","10,20","10,20","10,20","10,20","1,82K","-0,10%"
"15/11/2019","10,21","10,54","10,54","10,21","3,02K","-0,87%"
"14/11/2019","10,30","10,39","10,55","10,30","0,77K","0,10%"
"13/11/2019","10,29","10,29","10,30","10,29","30,57K","0,00%"
"12/11/2019","10,29","10,29","10,29","10,29","1,00K","0,00%"
"11/11/2019","10,29","10,21","10,29","10,21","3,44K","0,00%"
"08/11/2019","10,29","10,29","10,29","10,29","1,24K","0,00%"
"07/11/2019","10,29","10,29","10,29","10,29","0,53K","0,00%"
"06/11/2019","10,29","10,29","10,29","10,26","4,18K","0,00%"
"05/11/2019","10,29","10,29","10,29","10,29","15,27K","0,00%"
"04/11/2019","10,29","10,39","10,39","10,29","1,81K","0,00%"
"01/11/2019","10,29","10,35","10,39","10,29","3,52K","0,00%"
"31/10/2019","10,29","10,25","10,33","10,25","3,22K","0,00%"
"30/10/2019","10,29","10,35","10,35","10,29","4,72K","-0,48%"
"29/10/2019","10,34","10,30","10,35","10,30","2,33K","0,39%"
"28/10/2019","10,30","10,35","10,35","10,30","1,49K","-0,48%"
"25/10/2019","10,35","10,43","10,45","10,35","3,55K","0,00%"
"24/10/2019","10,35","10,45","10,45","10,35","0,91K","0,00%"
"23/10/2019","10,35","10,30","10,45","10,30","1,33K","-0,77%"
"22/10/2019","10,43","10,43","10,43","10,42","0,18K","-0,19%"
"21/10/2019","10,45","10,45","10,45","10,45","0,20K","0,00%"
"18/10/2019","10,45","10,46","10,46","10,17","2,92K","0,77%"
"17/10/2019","10,37","10,69","10,69","10,37","1,75K","-1,14%"
"16/10/2019","10,49","10,20","10,50","10,20","2,83K","2,84%"
"14/10/2019","10,20","10,18","10,20","10,18","0,31K","0,00%"
"11/10/2019","10,20","10,20","10,20","10,11","1,31K","0,39%"
"10/10/2019","10,16","10,20","10,20","10,11","3,39K","0,40%"
"09/10/2019","10,12","10,15","10,16","10,12","4,85K","-0,39%"
"08/10/2019","10,16","10,35","10,35","10,16","6,15K","0,00%"
"07/10/2019","10,16","10,61","10,61","10,16","1,05K","-0,10%"
"04/10/2019","10,17","10,31","10,31","10,17","14,77K","-1,36%"
"03/10/2019","10,31","10,79","10,97","10,31","35,44K","-4,45%"
"02/10/2019","10,79","10,80","10,80","10,79","0,94K","-4,43%"
"01/10/2019","11,29","11,29","11,29","11,28","0,20K","2,92%"
"30/09/2019","10,97","10,98","10,98","10,97","0,11K","2,43%"
"27/09/2019","10,71","10,50","10,73","10,50","0,73K","2,19%"
"26/09/2019","10,48","10,49","10,49","10,18","0,39K","2,85%"
"25/09/2019","10,19","10,49","10,49","10,18","6,58K","0,00%"
"24/09/2019","10,19","10,20","10,20","10,19","0,07K","-1,92%"
"23/09/2019","10,39","10,20","10,80","10,20","1,72K","-0,95%"
"19/09/2019","10,49","10,58","10,58","10,49","0,23K","1,84%"
"18/09/2019","10,30","10,80","10,80","10,19","11,76K","-1,90%"
"17/09/2019","10,50","10,84","10,84","10,50","10,09K","-2,60%"
"16/09/2019","10,78","10,50","10,81","10,50","1,17K","2,08%"
"13/09/2019","10,56","10,84","10,84","10,55","2,19K","-2,67%"
"11/09/2019","10,85","10,99","10,99","10,85","0,96K","-0,91%"
"10/09/2019","10,95","10,95","10,95","10,95","0,12K","-2,67%"
"09/09/2019","11,25","11,29","11,29","11,25","0,14K","-0,35%"
"06/09/2019","11,29","11,00","11,30","11,00","0,77K","2,64%"
"05/09/2019","11,00","10,68","11,00","10,67","0,96K","2,33%"
"04/09/2019","10,75","11,00","11,00","10,75","0,33K","-2,27%"
"02/09/2019","11,00","10,75","11,00","10,75","0,20K","0,00%"
"30/08/2019","11,00","11,00","11,00","11,00","0,10K","0,46%"
"29/08/2019","10,95","10,95","11,00","10,95","0,31K","0,46%"
"28/08/2019","10,90","10,70","10,90","10,70","0,52K","1,87%"
"27/08/2019","10,70","10,95","10,95","10,70","0,32K","-1,92%"
"26/08/2019","10,91","10,91","10,91","10,91","0,95K","-2,94%"
"23/08/2019","11,24","11,24","11,24","11,24","0,00K","2,65%"
"22/08/2019","10,95","10,64","10,95","10,64","0,05K","-0,36%"
"21/08/2019","10,99","11,29","11,29","10,99","0,95K","0,00%"
"20/08/2019","10,99","10,90","10,99","10,49","3,66K","0,09%"
"19/08/2019","10,98","11,15","11,15","10,67","5,61K","-0,18%"
"16/08/2019","11,00","11,00","11,00","11,00","0,10K","0,00%"
"15/08/2019","11,00","11,00","11,00","11,00","0,12K","-0,18%"
"14/08/2019","11,02","11,02","11,02","11,02","0,01K","0,18%"
"09/08/2019","11,00","10,70","11,01","10,70","2,01K","2,80%"
"08/08/2019","10,70","10,80","10,80","10,70","2,00K","0,00%"
"07/08/2019","10,70","11,00","11,20","10,70","3,47K","-1,92%"
"06/08/2019","10,91","10,91","10,91","10,91","0,86K","-0,82%"
"05/08/2019","11,00","11,20","11,20","11,00","0,36K","0,00%"
"02/08/2019","11,00","11,20","11,20","11,00","3,73K","0,00%"
"01/08/2019","11,00","10,88","11,00","10,88","2,18K","1,10%"
"31/07/2019","10,88","11,00","11,00","10,85","1,67K","-1,09%"
"30/07/2019","11,00","11,20","11,20","11,00","6,84K","-1,79%"
"29/07/2019","11,20","11,20","11,20","11,20","0,30K","0,00%"
"26/07/2019","11,20","11,20","11,20","11,20","0,30K","1,82%"
"24/07/2019","11,00","11,19","11,19","11,00","1,63K","-1,70%"
"23/07/2019","11,19","11,19","11,19","11,19","0,02K","-0,80%"
"22/07/2019","11,28","11,28","11,28","11,28","0,20K","2,55%"
"19/07/2019","11,00","11,01","11,01","11,00","1,16K","0,00%"
"18/07/2019","11,00","11,00","11,00","11,00","0,05K","-2,91%"
"17/07/2019","11,33","11,33","11,33","11,33","0,50K","3,00%"
"15/07/2019","11,00","11,01","11,02","11,00","1,21K","-1,79%"
"12/07/2019","11,20","11,65","11,65","11,00","0,52K","0,00%"
"11/07/2019","11,20","11,21","11,24","11,19","1,71K","-6,20%"
"10/07/2019","11,94","11,95","11,95","11,65","1,50K","-0,17%"
"09/07/2019","11,96","11,96","11,96","11,96","0,20K","0,00%"
"08/07/2019","11,96","11,96","11,96","11,96","0,10K","0,08%"
"05/07/2019","11,95","11,96","11,96","11,95","0,28K","-0,33%"
"04/07/2019","11,99","11,99","11,99","11,99","0,20K","3,81%"
"03/07/2019","11,55","11,90","12,00","11,55","0,92K","-2,94%"
"02/07/2019","11,90","11,90","11,90","11,90","0,02K","-0,83%"
"01/07/2019","12,00","12,00","12,00","12,00","0,30K","2,30%"
"28/06/2019","11,73","11,80","11,80","11,73","0,20K","2,45%"
"27/06/2019","11,45","11,75","11,75","11,45","0,23K","-0,43%"
"26/06/2019","11,50","11,51","11,51","11,45","0,69K","0,00%"
"25/06/2019","11,50","11,68","11,68","11,50","0,09K","0,44%"
"24/06/2019","11,45","11,74","11,74","11,45","0,16K","-2,97%"
"21/06/2019","11,80","11,80","11,80","11,80","0,15K","3,51%"
"20/06/2019","11,40","11,59","11,60","11,40","1,86K","-1,72%"
"19/06/2019","11,60","11,80","11,80","11,60","0,41K","0,87%"
"18/06/2019","11,50","11,80","11,80","11,50","0,62K","-1,71%"
"17/06/2019","11,70","11,70","11,70","11,70","0,10K","0,09%"
"14/06/2019","11,69","11,78","11,78","11,50","0,80K","2,10%"
"13/06/2019","11,45","11,80","11,80","11,45","0,63K","-2,55%"
"12/06/2019","11,75","11,75","11,75","11,75","0,15K","-0,25%"
"11/06/2019","11,78","11,50","11,78","11,50","0,32K","-0,17%"
"31/05/2019","11,80","12,10","12,10","11,80","1,55K","-1,58%"
