"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","14,30","14,59","14,59","14,19","1,16K","0,14%"
"08/04/2020","14,28","14,59","14,59","14,19","2,83K","0,00%"
"07/04/2020","14,28","14,70","14,70","14,15","5,17K","-0,14%"
"06/04/2020","14,30","14,98","14,98","14,17","4,70K","-2,05%"
"03/04/2020","14,60","14,69","14,69","14,30","3,69K","2,10%"
"02/04/2020","14,30","14,70","14,70","14,30","6,17K","-2,72%"
"01/04/2020","14,70","14,99","14,99","14,70","2,66K","-0,34%"
"31/03/2020","14,75","15,10","15,10","14,60","6,00K","-0,67%"
"30/03/2020","14,85","14,95","15,20","14,51","4,82K","0,00%"
"27/03/2020","14,85","15,22","15,22","14,80","21,23K","0,47%"
"26/03/2020","14,78","14,66","14,78","14,50","22,94K","3,00%"
"25/03/2020","14,35","14,19","14,60","14,19","13,16K","1,13%"
"24/03/2020","14,19","13,81","14,60","13,81","25,59K","0,07%"
"23/03/2020","14,18","14,18","14,60","14,18","12,95K","-2,94%"
"19/03/2020","14,61","14,61","15,30","14,61","37,42K","-5,86%"
"17/03/2020","15,52","16,00","16,00","15,52","0,70K","-5,65%"
"16/03/2020","16,45","17,49","17,49","16,45","1,98K","-6,00%"
"13/03/2020","17,50","18,49","18,50","17,50","88,78K","-6,07%"
"12/03/2020","18,63","19,50","19,79","18,63","15,94K","-5,86%"
"11/03/2020","19,79","19,02","19,98","19,01","11,26K","3,61%"
"10/03/2020","19,10","18,80","20,23","18,80","20,90K","-2,80%"
"09/03/2020","19,65","20,25","20,59","19,65","26,35K","-3,20%"
"06/03/2020","20,30","20,90","20,90","20,28","16,38K","-2,40%"
"05/03/2020","20,80","21,14","21,14","20,75","11,49K","-0,95%"
"04/03/2020","21,00","21,15","21,32","20,99","4,53K","-0,71%"
"03/03/2020","21,15","21,38","21,38","20,80","7,85K","0,14%"
"02/03/2020","21,12","21,77","21,77","21,12","11,45K","-2,99%"
"28/02/2020","21,77","21,54","21,80","21,54","3,38K","1,02%"
"27/02/2020","21,55","21,70","21,70","21,50","5,99K","-0,46%"
"26/02/2020","21,65","21,79","21,79","21,55","2,01K","0,00%"
"25/02/2020","21,65","21,65","21,80","21,60","4,01K","0,00%"
"24/02/2020","21,65","21,84","21,84","21,60","4,75K","0,00%"
"21/02/2020","21,65","21,60","21,75","21,60","2,13K","0,23%"
"20/02/2020","21,60","21,67","21,67","21,30","3,16K","-0,28%"
"19/02/2020","21,66","21,60","21,68","21,50","8,00K","-0,18%"
"18/02/2020","21,70","21,98","21,98","21,55","9,95K","-0,87%"
"17/02/2020","21,89","21,90","21,95","21,72","0,97K","0,00%"
"14/02/2020","21,89","21,50","21,98","21,50","7,58K","1,81%"
"13/02/2020","21,50","21,00","21,60","20,90","17,01K","2,38%"
"12/02/2020","21,00","21,01","21,44","20,65","9,08K","0,72%"
"11/02/2020","20,85","21,00","21,45","20,50","16,15K","-0,71%"
"10/02/2020","21,00","21,39","21,39","20,80","20,34K","-1,82%"
"07/02/2020","21,39","21,33","21,60","21,25","11,45K","-0,05%"
"06/02/2020","21,40","21,60","21,60","21,30","6,28K","-1,15%"
"05/02/2020","21,65","21,21","21,84","21,21","25,95K","1,98%"
"04/02/2020","21,23","21,19","21,79","21,19","31,04K","1,10%"
"03/02/2020","21,00","20,89","21,00","20,60","14,10K","0,96%"
"31/01/2020","20,80","20,50","21,00","20,50","16,46K","1,96%"
"30/01/2020","20,40","20,40","20,40","20,35","1,40K","0,00%"
"29/01/2020","20,40","20,40","20,40","20,11","0,32K","0,49%"
"28/01/2020","20,30","20,40","20,43","20,29","11,14K","-0,98%"
"27/01/2020","20,50","20,39","20,65","20,30","7,61K","0,54%"
"24/01/2020","20,39","20,50","20,50","20,01","6,00K","0,49%"
"23/01/2020","20,29","20,19","20,52","20,19","8,68K","0,50%"
"22/01/2020","20,19","20,00","20,30","19,86","7,15K","1,46%"
"21/01/2020","19,90","20,20","20,20","19,80","8,09K","-0,50%"
"20/01/2020","20,00","20,19","20,35","19,98","5,43K","-0,89%"
"17/01/2020","20,18","20,59","20,79","19,98","30,92K","-1,27%"
"16/01/2020","20,44","19,29","20,44","19,20","34,52K","5,96%"
"15/01/2020","19,29","19,40","19,40","18,85","11,00K","1,53%"
"13/01/2020","19,00","19,00","19,40","18,95","6,32K","0,21%"
"10/01/2020","18,96","18,97","18,97","18,80","4,14K","-0,05%"
"09/01/2020","18,97","19,00","19,00","18,75","6,68K","0,37%"
"08/01/2020","18,90","18,75","19,14","18,65","2,83K","0,80%"
"07/01/2020","18,75","19,11","19,28","18,75","5,23K","-1,83%"
"06/01/2020","19,10","18,88","19,10","18,75","11,96K","1,87%"
