"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","0,930","0,960","0,960","0,930","0,77K","-2,11%"
"08/04/2020","0,950","0,950","0,950","0,930","0,21K","0,00%"
"07/04/2020","0,950","0,930","0,950","0,930","0,75K","0,00%"
"02/04/2020","0,950","0,950","0,950","0,950","0,10K","0,00%"
"01/04/2020","0,950","0,950","0,950","0,950","1,01K","1,06%"
"31/03/2020","0,940","0,940","0,940","0,940","0,04K","2,17%"
"30/03/2020","0,920","0,920","0,920","0,920","1,03K","-2,13%"
"27/03/2020","0,940","0,940","0,940","0,940","1,20K","-2,08%"
"26/03/2020","0,960","0,960","0,980","0,960","2,62K","-2,04%"
"25/03/2020","0,980","0,980","0,980","0,980","2,20K","-2,97%"
"24/03/2020","1,010","1,010","1,010","1,010","1,00K","-2,88%"
"23/03/2020","1,040","1,040","1,040","1,040","2,80K","-2,80%"
"19/03/2020","1,070","1,070","1,070","1,070","1,10K","-2,73%"
"18/03/2020","1,100","1,100","1,100","1,100","0,35K","-9,09%"
"13/03/2020","1,210","1,230","1,230","1,210","1,40K","-9,02%"
"11/03/2020","1,330","1,300","1,330","1,300","0,20K","2,31%"
"10/03/2020","1,300","1,280","1,330","1,280","1,88K","-2,99%"
"09/03/2020","1,340","1,340","1,340","1,340","0,01K","0,75%"
"06/03/2020","1,330","1,320","1,340","1,290","4,86K","0,76%"
"05/03/2020","1,320","1,340","1,360","1,320","2,01K","-2,94%"
"04/03/2020","1,360","1,420","1,420","1,360","2,22K","-1,45%"
"03/03/2020","1,380","1,380","1,400","1,380","0,22K","1,47%"
"02/03/2020","1,360","1,330","1,360","1,330","4,13K","4,62%"
"28/02/2020","1,300","1,230","1,300","1,230","8,24K","0,78%"
"27/02/2020","1,290","1,300","1,300","1,270","0,30K","-0,77%"
"26/02/2020","1,300","1,300","1,300","1,280","0,32K","-2,99%"
"25/02/2020","1,340","1,380","1,380","1,320","2,04K","-2,90%"
"24/02/2020","1,380","1,370","1,380","1,370","0,24K","-3,50%"
"21/02/2020","1,430","1,420","1,430","1,420","0,00K","3,62%"
"20/02/2020","1,380","1,420","1,420","1,380","0,91K","-2,82%"
"19/02/2020","1,420","1,360","1,420","1,360","0,12K","0,00%"
"18/02/2020","1,420","1,420","1,420","1,350","0,40K","2,16%"
"17/02/2020","1,390","1,430","1,430","1,390","0,50K","-2,80%"
"14/02/2020","1,430","1,390","1,430","1,350","6,69K","0,00%"
"13/02/2020","1,430","1,470","1,470","1,430","1,12K","-2,72%"
"12/02/2020","1,470","1,470","1,470","1,470","0,22K","-1,34%"
"11/02/2020","1,490","1,460","1,490","1,400","3,72K","2,05%"
"10/02/2020","1,460","1,460","1,460","1,460","2,50K","-2,67%"
"07/02/2020","1,500","1,460","1,500","1,460","0,00K","0,00%"
"06/02/2020","1,500","1,500","1,500","1,490","2,58K","0,00%"
"05/02/2020","1,500","1,480","1,500","1,480","3,50K","0,00%"
"04/02/2020","1,500","1,490","1,500","1,460","7,23K","0,00%"
"03/02/2020","1,500","1,470","1,500","1,410","4,06K","2,04%"
"31/01/2020","1,470","1,470","1,470","1,470","0,00K","0,00%"
"30/01/2020","1,470","1,460","1,470","1,460","0,30K","-2,00%"
"27/01/2020","1,500","1,500","1,500","1,500","0,30K","-1,32%"
"24/01/2020","1,520","1,530","1,530","1,520","0,95K","-0,65%"
"23/01/2020","1,530","1,500","1,530","1,500","1,61K","2,00%"
"22/01/2020","1,500","1,500","1,500","1,500","1,05K","0,00%"
"21/01/2020","1,500","1,500","1,540","1,500","13,30K","2,74%"
"20/01/2020","1,460","1,420","1,460","1,420","2,99K","3,55%"
"17/01/2020","1,410","1,360","1,410","1,360","5,50K","5,22%"
"16/01/2020","1,340","1,310","1,340","1,310","5,01K","4,69%"
"15/01/2020","1,280","1,230","1,280","1,230","1,56K","4,07%"
"13/01/2020","1,230","1,140","1,230","1,140","4,65K","3,36%"
"10/01/2020","1,190","1,220","1,250","1,190","13,97K","-2,46%"
"09/01/2020","1,220","1,250","1,250","1,220","0,39K","-2,40%"
"08/01/2020","1,250","1,350","1,350","1,250","0,91K","-3,85%"
"07/01/2020","1,300","1,300","1,300","1,300","0,15K","-2,99%"
"06/01/2020","1,340","1,320","1,340","1,320","0,04K","5,51%"
"03/01/2020","1,270","1,300","1,300","1,270","0,56K","-2,31%"
"02/01/2020","1,300","1,360","1,360","1,300","0,45K","-2,99%"
"31/12/2019","1,340","1,400","1,430","1,340","16,98K","-4,96%"
"30/12/2019","1,410","1,410","1,420","1,410","1,21K","-2,76%"
"27/12/2019","1,450","1,490","1,490","1,450","0,23K","-1,36%"
"26/12/2019","1,470","1,470","1,480","1,450","2,43K","-1,34%"
"25/12/2019","1,490","1,500","1,500","1,480","2,08K","2,05%"
"24/12/2019","1,460","1,470","1,470","1,460","0,14K","-2,67%"
"19/12/2019","1,500","1,500","1,500","1,500","0,00K","0,67%"
"18/12/2019","1,490","1,500","1,500","1,460","2,02K","-0,67%"
"17/12/2019","1,500","1,500","1,500","1,500","0,09K","0,00%"
"16/12/2019","1,500","1,490","1,500","1,450","5,83K","0,67%"
"13/12/2019","1,490","1,490","1,490","1,490","0,18K","0,00%"
"12/12/2019","1,490","1,450","1,490","1,450","5,47K","2,76%"
"11/12/2019","1,450","1,410","1,450","1,410","1,92K","5,07%"
"10/12/2019","1,380","1,340","1,380","1,340","2,39K","0,00%"
"09/12/2019","1,380","1,380","1,380","1,340","0,74K","0,00%"
"06/12/2019","1,380","1,380","1,400","1,370","6,57K","-2,13%"
"05/12/2019","1,410","1,420","1,420","1,380","0,90K","0,71%"
"04/12/2019","1,400","1,430","1,430","1,400","3,87K","-2,78%"
"03/12/2019","1,440","1,450","1,450","1,440","3,11K","-3,36%"
"02/12/2019","1,490","1,450","1,490","1,450","3,37K","0,00%"
"29/11/2019","1,490","1,500","1,500","1,460","3,24K","-0,67%"
"28/11/2019","1,500","1,500","1,500","1,480","0,02K","-1,32%"
