"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","3,320","3,280","3,320","3,200","6,75K","1,84%"
"08/04/2020","3,260","3,300","3,300","3,160","8,49K","0,31%"
"07/04/2020","3,250","3,300","3,300","3,140","25,02K","0,62%"
"06/04/2020","3,230","3,360","3,390","3,230","0,78K","-2,71%"
"03/04/2020","3,320","3,390","3,390","3,240","0,77K","0,00%"
"02/04/2020","3,320","3,390","3,430","3,320","0,67K","-2,92%"
"01/04/2020","3,420","3,470","3,470","3,290","1,03K","0,88%"
"31/03/2020","3,390","3,300","3,480","3,300","1,42K","-0,29%"
"30/03/2020","3,400","3,400","3,400","3,390","0,50K","2,41%"
"27/03/2020","3,320","3,320","3,320","3,320","0,05K","2,47%"
"26/03/2020","3,240","3,240","3,240","3,240","0,00K","2,86%"
"25/03/2020","3,150","3,100","3,150","3,100","0,46K","1,61%"
"24/03/2020","3,100","3,050","3,100","3,050","0,40K","1,97%"
"23/03/2020","3,040","2,970","3,100","2,970","2,02K","-0,65%"
"19/03/2020","3,060","3,060","3,060","3,060","0,34K","-2,86%"
"18/03/2020","3,150","2,980","3,150","2,980","1,62K","2,61%"
"17/03/2020","3,070","3,160","3,160","3,070","6,02K","-2,54%"
"16/03/2020","3,150","3,150","3,160","3,060","19,07K","0,00%"
"13/03/2020","3,150","3,200","3,200","3,110","27,63K","0,00%"
"12/03/2020","3,150","3,190","3,200","3,100","3,42K","-3,37%"
"11/03/2020","3,260","3,190","3,260","3,130","4,17K","2,19%"
"10/03/2020","3,190","3,150","3,220","3,060","15,34K","-1,54%"
"09/03/2020","3,240","3,240","3,240","3,240","0,05K","0,00%"
"06/03/2020","3,240","3,240","3,260","3,150","5,43K","0,00%"
"05/03/2020","3,240","3,280","3,280","3,190","42,13K","-1,22%"
"04/03/2020","3,280","3,300","3,300","3,210","66,70K","-0,61%"
"03/03/2020","3,300","3,250","3,300","3,160","59,53K","1,54%"
"02/03/2020","3,250","3,270","3,270","3,180","20,83K","1,56%"
"28/02/2020","3,200","3,200","3,290","3,110","26,14K","0,00%"
"27/02/2020","3,200","2,980","3,200","2,980","18,47K","4,23%"
"26/02/2020","3,070","3,060","3,070","3,060","0,22K","0,00%"
"25/02/2020","3,070","3,050","3,070","3,050","2,05K","3,37%"
"24/02/2020","2,970","3,060","3,060","2,970","0,64K","-1,00%"
"21/02/2020","3,000","3,080","3,080","2,990","2,41K","-2,60%"
"20/02/2020","3,080","3,070","3,100","3,060","1,10K","3,01%"
"19/02/2020","2,990","3,050","3,090","2,990","4,14K","-2,92%"
"18/02/2020","3,080","3,100","3,100","3,010","6,98K","1,65%"
"17/02/2020","3,030","2,950","3,030","2,910","11,16K","2,36%"
"14/02/2020","2,960","2,930","2,960","2,890","14,28K","-0,34%"
"13/02/2020","2,970","2,850","2,970","2,850","5,18K","2,41%"
"12/02/2020","2,900","2,850","2,900","2,800","16,47K","2,84%"
"11/02/2020","2,820","2,820","2,820","2,800","4,13K","0,00%"
"10/02/2020","2,820","2,820","2,820","2,800","3,22K","0,71%"
"07/02/2020","2,800","2,700","2,800","2,680","18,48K","1,82%"
"06/02/2020","2,750","2,720","2,770","2,690","30,04K","-0,72%"
"05/02/2020","2,770","2,700","2,770","2,700","15,68K","2,21%"
"04/02/2020","2,710","2,720","2,790","2,640","62,51K","2,26%"
"03/02/2020","2,650","2,540","2,650","2,540","65,23K","5,58%"
"31/01/2020","2,510","2,490","2,520","2,470","32,93K","0,80%"
"30/01/2020","2,490","2,470","2,490","2,470","15,47K","0,40%"
"29/01/2020","2,480","2,460","2,480","2,430","4,92K","0,81%"
"28/01/2020","2,460","2,440","2,460","2,400","26,13K","0,82%"
"27/01/2020","2,440","2,440","2,460","2,440","1,31K","0,00%"
"24/01/2020","2,440","2,470","2,520","2,400","58,58K","0,00%"
"23/01/2020","2,440","2,430","2,500","2,430","1,03K","-2,40%"
"22/01/2020","2,500","2,470","2,510","2,420","2,74K","1,21%"
"21/01/2020","2,470","2,480","2,550","2,440","12,92K","-0,40%"
"20/01/2020","2,480","2,420","2,480","2,370","27,18K","2,48%"
"17/01/2020","2,420","2,390","2,420","2,320","12,92K","2,98%"
"16/01/2020","2,350","2,420","2,490","2,350","56,00K","-2,89%"
"15/01/2020","2,420","2,400","2,420","2,340","17,83K","0,83%"
"13/01/2020","2,400","2,300","2,400","2,300","10,46K","0,00%"
"10/01/2020","2,400","2,430","2,430","2,360","26,49K","-0,83%"
"09/01/2020","2,420","2,300","2,420","2,300","88,49K","4,31%"
"08/01/2020","2,320","2,330","2,340","2,280","2,03K","-0,85%"
"07/01/2020","2,340","2,350","2,360","2,280","76,53K","-0,43%"
"06/01/2020","2,350","2,360","2,360","2,300","38,15K","-0,42%"
"03/01/2020","2,360","2,380","2,420","2,310","91,47K","-0,42%"
"02/01/2020","2,370","2,380","2,380","2,370","5,70K","0,42%"
"31/12/2019","2,360","2,370","2,380","2,330","0,83K","-0,84%"
"30/12/2019","2,380","2,360","2,380","2,350","19,23K","0,00%"
"27/12/2019","2,380","2,390","2,410","2,320","52,43K","-0,42%"
"26/12/2019","2,390","2,380","2,390","2,380","3,70K","0,00%"
"25/12/2019","2,390","2,390","2,390","2,350","1,13K","-1,24%"
"24/12/2019","2,420","2,390","2,420","2,350","2,21K","0,00%"
"23/12/2019","2,420","2,410","2,430","2,350","12,31K","0,83%"
"20/12/2019","2,400","2,410","2,410","2,390","3,75K","0,42%"
"19/12/2019","2,390","2,360","2,400","2,350","3,36K","-0,42%"
"18/12/2019","2,400","2,430","2,430","2,360","55,77K","0,00%"
"17/12/2019","2,400","2,400","2,400","2,350","32,47K","0,00%"
"16/12/2019","2,400","2,350","2,400","2,350","42,87K","3,45%"
"13/12/2019","2,320","2,320","2,350","2,320","0,98K","0,00%"
"12/12/2019","2,320","2,350","2,350","2,320","2,16K","-1,28%"
"11/12/2019","2,350","2,350","2,370","2,300","15,59K","0,00%"
"10/12/2019","2,350","2,300","2,350","2,280","9,92K","0,00%"
"09/12/2019","2,350","2,350","2,350","2,350","6,06K","0,43%"
"06/12/2019","2,340","2,310","2,350","2,310","0,06K","-0,43%"
"05/12/2019","2,350","2,320","2,380","2,300","18,50K","-0,84%"
"04/12/2019","2,370","2,320","2,400","2,320","7,04K","-0,84%"
"03/12/2019","2,390","2,400","2,410","2,390","0,41K","0,00%"
"02/12/2019","2,390","2,390","2,400","2,360","0,54K","-0,83%"
"29/11/2019","2,410","2,420","2,430","2,360","12,04K","-0,82%"
"28/11/2019","2,430","2,390","2,430","2,390","18,61K","1,25%"
"27/11/2019","2,400","2,400","2,410","2,340","1,10K","-0,41%"
"26/11/2019","2,410","2,400","2,410","2,360","3,80K","0,84%"
"25/11/2019","2,390","2,370","2,390","2,350","22,87K","0,84%"
"22/11/2019","2,370","2,370","2,380","2,370","0,07K","0,85%"
"21/11/2019","2,350","2,320","2,380","2,320","2,16K","1,29%"
"20/11/2019","2,320","2,350","2,380","2,320","2,30K","-2,11%"
"19/11/2019","2,370","2,390","2,390","2,320","52,68K","-1,25%"
"18/11/2019","2,400","2,410","2,430","2,340","39,06K","-1,23%"
"15/11/2019","2,430","2,400","2,450","2,380","3,71K","-0,82%"
"14/11/2019","2,450","2,400","2,450","2,400","13,31K","1,24%"
"13/11/2019","2,420","2,340","2,420","2,330","19,53K","1,68%"
"12/11/2019","2,380","2,370","2,380","2,370","1,41K","0,00%"
"11/11/2019","2,380","2,400","2,430","2,330","18,36K","-0,83%"
"08/11/2019","2,400","2,340","2,400","2,340","10,60K","0,00%"
"07/11/2019","2,400","2,440","2,470","2,340","34,13K","0,42%"
"06/11/2019","2,390","2,340","2,400","2,340","3,73K","2,58%"
"05/11/2019","2,330","2,230","2,330","2,230","13,86K","1,75%"
"04/11/2019","2,290","2,280","2,290","2,220","1,95K","0,00%"
"01/11/2019","2,290","2,260","2,290","2,200","17,69K","0,00%"
"31/10/2019","2,290","2,300","2,330","2,240","51,47K","-2,14%"
"30/10/2019","2,340","2,370","2,370","2,280","10,87K","0,86%"
"29/10/2019","2,320","2,460","2,460","2,320","26,43K","-5,69%"
"28/10/2019","2,460","2,480","2,500","2,410","7,41K","0,41%"
"25/10/2019","2,450","2,380","2,450","2,350","53,10K","2,08%"
"24/10/2019","2,400","2,410","2,430","2,340","83,82K","0,84%"
"23/10/2019","2,380","2,390","2,430","2,340","66,43K","0,00%"
"22/10/2019","2,380","2,320","2,380","2,320","118,44K","3,03%"
"21/10/2019","2,310","2,250","2,310","2,250","79,35K","2,67%"
"18/10/2019","2,250","2,260","2,260","2,250","0,12K","0,45%"
"17/10/2019","2,240","2,250","2,260","2,240","7,59K","0,45%"
"16/10/2019","2,230","2,260","2,270","2,200","31,98K","-1,33%"
"14/10/2019","2,260","2,260","2,270","2,240","5,65K","0,44%"
"11/10/2019","2,250","2,270","2,270","2,250","2,60K","-0,88%"
"10/10/2019","2,270","2,260","2,270","2,260","0,23K","0,00%"
"09/10/2019","2,270","2,250","2,270","2,250","8,10K","1,79%"
"08/10/2019","2,230","2,250","2,260","2,230","2,32K","-1,33%"
"07/10/2019","2,260","2,270","2,300","2,210","82,81K","1,35%"
"04/10/2019","2,230","2,220","2,270","2,210","33,15K","0,90%"
"03/10/2019","2,210","2,230","2,250","2,210","4,18K","-0,90%"
"02/10/2019","2,230","2,250","2,260","2,180","47,78K","-0,45%"
"01/10/2019","2,240","2,220","2,260","2,220","16,18K","0,00%"
"30/09/2019","2,240","2,250","2,250","2,220","1,72K","-0,88%"
"27/09/2019","2,260","2,260","2,270","2,240","11,83K","0,00%"
"26/09/2019","2,260","2,280","2,340","2,230","211,00K","-0,88%"
"25/09/2019","2,280","2,250","2,290","2,250","40,98K","1,33%"
"24/09/2019","2,250","2,240","2,250","2,210","13,50K","0,00%"
"23/09/2019","2,250","2,260","2,260","2,200","13,50K","1,81%"
"20/09/2019","2,210","2,270","2,270","2,210","48,33K","-0,45%"
"19/09/2019","2,220","2,230","2,290","2,220","41,56K","-0,45%"
"18/09/2019","2,230","2,280","2,290","2,230","22,86K","-2,62%"
"17/09/2019","2,290","2,300","2,300","2,250","2,75K","-0,43%"
