"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","7,35","7,47","7,47","7,05","0,30K","1,24%"
"08/04/2020","7,26","7,06","7,30","7,06","0,72K","0,00%"
"07/04/2020","7,26","7,65","7,65","7,26","0,98K","-2,94%"
"06/04/2020","7,48","7,48","7,48","7,48","0,00K","2,89%"
"03/04/2020","7,27","7,49","7,49","7,27","0,05K","-2,94%"
"02/04/2020","7,49","7,49","7,49","7,49","0,57K","-0,13%"
"01/04/2020","7,50","7,27","7,50","7,27","0,10K","0,13%"
"31/03/2020","7,49","7,49","7,49","7,49","0,10K","-0,13%"
"30/03/2020","7,50","7,70","7,70","7,30","2,01K","-0,13%"
"27/03/2020","7,51","7,90","7,92","7,50","0,78K","-2,47%"
"26/03/2020","7,70","7,50","7,70","7,50","0,12K","2,67%"
"25/03/2020","7,50","7,50","7,50","7,50","0,13K","2,60%"
"24/03/2020","7,31","7,30","7,31","6,89","4,96K","2,96%"
"23/03/2020","7,10","7,27","7,28","7,10","0,35K","0,42%"
"19/03/2020","7,07","7,07","7,08","7,06","3,46K","2,76%"
"18/03/2020","6,88","6,89","6,89","6,49","1,09K","2,84%"
"17/03/2020","6,69","6,89","6,89","6,69","1,96K","-3,18%"
"16/03/2020","6,91","6,91","6,91","6,91","0,61K","-2,95%"
"13/03/2020","7,12","7,34","7,34","7,12","0,73K","-3,13%"
"12/03/2020","7,35","7,45","7,45","7,35","2,90K","0,00%"
"11/03/2020","7,35","7,34","7,36","7,30","1,94K","0,68%"
"10/03/2020","7,30","7,12","7,30","7,10","1,41K","2,53%"
"09/03/2020","7,12","7,47","7,50","7,12","2,92K","-3,00%"
"06/03/2020","7,34","7,50","7,50","7,23","0,20K","-0,81%"
"05/03/2020","7,40","7,40","7,40","7,40","0,25K","-0,94%"
"04/03/2020","7,47","7,47","7,47","7,31","3,03K","-0,13%"
"03/03/2020","7,48","7,40","7,48","7,40","0,40K","-0,27%"
"02/03/2020","7,50","7,50","7,65","7,50","1,44K","0,00%"
"28/02/2020","7,50","7,39","7,50","7,39","2,02K","1,49%"
"27/02/2020","7,39","7,39","7,39","7,39","0,11K","-0,54%"
"26/02/2020","7,43","7,47","7,50","7,43","2,55K","0,00%"
"25/02/2020","7,43","7,43","7,50","7,43","4,00K","0,00%"
"24/02/2020","7,43","7,65","7,65","7,43","2,10K","-2,88%"
"21/02/2020","7,65","7,80","7,80","7,65","2,08K","-1,92%"
"20/02/2020","7,80","7,65","7,80","7,65","3,03K","1,83%"
"19/02/2020","7,66","7,80","7,80","7,66","0,97K","0,00%"
"18/02/2020","7,66","7,66","7,66","7,66","0,50K","-1,79%"
"17/02/2020","7,80","7,80","7,80","7,80","0,10K","0,00%"
"14/02/2020","7,80","7,70","7,80","7,70","0,59K","1,30%"
"13/02/2020","7,70","7,70","7,71","7,70","0,79K","0,00%"
"12/02/2020","7,70","7,70","7,70","7,66","4,20K","0,65%"
"11/02/2020","7,65","7,60","7,80","7,60","6,77K","-1,80%"
"10/02/2020","7,79","7,80","7,80","7,79","1,62K","-0,13%"
"07/02/2020","7,80","7,80","7,80","7,80","2,26K","-1,14%"
"06/02/2020","7,89","7,89","7,89","7,75","0,83K","1,15%"
"05/02/2020","7,80","7,70","7,80","7,70","4,06K","0,00%"
"04/02/2020","7,80","7,80","7,80","7,80","1,16K","0,00%"
"03/02/2020","7,80","7,60","7,80","7,60","2,84K","0,52%"
"31/01/2020","7,76","7,80","7,80","7,76","1,04K","-0,51%"
"30/01/2020","7,80","7,95","7,95","7,80","3,96K","0,00%"
"29/01/2020","7,80","7,80","7,80","7,80","0,68K","0,00%"
"28/01/2020","7,80","7,97","7,97","7,80","1,10K","-0,64%"
"27/01/2020","7,85","7,98","7,98","7,80","2,30K","-1,63%"
"24/01/2020","7,98","7,98","7,98","7,98","0,06K","-0,25%"
"23/01/2020","8,00","8,00","8,00","7,60","0,10K","2,56%"
"22/01/2020","7,80","7,80","7,80","7,71","2,06K","-2,50%"
"21/01/2020","8,00","7,80","8,00","7,80","6,49K","0,00%"
"20/01/2020","8,00","8,02","8,04","7,80","0,31K","-0,25%"
"17/01/2020","8,02","7,90","8,02","7,90","2,50K","0,25%"
"16/01/2020","8,00","8,04","8,04","7,81","0,49K","-0,62%"
"15/01/2020","8,05","8,09","8,09","8,05","0,35K","-0,62%"
"13/01/2020","8,10","7,72","8,10","7,72","0,71K","2,02%"
"10/01/2020","7,94","7,94","7,94","7,71","0,90K","0,00%"
"09/01/2020","7,94","7,54","7,95","7,54","3,88K","5,31%"
"08/01/2020","7,54","7,63","7,63","7,54","0,90K","-1,44%"
"07/01/2020","7,65","7,85","7,85","7,63","14,20K","-2,55%"
"06/01/2020","7,85","7,85","7,85","7,85","0,00K","-0,13%"
"03/01/2020","7,86","7,80","8,03","7,60","1,20K","0,77%"
"02/01/2020","7,80","7,81","7,81","7,80","0,41K","0,00%"
"31/12/2019","7,80","7,95","8,00","7,80","4,07K","-1,27%"
"30/12/2019","7,90","7,80","7,90","7,78","3,71K","1,41%"
"27/12/2019","7,79","7,81","7,81","7,78","6,15K","-1,14%"
"26/12/2019","7,88","7,87","7,88","7,87","0,90K","-0,13%"
"24/12/2019","7,89","7,89","7,89","7,89","0,20K","-0,13%"
"23/12/2019","7,90","7,89","7,90","7,81","1,48K","0,00%"
"20/12/2019","7,90","7,89","7,90","7,80","3,29K","0,13%"
"19/12/2019","7,89","7,90","7,90","7,89","3,61K","-0,13%"
"18/12/2019","7,90","7,79","7,90","7,79","0,55K","1,41%"
"17/12/2019","7,79","7,78","7,79","7,78","0,18K","-0,13%"
"16/12/2019","7,80","7,85","7,85","7,80","0,14K","-0,64%"
"13/12/2019","7,85","7,90","7,90","7,85","0,20K","-0,63%"
"12/12/2019","7,90","7,85","7,90","7,85","3,40K","0,64%"
"11/12/2019","7,85","7,90","7,90","7,85","0,28K","-0,38%"
"10/12/2019","7,88","7,86","7,90","7,85","3,43K","-0,25%"
"09/12/2019","7,90","7,85","7,90","7,85","4,51K","0,00%"
"06/12/2019","7,90","7,90","7,90","7,90","0,50K","0,64%"
"05/12/2019","7,85","7,90","7,90","7,85","2,50K","-0,63%"
"04/12/2019","7,90","7,90","7,90","7,81","2,46K","0,00%"
"03/12/2019","7,90","7,90","7,90","7,90","0,05K","0,00%"
"02/12/2019","7,90","7,99","7,99","7,90","11,94K","-1,25%"
"29/11/2019","8,00","7,90","8,00","7,90","5,13K","0,00%"
"28/11/2019","8,00","8,00","8,00","8,00","2,84K","0,00%"
"27/11/2019","8,00","7,99","8,00","7,99","0,24K","0,00%"
"26/11/2019","8,00","8,01","8,01","8,00","1,22K","0,00%"
"25/11/2019","8,00","8,17","8,17","8,00","11,41K","0,00%"
"22/11/2019","8,00","8,00","8,01","8,00","13,43K","0,00%"
"21/11/2019","8,00","8,00","8,10","8,00","1,93K","-2,20%"
"20/11/2019","8,18","8,00","8,19","7,83","6,24K","2,25%"
"19/11/2019","8,00","7,98","8,10","7,85","32,51K","0,00%"
"15/11/2019","8,00","8,01","8,01","8,00","1,96K","1,91%"
"14/11/2019","7,85","8,10","8,10","7,85","1,74K","-1,88%"
"13/11/2019","8,00","7,81","8,10","7,81","0,75K","0,00%"
"12/11/2019","8,00","7,82","8,10","7,81","0,51K","1,27%"
"11/11/2019","7,90","7,85","8,10","7,85","4,26K","-2,35%"
"08/11/2019","8,09","8,09","8,09","8,09","0,05K","-0,12%"
"07/11/2019","8,10","8,10","8,10","7,91","0,54K","-0,61%"
"06/11/2019","8,15","8,15","8,15","8,15","0,05K","0,74%"
"05/11/2019","8,09","8,09","8,09","8,09","0,05K","1,13%"
"04/11/2019","8,00","8,00","8,17","8,00","0,84K","-2,20%"
"01/11/2019","8,18","8,18","8,18","8,18","0,05K","2,25%"
"31/10/2019","8,00","8,00","8,00","8,00","0,15K","0,00%"
"30/10/2019","8,00","8,10","8,10","8,00","1,54K","-2,91%"
"29/10/2019","8,24","8,24","8,24","8,20","0,30K","1,10%"
"28/10/2019","8,15","7,91","8,22","7,91","1,40K","0,00%"
"25/10/2019","8,15","8,15","8,15","8,15","0,05K","0,00%"
"24/10/2019","8,15","8,15","8,20","8,15","3,27K","1,87%"
"23/10/2019","8,00","7,80","8,00","7,80","7,96K","2,56%"
"22/10/2019","7,80","7,90","7,90","7,80","0,08K","0,00%"
"21/10/2019","7,80","7,81","7,81","7,80","0,62K","-2,50%"
"18/10/2019","8,00","8,15","8,15","8,00","0,13K","2,56%"
"17/10/2019","7,80","8,00","8,15","7,80","12,44K","-1,89%"
"16/10/2019","7,95","7,90","7,95","7,89","2,50K","2,58%"
"11/10/2019","7,75","7,90","8,00","7,73","3,69K","-0,64%"
"10/10/2019","7,80","7,80","7,80","7,80","1,39K","-2,38%"
"09/10/2019","7,99","7,99","7,99","7,99","0,00K","1,14%"
"08/10/2019","7,90","7,95","7,95","7,90","0,32K","1,80%"
"07/10/2019","7,76","8,00","8,00","7,76","1,11K","-2,39%"
"04/10/2019","7,95","8,00","8,00","7,95","1,10K","-0,63%"
"03/10/2019","8,00","7,95","8,00","7,95","0,30K","0,00%"
"02/10/2019","8,00","7,79","8,00","7,79","0,40K","0,00%"
"01/10/2019","8,00","7,94","8,00","7,94","2,78K","0,76%"
"30/09/2019","7,94","7,70","7,94","7,70","0,30K","-0,13%"
"27/09/2019","7,95","7,95","8,15","7,95","0,45K","0,13%"
"26/09/2019","7,94","7,95","7,95","7,94","0,09K","-0,63%"
"25/09/2019","7,99","8,15","8,15","7,80","0,87K","2,44%"
"24/09/2019","7,80","7,76","7,80","7,76","0,33K","0,52%"
