"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","11,40","11,00","11,40","11,00","0,55K","2,61%"
"08/04/2020","11,11","11,40","11,40","11,11","7,19K","-2,97%"
"07/04/2020","11,45","10,91","11,50","10,90","4,90K","2,14%"
"06/04/2020","11,21","11,21","11,25","11,21","4,57K","-2,94%"
"03/04/2020","11,55","11,55","11,55","11,55","0,85K","-2,94%"
"02/04/2020","11,90","11,63","11,98","11,62","1,08K","-0,58%"
"01/04/2020","11,97","11,63","12,00","11,63","2,20K","-0,08%"
"31/03/2020","11,98","11,80","12,00","11,80","2,66K","1,53%"
"30/03/2020","11,80","11,80","12,15","11,45","3,03K","0,00%"
"27/03/2020","11,80","11,95","11,95","11,55","6,86K","-0,84%"
"26/03/2020","11,90","12,03","12,04","11,90","0,67K","1,80%"
"25/03/2020","11,69","11,35","11,69","11,30","9,37K","3,00%"
"24/03/2020","11,35","11,60","11,60","11,30","7,12K","0,44%"
"23/03/2020","11,30","11,33","11,68","11,02","7,61K","-0,35%"
"19/03/2020","11,34","12,04","12,04","11,34","22,82K","-2,99%"
"18/03/2020","11,69","11,69","12,00","11,69","5,90K","-2,99%"
"17/03/2020","12,05","12,05","12,05","12,05","2,51K","-2,98%"
"16/03/2020","12,42","12,80","12,80","12,42","5,98K","-5,19%"
"13/03/2020","13,10","13,47","13,47","13,10","1,86K","-3,61%"
"12/03/2020","13,59","13,80","14,30","13,50","5,53K","-2,23%"
"11/03/2020","13,90","14,10","14,10","13,90","2,83K","-1,35%"
"10/03/2020","14,09","13,85","14,20","13,44","5,76K","0,50%"
"09/03/2020","14,02","14,28","14,28","14,02","12,04K","-2,98%"
"06/03/2020","14,45","14,48","14,48","14,26","6,87K","-0,34%"
"05/03/2020","14,50","14,60","14,60","14,50","1,31K","-0,68%"
"04/03/2020","14,60","14,60","14,60","14,55","7,31K","0,34%"
"03/03/2020","14,55","14,20","14,60","14,20","4,90K","-0,34%"
"02/03/2020","14,60","15,00","15,00","14,60","11,61K","-0,68%"
"28/02/2020","14,70","14,63","14,75","14,50","11,61K","1,10%"
"27/02/2020","14,54","14,64","14,64","14,30","4,48K","-0,68%"
"26/02/2020","14,64","14,80","14,80","14,31","4,07K","-0,68%"
"25/02/2020","14,74","14,80","14,80","14,35","1,30K","0,27%"
"24/02/2020","14,70","14,70","14,90","14,70","0,92K","-0,07%"
"21/02/2020","14,71","14,80","14,88","14,70","7,02K","-0,47%"
"20/02/2020","14,78","14,35","14,78","14,35","3,12K","0,54%"
"19/02/2020","14,70","14,27","14,70","14,27","4,39K","-0,07%"
"18/02/2020","14,71","14,71","14,94","14,60","5,06K","-1,54%"
"17/02/2020","14,94","14,97","14,97","14,94","2,97K","-0,13%"
"14/02/2020","14,96","15,00","15,00","14,60","5,07K","0,40%"
"13/02/2020","14,90","14,94","15,15","14,85","30,98K","4,20%"
"12/02/2020","14,30","13,90","14,30","13,89","8,88K","2,95%"
"11/02/2020","13,89","13,89","13,89","13,80","1,27K","0,65%"
"10/02/2020","13,80","13,80","13,90","13,80","7,06K","-0,72%"
"07/02/2020","13,90","13,90","14,08","13,90","2,17K","0,00%"
"06/02/2020","13,90","13,95","14,00","13,90","7,94K","-0,36%"
"05/02/2020","13,95","14,00","14,00","13,95","3,61K","1,09%"
"04/02/2020","13,80","14,00","14,01","13,80","17,67K","-1,43%"
"03/02/2020","14,00","13,75","14,00","13,75","14,14K","1,82%"
"31/01/2020","13,75","13,85","13,90","13,75","2,05K","-0,72%"
"30/01/2020","13,85","13,85","13,90","13,85","3,32K","0,00%"
"29/01/2020","13,85","13,70","13,85","13,70","1,45K","-0,29%"
"28/01/2020","13,89","13,70","13,90","13,60","3,59K","0,65%"
"27/01/2020","13,80","13,88","13,90","13,70","5,74K","-0,72%"
"24/01/2020","13,90","13,90","13,90","13,90","0,05K","0,00%"
"23/01/2020","13,90","14,00","14,00","13,58","4,95K","-0,36%"
"22/01/2020","13,95","13,70","13,95","13,70","1,69K","1,82%"
"21/01/2020","13,70","13,85","14,00","13,70","5,32K","-1,37%"
"20/01/2020","13,89","13,67","13,98","13,67","2,70K","1,76%"
"17/01/2020","13,65","13,48","13,65","13,40","2,70K","1,56%"
"16/01/2020","13,44","13,47","13,47","13,30","2,78K","-0,22%"
"15/01/2020","13,47","13,49","13,49","13,30","2,61K","-0,07%"
"13/01/2020","13,48","13,16","13,55","13,16","2,83K","2,51%"
"10/01/2020","13,15","13,30","13,38","13,15","3,09K","-1,79%"
"09/01/2020","13,39","13,00","13,39","12,80","6,03K","3,00%"
"08/01/2020","13,00","13,25","13,30","12,61","2,94K","0,00%"
"07/01/2020","13,00","13,20","13,20","13,00","21,24K","-1,52%"
"06/01/2020","13,20","13,30","13,30","13,15","3,69K","-1,49%"
"03/01/2020","13,40","13,70","13,70","13,30","1,39K","0,75%"
"02/01/2020","13,30","13,50","13,50","13,30","6,83K","-1,55%"
"31/12/2019","13,51","13,80","14,00","13,51","3,49K","-1,75%"
"30/12/2019","13,75","13,35","13,75","13,35","41,20K","4,17%"
"27/12/2019","13,20","13,50","13,55","13,10","7,12K","-1,49%"
"26/12/2019","13,40","13,20","13,55","13,20","5,33K","1,52%"
"25/12/2019","13,20","13,30","13,30","13,10","7,15K","-0,60%"
"24/12/2019","13,28","13,28","13,30","13,28","2,72K","0,00%"
"23/12/2019","13,28","13,29","13,29","13,28","2,25K","-0,08%"
"20/12/2019","13,29","13,30","13,30","13,10","2,04K","0,00%"
"19/12/2019","13,29","13,12","13,30","13,12","2,15K","1,30%"
"18/12/2019","13,12","13,25","13,30","13,12","3,68K","-0,61%"
"17/12/2019","13,20","13,40","13,40","13,20","6,29K","-1,12%"
"16/12/2019","13,35","13,40","13,40","13,30","1,69K","-0,37%"
"13/12/2019","13,40","13,40","13,40","13,35","3,00K","0,00%"
"12/12/2019","13,40","13,45","13,45","13,40","1,41K","-0,74%"
"11/12/2019","13,50","13,40","13,50","13,40","1,71K","0,75%"
"10/12/2019","13,40","13,50","13,70","13,35","4,91K","-0,74%"
"09/12/2019","13,50","13,70","13,70","13,50","1,14K","0,00%"
"06/12/2019","13,50","13,70","13,70","13,50","1,90K","-0,37%"
"05/12/2019","13,55","13,70","13,70","13,55","0,92K","0,37%"
"04/12/2019","13,50","13,70","13,70","13,45","1,42K","-0,74%"
"03/12/2019","13,60","13,59","13,70","13,59","3,02K","0,00%"
"02/12/2019","13,60","13,65","13,65","13,50","2,32K","-0,37%"
"29/11/2019","13,65","13,65","13,70","13,64","1,07K","0,00%"
"28/11/2019","13,65","13,65","13,70","13,64","3,12K","0,07%"
"27/11/2019","13,64","13,50","13,67","13,50","1,65K","1,04%"
"26/11/2019","13,50","13,40","13,65","13,40","5,69K","0,60%"
"25/11/2019","13,42","13,55","13,55","13,42","2,26K","-0,59%"
"22/11/2019","13,50","13,42","13,60","13,40","1,85K","-1,24%"
"21/11/2019","13,67","13,67","13,67","13,66","0,68K","0,07%"
"20/11/2019","13,66","13,75","13,75","13,41","1,11K","-0,15%"
"19/11/2019","13,68","13,61","13,99","13,61","1,57K","0,22%"
"15/11/2019","13,65","13,67","13,68","13,65","2,36K","-0,15%"
"14/11/2019","13,67","13,68","13,68","13,63","5,07K","-0,07%"
"13/11/2019","13,68","13,75","13,75","13,68","1,06K","-0,15%"
"12/11/2019","13,70","13,70","13,78","13,70","1,23K","0,00%"
"11/11/2019","13,70","13,50","13,79","13,50","2,15K","-0,65%"
"08/11/2019","13,79","13,70","13,79","13,50","11,44K","0,66%"
"07/11/2019","13,70","13,75","13,75","13,70","1,52K","-0,65%"
"06/11/2019","13,79","13,85","13,85","13,50","1,00K","-0,29%"
"05/11/2019","13,83","13,80","13,90","13,58","0,64K","-1,14%"
"04/11/2019","13,99","13,58","13,99","13,58","1,35K","0,00%"
"01/11/2019","13,99","13,99","14,00","13,99","2,00K","0,00%"
"31/10/2019","13,99","14,00","14,00","13,99","0,39K","0,65%"
"30/10/2019","13,90","13,61","14,00","13,50","3,76K","-0,71%"
"29/10/2019","14,00","14,00","14,00","14,00","1,13K","0,00%"
"28/10/2019","14,00","14,09","14,09","14,00","0,68K","-0,64%"
"25/10/2019","14,09","14,20","14,20","14,00","1,29K","0,64%"
"24/10/2019","14,00","14,13","14,15","14,00","6,65K","-1,06%"
"23/10/2019","14,15","14,20","14,20","14,00","2,87K","0,00%"
"22/10/2019","14,15","14,20","14,20","14,05","3,78K","-0,35%"
"21/10/2019","14,20","14,15","14,20","14,15","1,77K","0,35%"
"18/10/2019","14,15","14,14","14,15","14,10","2,27K","0,00%"
"17/10/2019","14,15","14,15","14,15","14,14","2,04K","0,00%"
"16/10/2019","14,15","14,15","14,15","14,13","1,57K","0,43%"
"14/10/2019","14,09","14,15","14,15","14,00","1,54K","0,64%"
"11/10/2019","14,00","14,05","14,15","14,00","1,05K","-0,36%"
"10/10/2019","14,05","14,05","14,09","14,05","0,26K","0,00%"
"09/10/2019","14,05","14,05","14,05","13,91","4,05K","-0,28%"
"08/10/2019","14,09","14,09","14,09","14,00","1,72K","-0,42%"
"07/10/2019","14,15","14,20","14,23","14,15","0,35K","-0,35%"
"04/10/2019","14,20","13,90","14,25","13,90","2,33K","-0,28%"
"03/10/2019","14,24","14,25","14,25","13,90","1,30K","0,00%"
"02/10/2019","14,24","13,83","14,24","13,83","1,22K","-0,07%"
"01/10/2019","14,25","14,01","14,25","13,70","3,30K","1,06%"
"30/09/2019","14,10","14,29","14,29","14,10","0,16K","-0,56%"
"27/09/2019","14,18","14,20","14,20","14,18","1,25K","0,21%"
"26/09/2019","14,15","13,80","14,21","13,80","4,84K","1,43%"
"25/09/2019","13,95","13,80","13,99","13,80","6,48K","1,23%"
"24/09/2019","13,78","13,98","13,98","13,78","0,73K","-1,43%"
"23/09/2019","13,98","14,20","14,20","13,78","7,70K","-1,55%"
"20/09/2019","14,20","14,29","14,29","14,10","2,67K","-0,35%"
"19/09/2019","14,25","14,30","14,40","14,25","6,86K","-0,35%"
"18/09/2019","14,30","14,50","14,50","14,30","1,51K","-1,38%"
"17/09/2019","14,50","14,55","14,55","14,40","1,03K","0,00%"
"16/09/2019","14,50","14,52","14,55","14,40","1,59K","-0,34%"
"13/09/2019","14,55","14,70","14,70","14,50","1,78K","-0,21%"
"12/09/2019","14,58","14,71","14,71","14,58","1,66K","-0,88%"
"11/09/2019","14,71","14,50","14,72","14,50","6,83K","2,15%"
"10/09/2019","14,40","14,40","14,40","14,40","10,56K","0,00%"
"09/09/2019","14,40","14,40","14,50","14,40","3,80K","0,00%"
"06/09/2019","14,40","14,55","14,59","14,40","7,44K","-1,23%"
"05/09/2019","14,58","14,60","14,60","14,50","2,72K","-0,95%"
"04/09/2019","14,72","14,72","14,73","14,55","4,79K","0,00%"
"03/09/2019","14,72","14,50","14,74","14,50","1,55K","-0,14%"
"02/09/2019","14,74","14,61","14,80","14,60","7,40K","-1,40%"
"30/08/2019","14,95","14,90","15,00","14,90","2,89K","-0,99%"
"29/08/2019","15,10","15,15","15,15","15,00","0,85K","-0,33%"
"28/08/2019","15,15","15,06","15,15","15,00","5,68K","0,33%"
"27/08/2019","15,10","15,11","15,11","15,10","3,10K","-0,66%"
"26/08/2019","15,20","15,15","15,20","15,15","0,05K","0,07%"
