"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","9,14","9,20","9,32","9,07","38,19K","-0,33%"
"08/04/2020","9,17","9,19","9,25","9,15","24,30K","-0,22%"
"07/04/2020","9,19","9,09","9,27","9,09","17,76K","0,55%"
"06/04/2020","9,14","9,00","9,14","8,80","4,82K","1,56%"
"03/04/2020","9,00","9,07","9,07","8,90","16,58K","-0,66%"
"02/04/2020","9,06","9,30","9,30","9,06","48,67K","-3,00%"
"01/04/2020","9,34","9,49","9,49","9,34","59,70K","1,08%"
"31/03/2020","9,24","9,00","9,24","8,98","37,35K","2,90%"
"30/03/2020","8,98","9,00","9,10","8,73","476,88K","-0,22%"
"27/03/2020","9,00","8,80","9,06","8,54","1,36M","2,27%"
"26/03/2020","8,80","8,89","9,08","8,78","59,57K","-1,12%"
"25/03/2020","8,90","8,79","8,98","8,53","92,78K","1,25%"
"24/03/2020","8,79","9,32","9,33","8,79","155,75K","-2,98%"
"23/03/2020","9,06","8,62","9,07","8,62","9,07K","2,84%"
"19/03/2020","8,81","8,57","9,08","8,57","17,00K","-0,23%"
"18/03/2020","8,83","9,00","9,35","8,81","59,48K","-7,05%"
"16/03/2020","9,50","9,90","9,90","9,46","119,35K","-4,81%"
"13/03/2020","9,98","10,25","10,55","9,95","130,92K","-4,77%"
"12/03/2020","10,48","10,81","10,81","10,48","12,58K","-2,96%"
"11/03/2020","10,80","10,60","11,07","10,60","25,39K","1,89%"
"10/03/2020","10,60","10,50","10,80","10,19","28,39K","0,00%"
"09/03/2020","10,60","11,13","11,31","10,57","433,33K","-5,69%"
"06/03/2020","11,24","11,39","11,45","11,10","11,41K","-0,09%"
"05/03/2020","11,25","11,45","11,46","11,21","19,69K","-1,32%"
"04/03/2020","11,40","11,45","11,57","11,38","7,00K","-0,44%"
"03/03/2020","11,45","11,57","11,57","11,39","7,67K","-0,35%"
"02/03/2020","11,49","11,60","11,62","11,40","3,20K","-0,09%"
"28/02/2020","11,50","11,30","11,60","11,30","6,48K","1,77%"
"27/02/2020","11,30","11,30","11,30","11,20","10,15K","-0,53%"
"26/02/2020","11,36","11,27","11,37","11,26","10,26K","-0,35%"
"25/02/2020","11,40","11,40","11,50","11,30","5,25K","0,00%"
"24/02/2020","11,40","11,47","11,47","11,35","9,46K","0,00%"
"21/02/2020","11,40","11,49","11,64","11,34","13,21K","0,00%"
"20/02/2020","11,40","11,67","11,67","11,35","30,22K","-0,87%"
"19/02/2020","11,50","11,50","11,51","11,48","29,37K","0,00%"
"18/02/2020","11,50","11,70","11,70","11,48","17,92K","0,00%"
"17/02/2020","11,50","11,76","11,76","11,49","19,18K","0,00%"
"14/02/2020","11,50","11,50","11,79","11,50","27,98K","0,00%"
"13/02/2020","11,50","11,60","11,89","11,50","89,14K","-0,86%"
"12/02/2020","11,60","11,60","11,61","11,57","30,51K","0,00%"
"11/02/2020","11,60","11,69","11,69","11,57","15,93K","0,00%"
"10/02/2020","11,60","11,79","11,80","11,55","17,64K","-1,69%"
"07/02/2020","11,80","11,80","11,80","11,70","6,28K","-0,84%"
"06/02/2020","11,90","11,90","11,91","11,89","48,35K","0,00%"
"05/02/2020","11,90","11,95","11,95","11,90","7,67K","0,76%"
"04/02/2020","11,81","11,99","11,99","11,81","2,89K","-0,76%"
"03/02/2020","11,90","11,90","11,99","11,90","24,33K","0,00%"
"31/01/2020","11,90","11,93","11,95","11,88","5,64K","0,08%"
"30/01/2020","11,89","11,90","11,93","11,87","7,35K","1,02%"
"29/01/2020","11,77","11,93","11,94","11,76","9,95K","-1,42%"
"28/01/2020","11,94","11,95","12,06","11,91","40,83K","0,34%"
"27/01/2020","11,90","11,69","11,90","11,68","11,98K","1,88%"
"24/01/2020","11,68","11,69","11,69","11,60","11,01K","-0,09%"
"23/01/2020","11,69","11,65","11,69","11,60","10,91K","-0,51%"
"22/01/2020","11,75","11,69","11,80","11,60","18,56K","0,43%"
"21/01/2020","11,70","11,70","11,70","11,50","30,56K","0,00%"
"20/01/2020","11,70","11,40","11,70","11,40","7,54K","2,18%"
"17/01/2020","11,45","11,34","11,48","11,34","5,64K","0,88%"
"16/01/2020","11,35","11,50","11,50","11,30","6,14K","-1,30%"
"15/01/2020","11,50","11,59","11,59","11,40","12,01K","-0,78%"
"13/01/2020","11,59","11,39","11,60","11,38","3,30K","1,76%"
"10/01/2020","11,39","11,40","11,50","11,16","8,29K","-0,96%"
"09/01/2020","11,50","11,34","11,50","11,26","8,20K","1,41%"
"08/01/2020","11,34","11,34","11,68","11,26","4,25K","0,00%"
"07/01/2020","11,34","11,40","11,41","11,27","21,85K","-0,53%"
"06/01/2020","11,40","11,60","11,61","11,38","16,46K","-0,87%"
"03/01/2020","11,50","11,50","11,51","11,44","23,82K","-0,86%"
"02/01/2020","11,60","11,76","11,76","11,60","7,38K","-1,28%"
"31/12/2019","11,75","11,88","11,90","11,75","11,22K","-1,18%"
"30/12/2019","11,89","11,67","11,90","11,50","45,50K","2,50%"
"27/12/2019","11,60","11,69","11,69","11,60","24,47K","0,69%"
"26/12/2019","11,52","11,60","11,60","11,52","9,17K","-0,69%"
"25/12/2019","11,60","11,52","11,70","11,52","11,47K","0,69%"
"24/12/2019","11,52","11,59","11,59","11,50","1,93K","0,17%"
"23/12/2019","11,50","11,49","11,68","11,40","4,06K","0,88%"
"20/12/2019","11,40","11,49","11,49","11,40","64,33K","-0,78%"
"19/12/2019","11,49","11,65","11,69","11,48","7,67K","-0,09%"
"18/12/2019","11,50","11,50","11,70","11,50","9,45K","0,00%"
"17/12/2019","11,50","11,56","11,70","11,50","12,32K","-0,52%"
"16/12/2019","11,56","11,70","11,70","11,55","13,36K","-0,77%"
"13/12/2019","11,65","11,70","11,70","11,56","6,00K","-0,17%"
"12/12/2019","11,67","11,76","11,76","11,61","21,26K","-0,26%"
"11/12/2019","11,70","11,69","11,79","11,55","5,43K","0,09%"
"10/12/2019","11,69","11,78","11,80","11,50","17,99K","-0,76%"
"09/12/2019","11,78","11,70","11,78","11,70","1,26K","0,68%"
"06/12/2019","11,70","11,50","11,79","11,50","9,88K","0,86%"
"05/12/2019","11,60","11,77","11,77","11,45","11,66K","0,17%"
"04/12/2019","11,58","11,78","11,78","11,50","3,56K","0,70%"
"03/12/2019","11,50","11,65","11,80","11,50","16,79K","-2,38%"
"02/12/2019","11,78","11,79","11,79","11,60","9,30K","0,26%"
"29/11/2019","11,75","11,60","11,79","11,60","5,92K","0,86%"
"28/11/2019","11,65","11,65","11,80","11,60","8,91K","0,00%"
"27/11/2019","11,65","11,79","11,79","11,65","6,78K","-1,19%"
"26/11/2019","11,79","11,80","11,80","11,68","6,15K","-0,08%"
"25/11/2019","11,80","11,85","11,85","11,65","15,84K","0,85%"
"22/11/2019","11,70","11,74","11,74","11,65","1,33K","0,00%"
"21/11/2019","11,70","11,64","11,70","11,58","27,13K","0,00%"
"20/11/2019","11,70","11,80","11,80","11,70","7,25K","-0,85%"
"19/11/2019","11,80","11,76","11,85","11,76","13,07K","0,00%"
"18/11/2019","11,80","11,80","11,90","11,76","12,53K","0,00%"
"15/11/2019","11,80","11,90","11,90","11,80","18,36K","-0,84%"
"14/11/2019","11,90","11,99","11,99","11,85","7,14K","0,17%"
"13/11/2019","11,88","11,85","11,98","11,85","9,03K","-0,17%"
"12/11/2019","11,90","12,00","12,00","11,90","7,94K","-0,83%"
"11/11/2019","12,00","12,01","12,01","11,90","10,95K","0,08%"
"08/11/2019","11,99","12,00","12,00","11,96","25,48K","-0,08%"
"07/11/2019","12,00","12,05","12,05","12,00","15,45K","-1,64%"
"06/11/2019","12,20","11,99","12,35","11,99","31,21K","1,67%"
"05/11/2019","12,00","11,92","12,10","11,85","58,21K","0,42%"
"04/11/2019","11,95","11,99","11,99","11,95","2,20K","0,00%"
"01/11/2019","11,95","12,00","12,00","11,86","1,50K","-0,42%"
"31/10/2019","12,00","11,90","12,00","11,90","2,67K","0,42%"
"30/10/2019","11,95","12,01","12,10","11,90","9,96K","-0,83%"
"29/10/2019","12,05","12,10","12,10","12,00","4,34K","0,42%"
"28/10/2019","12,00","11,92","12,10","11,92","12,93K","0,00%"
"25/10/2019","12,00","11,91","12,10","11,91","5,37K","0,76%"
"24/10/2019","11,91","12,00","12,10","11,91","16,54K","-0,75%"
"23/10/2019","12,00","12,07","12,10","12,00","14,76K","-1,23%"
"22/10/2019","12,15","12,18","12,25","12,15","18,64K","-0,41%"
"21/10/2019","12,20","12,28","12,28","12,15","16,60K","-0,65%"
"18/10/2019","12,28","12,30","12,34","12,05","25,73K","-0,16%"
"17/10/2019","12,30","12,18","12,33","12,15","38,80K","1,65%"
"16/10/2019","12,10","11,74","12,11","11,74","30,15K","3,07%"
"14/10/2019","11,74","11,74","11,74","11,74","2,76K","0,34%"
"11/10/2019","11,70","11,74","11,74","11,63","1,78K","0,00%"
"10/10/2019","11,70","11,62","11,70","11,62","2,58K","0,69%"
"09/10/2019","11,62","11,60","11,62","11,53","4,30K","0,17%"
"08/10/2019","11,60","11,60","11,60","11,60","0,47K","-0,85%"
"07/10/2019","11,70","11,73","11,74","11,40","6,57K","0,00%"
"04/10/2019","11,70","11,70","11,74","11,68","4,01K","0,00%"
"03/10/2019","11,70","11,61","11,74","11,61","13,45K","0,78%"
"02/10/2019","11,61","11,71","11,71","11,61","7,09K","-1,11%"
"01/10/2019","11,74","11,75","11,75","11,70","5,33K","0,26%"
"30/09/2019","11,71","11,68","11,76","11,67","8,31K","0,34%"
"27/09/2019","11,67","11,77","11,77","11,67","9,54K","-0,85%"
"26/09/2019","11,77","11,77","11,80","11,77","9,23K","-0,08%"
"25/09/2019","11,78","11,50","11,78","11,50","17,65K","1,82%"
"24/09/2019","11,57","11,60","11,60","11,50","7,51K","-0,69%"
"23/09/2019","11,65","11,69","11,76","11,65","5,98K","-0,26%"
"20/09/2019","11,68","11,60","11,75","11,60","5,88K","0,26%"
"19/09/2019","11,65","11,65","11,65","11,60","6,64K","0,00%"
"18/09/2019","11,65","11,51","11,65","11,50","2,84K","0,00%"
"17/09/2019","11,65","11,74","11,74","11,55","6,29K","-0,77%"
"16/09/2019","11,74","11,75","11,75","11,52","5,63K","-0,51%"
"13/09/2019","11,80","11,84","11,84","11,80","8,31K","0,00%"
"12/09/2019","11,80","11,72","11,85","11,72","19,72K","0,68%"
"11/09/2019","11,72","11,88","11,88","11,66","51,53K","0,34%"
