"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","3,60","3,67","3,67","3,48","0,15K","0,56%"
"08/04/2020","3,58","3,60","3,62","3,44","2,50K","1,42%"
"07/04/2020","3,53","3,63","3,63","3,53","9,67K","-2,75%"
"06/04/2020","3,63","3,85","3,85","3,63","9,30K","-2,94%"
"03/04/2020","3,74","3,74","3,74","3,74","0,02K","-2,86%"
"02/04/2020","3,85","3,80","3,90","3,80","0,15K","-2,28%"
"01/04/2020","3,94","3,94","3,94","3,94","0,01K","-5,06%"
"30/03/2020","4,15","4,15","4,15","4,15","0,05K","1,22%"
"26/03/2020","4,10","4,10","4,10","4,10","0,00K","0,00%"
"25/03/2020","4,10","4,10","4,10","4,10","0,07K","2,50%"
"24/03/2020","4,00","4,00","4,00","4,00","0,05K","2,83%"
"23/03/2020","3,89","3,91","3,91","3,69","1,11K","2,37%"
"19/03/2020","3,80","3,80","3,80","3,80","0,00K","2,98%"
"18/03/2020","3,69","3,69","3,69","3,49","0,26K","2,79%"
"17/03/2020","3,59","3,59","3,70","3,59","3,52K","-4,27%"
"16/03/2020","3,75","3,74","3,87","3,65","4,61K","-0,27%"
"13/03/2020","3,76","3,89","3,89","3,70","3,29K","-1,05%"
"12/03/2020","3,80","3,91","3,91","3,80","1,39K","-3,06%"
"11/03/2020","3,92","3,97","3,97","3,74","7,52K","1,82%"
"10/03/2020","3,85","3,80","3,97","3,80","2,40K","-1,28%"
"09/03/2020","3,90","3,85","3,90","3,85","1,85K","-1,52%"
"06/03/2020","3,96","3,96","3,97","3,86","1,20K","-0,25%"
"05/03/2020","3,97","3,97","3,97","3,86","3,00K","2,32%"
"04/03/2020","3,88","3,88","3,97","3,88","1,68K","-2,76%"
"02/03/2020","3,99","3,99","3,99","3,99","0,75K","0,25%"
"28/02/2020","3,98","3,98","3,98","3,87","1,11K","0,00%"
"27/02/2020","3,98","3,98","3,98","3,98","0,00K","0,25%"
"26/02/2020","3,97","3,97","3,97","3,96","0,04K","2,58%"
"25/02/2020","3,87","3,97","3,98","3,87","0,35K","-2,76%"
"24/02/2020","3,98","3,88","3,98","3,88","2,24K","0,00%"
"21/02/2020","3,98","3,98","3,98","3,91","23,75K","0,00%"
"20/02/2020","3,98","3,98","3,98","3,90","0,51K","0,00%"
"19/02/2020","3,98","3,98","3,98","3,97","0,52K","0,00%"
"18/02/2020","3,98","3,99","3,99","3,88","5,81K","-0,25%"
"17/02/2020","3,99","3,99","3,99","3,99","0,00K","0,00%"
"14/02/2020","3,99","3,92","3,99","3,92","1,37K","2,57%"
"13/02/2020","3,89","3,92","3,92","3,83","6,83K","-0,77%"
"12/02/2020","3,92","3,92","3,92","3,83","5,46K","0,51%"
"11/02/2020","3,90","3,92","3,92","3,83","2,96K","0,00%"
"10/02/2020","3,90","3,82","3,92","3,82","0,22K","-0,51%"
"07/02/2020","3,92","3,92","3,92","3,92","0,00K","0,00%"
"06/02/2020","3,92","3,92","3,92","3,83","0,15K","0,26%"
"05/02/2020","3,91","3,83","3,91","3,83","0,00K","-0,76%"
"04/02/2020","3,94","4,00","4,00","3,82","0,41K","-1,50%"
"03/02/2020","4,00","3,91","4,00","3,91","0,00K","5,26%"
"31/01/2020","3,80","3,85","3,85","3,75","18,02K","-1,30%"
"30/01/2020","3,85","3,80","3,85","3,75","1,47K","1,32%"
"29/01/2020","3,80","3,84","3,84","3,80","1,55K","-0,26%"
