"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"08/04/2020","1,350","1,350","1,350","1,350","0,00K","1,50%"
"07/04/2020","1,330","1,330","1,330","1,330","0,00K","2,31%"
"03/04/2020","1,300","1,300","1,300","1,300","0,00K","2,36%"
"01/04/2020","1,270","1,270","1,270","1,270","0,00K","2,42%"
"19/03/2020","1,240","1,240","1,240","1,240","0,01K","0,00%"
"17/03/2020","1,240","1,240","1,240","1,240","0,00K","0,00%"
"16/03/2020","1,240","1,240","1,240","1,240","0,05K","0,00%"
"13/03/2020","1,240","1,240","1,240","1,240","0,00K","2,48%"
"12/03/2020","1,210","1,210","1,210","1,210","0,10K","-2,42%"
"09/03/2020","1,240","1,270","1,270","1,240","0,05K","-4,62%"
"05/03/2020","1,300","1,300","1,300","1,300","0,11K","-4,41%"
"04/03/2020","1,360","1,360","1,360","1,360","0,01K","-2,86%"
"20/02/2020","1,400","1,380","1,400","1,380","0,00K","4,48%"
"19/02/2020","1,340","1,340","1,340","1,340","0,75K","-2,90%"
"14/02/2020","1,380","1,380","1,380","1,380","0,27K","-1,43%"
"13/02/2020","1,400","1,400","1,400","1,400","0,83K","-4,11%"
"12/02/2020","1,460","1,460","1,460","1,460","0,10K","-2,67%"
"04/02/2020","1,500","1,500","1,500","1,500","0,00K","1,35%"
"03/02/2020","1,480","1,480","1,480","1,480","0,38K","0,00%"
"31/01/2020","1,480","1,480","1,480","1,480","0,63K","0,00%"
"29/01/2020","1,480","1,480","1,480","1,480","0,00K","-0,67%"
"28/01/2020","1,490","1,490","1,490","1,490","0,00K","0,00%"
"27/01/2020","1,490","1,490","1,490","1,490","0,00K","-0,67%"
"24/01/2020","1,500","1,470","1,500","1,470","0,06K","-3,23%"
"21/01/2020","1,550","1,550","1,550","1,550","0,00K","0,00%"
"20/01/2020","1,550","1,550","1,550","1,550","0,36K","-0,64%"
"15/01/2020","1,560","1,560","1,560","1,560","0,00K","-3,11%"
"13/01/2020","1,610","1,610","1,610","1,610","0,00K","0,62%"
"10/01/2020","1,600","1,600","1,600","1,600","0,01K","-0,62%"
"09/01/2020","1,610","1,610","1,610","1,610","0,00K","-5,29%"
"07/01/2020","1,700","1,700","1,700","1,700","0,01K","-4,49%"
"03/01/2020","1,780","1,790","1,790","1,780","0,30K","-1,66%"
"02/01/2020","1,810","1,810","1,810","1,810","0,01K","-1,63%"
"30/12/2019","1,840","1,840","1,840","1,840","0,14K","2,22%"
"27/12/2019","1,800","1,800","1,800","1,770","8,38K","-0,55%"
"26/12/2019","1,810","1,810","1,810","1,810","4,21K","0,56%"
"25/12/2019","1,800","1,790","1,800","1,790","4,50K","5,88%"
"23/12/2019","1,700","1,680","1,700","1,680","1,59K","4,29%"
"20/12/2019","1,630","1,600","1,630","1,590","5,57K","1,87%"
"19/12/2019","1,600","1,590","1,600","1,590","2,82K","0,63%"
"18/12/2019","1,590","1,560","1,590","1,560","4,85K","3,25%"
"17/12/2019","1,540","1,530","1,540","1,530","1,39K","1,99%"
"16/12/2019","1,510","1,450","1,510","1,450","2,75K","4,14%"
"13/12/2019","1,450","1,420","1,450","1,420","5,82K","4,32%"
"12/12/2019","1,390","1,350","1,390","1,350","7,42K","4,51%"
"11/12/2019","1,330","1,300","1,330","1,300","1,75K","4,72%"
"10/12/2019","1,270","1,290","1,290","1,260","1,56K","4,10%"
"06/12/2019","1,220","1,190","1,220","1,190","0,99K","5,17%"
"05/12/2019","1,160","1,130","1,160","1,130","1,20K","6,42%"
"04/12/2019","1,090","1,090","1,090","1,090","0,18K","0,00%"
"03/12/2019","1,090","1,090","1,090","1,090","0,56K","3,81%"
"02/12/2019","1,050","1,050","1,050","1,050","0,18K","2,94%"
"27/11/2019","1,020","1,020","1,020","1,020","0,94K","0,00%"
"26/11/2019","1,020","1,020","1,020","1,020","3,09K","-3,77%"
"22/11/2019","1,060","1,030","1,060","1,030","4,14K","3,92%"
