"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","29,09","29,09","29,09","29,09","-","0,00%"
"08/04/2020","29,09","29,09","29,09","29,09","0,02K","-2,64%"
"07/04/2020","29,88","29,88","29,88","29,88","0,01K","-2,99%"
"03/04/2020","30,80","30,80","30,80","30,80","0,01K","2,77%"
"02/04/2020","29,97","29,97","29,97","29,97","0,01K","2,99%"
"24/03/2020","29,10","29,10","29,10","29,10","0,03K","2,14%"
"19/03/2020","28,49","28,49","28,49","28,49","0,15K","-1,76%"
"18/03/2020","29,00","29,00","29,00","29,00","0,01K","-3,30%"
"10/03/2020","29,99","29,99","29,99","29,99","1,00K","-0,03%"
"26/02/2020","30,00","30,00","30,00","30,00","0,30K","1,01%"
"25/02/2020","29,70","29,70","29,70","29,70","0,05K","-7,16%"
"03/02/2020","31,99","31,99","31,99","31,99","1,00K","0,00%"
"30/01/2020","31,99","31,99","31,99","31,99","1,60K","-0,03%"
"29/01/2020","32,00","32,00","32,00","32,00","2,50K","0,00%"
"28/01/2020","32,00","32,00","32,00","32,00","11,25K","0,00%"
"27/01/2020","32,00","31,50","32,00","31,50","14,25K","2,20%"
"24/01/2020","31,31","31,31","31,31","31,31","5,65K","4,37%"
"23/01/2020","30,00","30,00","30,00","30,00","3,50K","3,09%"
"22/01/2020","29,10","30,00","30,00","29,10","4,33K","-3,00%"
"21/01/2020","30,00","30,00","30,00","30,00","3,00K","0,00%"
"20/01/2020","30,00","30,00","30,00","30,00","0,50K","0,20%"
"17/01/2020","29,94","29,07","29,94","29,07","0,03K","6,06%"
"16/01/2020","28,23","29,10","29,10","28,23","0,79K","-5,90%"
"15/01/2020","30,00","30,00","30,00","30,00","0,77K","0,00%"
"13/01/2020","30,00","30,00","30,00","30,00","0,10K","0,00%"
"10/01/2020","30,00","29,90","30,00","29,90","0,44K","0,00%"
"09/01/2020","30,00","29,80","30,00","29,80","0,59K","0,33%"
"08/01/2020","29,90","29,90","29,90","29,90","0,60K","2,89%"
"07/01/2020","29,06","29,95","29,95","29,06","4,81K","-2,97%"
"06/01/2020","29,95","29,95","29,95","29,95","0,10K","0,00%"
"03/01/2020","29,95","30,00","30,00","29,95","1,23K","1,87%"
"02/01/2020","29,40","28,14","29,40","28,14","1,76K","1,38%"
"31/12/2019","29,00","29,00","29,00","29,00","0,17K","-0,03%"
"30/12/2019","29,01","29,00","29,01","28,13","3,06K","0,00%"
"27/12/2019","29,01","29,05","29,05","29,01","0,01K","-2,98%"
"26/12/2019","29,90","29,90","29,90","29,90","1,00K","-0,33%"
"25/12/2019","30,00","29,00","30,00","28,76","0,48K","-0,33%"
"24/12/2019","30,10","29,31","30,10","29,10","0,04K","-1,92%"
"19/12/2019","30,69","30,69","30,69","30,69","0,15K","-0,03%"
"18/12/2019","30,70","30,70","30,70","30,70","0,00K","2,10%"
"17/12/2019","30,07","30,10","31,00","30,07","0,10K","-3,00%"
"16/12/2019","31,00","32,90","32,90","31,00","0,91K","-3,09%"
"13/12/2019","31,99","32,00","32,00","31,10","0,39K","-1,69%"
"12/12/2019","32,54","32,50","32,75","31,53","0,93K","0,12%"
"11/12/2019","32,50","32,75","32,75","31,52","0,23K","-1,52%"
"10/12/2019","33,00","33,00","33,00","32,31","0,35K","-0,90%"
"09/12/2019","33,30","33,30","33,30","33,30","0,25K","-0,24%"
"06/12/2019","33,38","33,39","33,39","31,81","0,69K","1,80%"
"05/12/2019","32,79","32,00","32,80","32,00","1,13K","-0,03%"
"04/12/2019","32,80","32,80","33,20","32,50","0,60K","-0,61%"
"03/12/2019","33,00","34,00","34,00","33,00","1,80K","-1,52%"
"02/12/2019","33,51","33,51","33,51","32,00","11,94K","2,98%"
"29/11/2019","32,54","31,61","32,54","30,70","14,42K","5,99%"
"28/11/2019","30,70","30,27","30,70","30,26","17,14K","5,97%"
"27/11/2019","28,97","28,13","28,97","28,13","0,52K","6,94%"
"26/11/2019","27,09","26,31","27,09","26,31","7,13K","5,20%"
"25/11/2019","25,75","25,75","25,75","25,75","0,36K","3,00%"
"22/11/2019","25,00","25,00","25,00","23,60","0,30K","2,80%"
"21/11/2019","24,32","24,30","24,32","22,93","0,04K","4,47%"
"20/11/2019","23,28","24,00","24,72","23,28","0,03K","-3,00%"
"19/11/2019","24,00","24,00","24,72","22,92","0,12K","0,04%"
"18/11/2019","23,99","26,28","26,28","23,99","0,02K","-6,00%"
"15/11/2019","25,52","26,30","27,08","25,52","0,01K","-5,83%"
"14/11/2019","27,10","27,93","27,93","27,10","0,04K","-3,01%"
"13/11/2019","27,94","26,35","27,97","26,35","0,03K","2,87%"
"12/11/2019","27,16","27,97","27,97","27,16","0,00K","-3,00%"
"05/11/2019","28,00","28,00","28,00","28,00","0,01K","-1,69%"
"01/11/2019","28,48","28,48","28,48","28,48","0,05K","-0,52%"
"30/10/2019","28,63","27,80","28,63","27,80","0,01K","2,99%"
"29/10/2019","27,80","27,45","27,90","27,45","0,89K","4,28%"
"28/10/2019","26,66","26,66","26,66","26,66","0,02K","2,97%"
"25/10/2019","25,89","25,89","25,89","25,89","0,00K","1,53%"
"24/10/2019","25,50","25,50","25,50","25,50","0,04K","-1,51%"
"23/10/2019","25,89","25,89","25,89","25,89","0,00K","2,98%"
"21/10/2019","25,14","25,14","25,14","25,14","0,01K","2,99%"
"18/10/2019","24,41","24,41","24,41","23,03","0,00K","3,00%"
"17/10/2019","23,70","23,01","23,70","23,01","0,04K","3,04%"
"16/10/2019","23,00","23,00","23,02","23,00","0,04K","-0,13%"
"14/10/2019","23,03","23,69","23,69","23,03","0,01K","-5,69%"
"11/10/2019","24,42","24,42","24,43","24,42","0,06K","-2,98%"
"10/10/2019","25,17","26,01","26,01","25,17","0,15K","-4,48%"
"09/10/2019","26,35","26,35","26,35","26,35","0,00K","-2,80%"
"08/10/2019","27,11","27,11","27,11","27,11","0,00K","-3,18%"
"07/10/2019","28,00","28,00","28,00","28,00","0,00K","-2,78%"
"04/10/2019","28,80","29,60","29,60","28,80","0,02K","-2,90%"
"01/10/2019","29,66","30,00","30,00","29,66","1,01K","-10,09%"
"12/09/2019","32,99","32,99","32,99","32,99","0,00K","-0,03%"
"05/09/2019","33,00","33,00","33,00","33,00","0,01K","-1,46%"
"02/09/2019","33,49","33,49","33,49","33,49","0,01K","2,92%"
"28/08/2019","32,54","32,00","32,54","32,00","0,01K","1,69%"
"26/08/2019","32,00","32,00","32,00","32,00","0,02K","0,00%"
"20/08/2019","32,00","32,00","32,00","32,00","0,02K","-0,31%"
"19/08/2019","32,10","32,10","32,10","32,10","0,01K","-2,73%"
"14/08/2019","33,00","33,00","33,00","33,00","0,00K","0,12%"
"09/08/2019","32,96","32,96","32,96","32,96","0,00K","3,00%"
"08/08/2019","32,00","32,00","32,00","32,00","0,01K","-5,88%"
"26/07/2019","34,00","34,00","34,00","34,00","0,01K","-0,73%"
"11/07/2019","34,25","34,25","34,25","34,25","0,00K","-1,52%"
"04/07/2019","34,78","34,78","34,78","34,78","0,00K","0,00%"
"03/07/2019","34,78","34,78","34,78","34,78","0,02K","2,99%"
"02/07/2019","33,77","32,70","33,77","32,70","0,30K","2,96%"
"01/07/2019","32,80","33,94","33,94","32,80","0,04K","-0,49%"
"28/06/2019","32,96","32,00","32,96","32,00","0,25K","-4,02%"
"21/06/2019","34,34","34,34","34,34","34,34","0,05K","-0,09%"
"14/06/2019","34,37","34,37","34,37","34,37","0,05K","0,03%"
"13/06/2019","34,36","33,34","34,36","33,34","0,15K","-0,03%"
"10/06/2019","34,37","34,10","34,37","34,10","0,30K","0,00%"
"31/05/2019","34,37","34,37","34,37","34,37","0,00K","0,00%"
"30/05/2019","34,37","33,34","34,37","33,34","0,10K","0,00%"
"29/05/2019","34,37","34,37","34,37","34,37","0,10K","-0,35%"
"21/05/2019","34,49","33,50","34,49","33,50","0,21K","0,06%"
"15/05/2019","34,47","33,47","34,47","33,47","1,60K","-0,09%"
"08/05/2019","34,50","34,50","34,50","34,50","0,30K","-1,40%"
"07/05/2019","34,99","34,99","34,99","34,99","0,07K","0,52%"
"06/05/2019","34,81","34,81","34,81","34,81","0,05K","2,99%"
"03/05/2019","33,80","33,80","33,80","33,80","0,00K","-1,89%"
"29/04/2019","34,45","34,45","34,45","34,45","0,09K","1,32%"
"26/04/2019","34,00","34,10","34,10","34,00","0,15K","-2,83%"
"25/04/2019","34,99","34,99","34,99","34,99","0,05K","0,55%"
"24/04/2019","34,80","34,34","34,80","34,34","0,17K","-1,69%"
"04/04/2019","35,40","35,40","35,40","35,40","0,05K","2,91%"
"03/04/2019","34,40","35,99","35,99","34,40","0,11K","-5,88%"
"01/04/2019","36,55","36,55","36,55","36,55","0,05K","2,99%"
"26/03/2019","35,49","35,49","35,49","35,49","0,20K","-1,39%"
"12/03/2019","35,99","35,99","35,99","35,99","0,50K","-0,03%"
"08/03/2019","36,00","36,00","36,00","36,00","0,43K","0,00%"
"07/03/2019","36,00","35,00","36,00","35,00","0,81K","0,00%"
"06/03/2019","36,00","36,00","36,00","35,00","2,10K","0,00%"
"05/03/2019","36,00","35,00","36,00","35,00","0,26K","0,00%"
"04/03/2019","36,00","36,00","36,00","35,80","2,16K","0,56%"
"01/03/2019","35,80","34,76","35,80","34,76","0,73K","2,99%"
"28/02/2019","34,76","34,76","34,76","34,76","0,03K","2,99%"
"27/02/2019","33,75","34,50","34,50","33,75","2,64K","-2,99%"
"26/02/2019","34,79","34,79","34,79","34,79","0,02K","2,32%"
"25/02/2019","34,00","34,79","34,79","34,00","2,10K","0,00%"
"22/02/2019","34,00","34,00","34,00","34,00","0,15K","-2,35%"
"20/02/2019","34,82","35,13","35,13","34,82","0,05K","-5,87%"
"08/02/2019","36,99","36,99","36,99","36,99","0,28K","-0,30%"
"01/02/2019","37,10","37,10","37,10","37,10","0,14K","-0,08%"
"31/01/2019","37,13","37,13","38,84","37,13","0,55K","-4,48%"
"24/01/2019","38,87","38,88","38,88","38,87","0,65K","-0,03%"
