"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","2,280","2,280","2,280","2,280","-","2,70%"
"08/04/2020","2,220","2,220","2,220","2,220","0,00K","0,00%"
"07/04/2020","2,220","2,220","2,220","2,220","0,00K","0,00%"
"06/04/2020","2,220","2,220","2,220","2,220","0,01K","0,00%"
"03/04/2020","2,220","2,220","2,220","2,160","0,17K","0,00%"
"02/04/2020","2,220","2,220","2,220","2,220","0,01K","2,78%"
"01/04/2020","2,160","2,160","2,160","2,160","0,01K","2,86%"
"31/03/2020","2,100","2,100","2,100","2,100","0,00K","0,00%"
"30/03/2020","2,100","2,100","2,100","2,040","0,02K","0,00%"
"27/03/2020","2,100","2,090","2,100","2,090","0,13K","2,94%"
"26/03/2020","2,040","2,100","2,100","2,040","0,05K","-2,86%"
"25/03/2020","2,100","2,040","2,100","2,040","0,02K","0,00%"
"24/03/2020","2,100","2,060","2,120","2,000","1,57K","1,94%"
"23/03/2020","2,060","2,120","2,120","2,060","0,22K","-5,50%"
"18/03/2020","2,180","2,180","2,180","2,180","0,06K","-2,68%"
"17/03/2020","2,240","2,300","2,300","2,240","0,02K","-6,67%"
"13/03/2020","2,400","2,570","2,600","2,400","0,21K","-4,00%"
"12/03/2020","2,500","2,510","2,550","2,440","0,20K","1,21%"
"11/03/2020","2,470","2,500","2,500","2,300","1,33K","2,92%"
"10/03/2020","2,400","2,470","2,510","2,400","1,34K","-4,38%"
"09/03/2020","2,510","2,580","2,580","2,510","1,18K","-3,46%"
"06/03/2020","2,600","2,630","2,630","2,560","0,15K","-1,14%"
"05/03/2020","2,630","2,630","2,630","2,630","0,01K","0,00%"
"04/03/2020","2,630","2,630","2,630","2,630","0,10K","0,00%"
"03/03/2020","2,630","2,630","2,630","2,560","0,62K","0,00%"
"02/03/2020","2,630","2,620","2,690","2,600","0,16K","3,14%"
"28/02/2020","2,550","2,500","2,550","2,500","0,12K","-0,39%"
"27/02/2020","2,560","2,490","2,560","2,420","3,16K","3,23%"
"26/02/2020","2,480","2,480","2,480","2,470","1,29K","0,00%"
"25/02/2020","2,480","2,480","2,480","2,480","0,30K","0,00%"
"24/02/2020","2,480","2,410","2,480","2,380","5,42K","2,90%"
"21/02/2020","2,410","2,410","2,410","2,360","6,72K","0,00%"
"20/02/2020","2,410","2,400","2,410","2,340","3,58K","2,55%"
"19/02/2020","2,350","2,390","2,390","2,320","4,55K","0,86%"
"18/02/2020","2,330","2,330","2,330","2,330","0,02K","2,19%"
"17/02/2020","2,280","2,280","2,320","2,270","12,06K","0,00%"
"14/02/2020","2,280","2,370","2,390","2,270","11,99K","-4,20%"
"13/02/2020","2,380","2,380","2,380","2,380","0,21K","-0,83%"
"12/02/2020","2,400","2,380","2,450","2,320","0,38K","3,45%"
"11/02/2020","2,320","2,420","2,480","2,320","0,95K","-2,93%"
"10/02/2020","2,390","2,360","2,410","2,280","0,89K","2,14%"
"07/02/2020","2,340","2,280","2,350","2,280","0,46K","-1,68%"
"06/02/2020","2,380","2,350","2,410","2,280","8,46K","-1,65%"
"05/02/2020","2,420","2,560","2,560","2,420","0,07K","-2,81%"
"04/02/2020","2,490","2,560","2,560","2,490","0,17K","0,00%"
"03/02/2020","2,490","2,500","2,500","2,390","1,19K","-0,40%"
"31/01/2020","2,500","2,500","2,510","2,430","3,64K","-0,40%"
"30/01/2020","2,510","2,580","2,620","2,510","1,70K","-3,83%"
"29/01/2020","2,610","2,670","2,670","2,520","5,55K","-0,38%"
"28/01/2020","2,620","2,680","2,680","2,610","0,00K","-2,60%"
"27/01/2020","2,690","2,660","2,730","2,590","2,80K","3,86%"
"24/01/2020","2,590","2,590","2,690","2,590","4,89K","-6,50%"
"23/01/2020","2,770","2,750","2,770","2,750","0,80K","1,84%"
"22/01/2020","2,720","2,700","2,720","2,690","1,88K","2,26%"
"21/01/2020","2,660","2,600","2,670","2,600","4,10K","3,50%"
