"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"07/04/2020","8,58","8,58","8,58","8,58","1,20K","-2,94%"
"30/03/2020","8,84","8,84","8,84","8,84","0,01K","0,00%"
"26/03/2020","8,84","8,84","8,84","8,84","1,17K","0,00%"
"25/03/2020","8,84","8,84","8,84","8,84","0,31K","0,11%"
"10/03/2020","8,83","8,83","8,83","8,83","0,02K","2,91%"
"06/03/2020","8,58","8,83","8,83","8,58","0,10K","-2,94%"
"04/03/2020","8,84","8,84","8,84","8,84","0,05K","0,00%"
"27/02/2020","8,84","8,84","8,84","8,84","0,01K","0,00%"
"26/02/2020","8,84","8,84","8,84","8,84","0,03K","2,79%"
"24/02/2020","8,60","8,60","8,60","8,60","0,15K","-2,82%"
"21/02/2020","8,85","8,66","8,85","8,66","0,07K","2,91%"
"20/02/2020","8,60","8,60","8,60","8,60","0,05K","2,50%"
"18/02/2020","8,39","8,39","8,39","8,39","0,00K","2,82%"
"17/02/2020","8,16","8,16","8,16","8,16","0,11K","0,00%"
"13/02/2020","8,16","8,16","8,16","8,16","0,13K","0,00%"
"12/02/2020","8,16","8,16","8,16","8,16","1,45K","0,00%"
"11/02/2020","8,16","8,35","8,35","8,16","1,35K","-2,86%"
"10/02/2020","8,40","8,40","8,40","8,40","1,60K","-1,18%"
"07/02/2020","8,50","8,50","8,50","8,50","0,20K","-0,58%"
"06/02/2020","8,55","8,80","8,80","8,55","2,02K","0,00%"
"05/02/2020","8,55","8,80","8,80","8,55","2,37K","-0,58%"
"03/02/2020","8,60","8,60","8,60","8,60","0,02K","-2,27%"
"31/01/2020","8,80","8,80","8,80","8,80","0,04K","0,00%"
"30/01/2020","8,80","8,80","8,80","8,80","0,02K","0,00%"
"29/01/2020","8,80","8,80","8,80","8,80","0,13K","2,92%"
"27/01/2020","8,55","8,55","8,55","8,55","0,04K","2,89%"
"24/01/2020","8,31","8,31","8,31","8,31","0,20K","-2,46%"
"22/01/2020","8,52","8,52","8,52","8,52","0,25K","-0,23%"
"21/01/2020","8,54","8,30","8,54","8,30","0,20K","2,89%"
"20/01/2020","8,30","8,30","8,30","8,30","0,16K","0,48%"
"17/01/2020","8,26","8,30","8,30","8,26","0,28K","-0,48%"
"16/01/2020","8,30","8,30","8,30","8,30","0,02K","-0,72%"
"15/01/2020","8,36","8,36","8,36","8,36","0,25K","-0,59%"
"13/01/2020","8,41","8,41","8,41","8,41","0,16K","-0,47%"
"09/01/2020","8,45","8,45","8,45","8,45","0,01K","0,48%"
"08/01/2020","8,41","8,41","8,41","8,41","0,08K","0,00%"
"07/01/2020","8,41","8,42","8,42","8,41","0,47K","0,00%"
"06/01/2020","8,41","8,41","8,41","8,41","0,25K","0,00%"
"03/01/2020","8,41","8,41","8,41","8,41","0,52K","-0,12%"
"02/01/2020","8,42","8,42","8,42","8,42","0,73K","0,12%"
"31/12/2019","8,41","8,40","8,41","8,40","0,73K","-2,21%"
"30/12/2019","8,60","8,60","8,60","8,60","0,40K","0,00%"
"27/12/2019","8,60","8,60","8,60","8,60","0,20K","0,00%"
"26/12/2019","8,60","8,60","8,60","8,60","0,12K","0,00%"
"25/12/2019","8,60","8,60","8,60","8,60","0,00K","-2,27%"
