"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"08/04/2020","129,00","129,00","129,00","129,00","0,02K","2,19%"
"06/04/2020","126,24","126,24","126,24","126,24","0,01K","2,99%"
"03/04/2020","122,57","122,57","122,57","122,57","0,01K","3,00%"
"02/04/2020","119,00","119,00","119,00","119,00","0,01K","0,94%"
"01/04/2020","117,89","117,89","117,89","117,89","0,01K","3,00%"
"31/03/2020","114,46","114,46","114,46","114,46","0,05K","0,00%"
"30/03/2020","114,46","114,46","114,46","114,46","0,12K","-3,00%"
"23/03/2020","118,00","118,00","118,00","118,00","0,01K","0,94%"
"19/03/2020","116,90","116,90","116,90","116,90","0,00K","3,00%"
"17/03/2020","113,50","113,50","113,50","113,50","0,02K","-2,99%"
"13/03/2020","117,00","117,00","117,00","117,00","0,01K","0,00%"
"12/03/2020","117,00","117,00","117,00","117,00","0,00K","-1,68%"
"11/03/2020","119,00","119,00","119,00","119,00","0,02K","1,71%"
"10/03/2020","117,00","117,00","117,00","117,00","0,00K","-2,49%"
"09/03/2020","119,99","119,99","119,99","119,99","0,01K","3,00%"
"05/03/2020","116,50","116,50","116,50","116,50","0,09K","-2,92%"
"04/03/2020","120,00","120,20","120,20","120,00","0,31K","-0,17%"
"28/02/2020","120,20","120,20","120,20","120,20","0,06K","0,00%"
"27/02/2020","120,20","120,21","120,21","120,20","0,05K","-2,99%"
"21/02/2020","123,90","123,90","123,90","123,90","0,01K","2,40%"
"19/02/2020","121,00","121,00","121,00","121,00","0,88K","-2,42%"
"18/02/2020","124,00","124,00","124,00","124,00","0,26K","0,32%"
"17/02/2020","123,60","120,00","123,60","120,00","0,26K","3,09%"
"14/02/2020","119,89","116,40","119,89","116,40","0,27K","4,24%"
"13/02/2020","115,01","114,00","115,01","114,00","0,31K","0,01%"
"12/02/2020","115,00","112,86","115,00","112,86","0,10K","2,33%"
"11/02/2020","112,38","112,37","112,38","112,37","0,13K","0,02%"
"10/02/2020","112,36","112,86","112,86","112,36","0,17K","-3,43%"
"07/02/2020","116,35","116,35","116,35","116,35","0,00K","-2,96%"
"06/02/2020","119,90","119,90","119,90","119,90","0,00K","-0,33%"
"05/02/2020","120,30","120,30","120,30","120,30","0,15K","-2,98%"
"03/02/2020","124,00","123,30","124,00","123,30","0,32K","-2,44%"
"30/01/2020","127,10","126,10","127,10","126,10","0,72K","0,06%"
"29/01/2020","127,03","127,03","127,03","127,03","0,13K","-2,28%"
"28/01/2020","130,00","130,00","130,00","130,00","0,07K","-0,73%"
"27/01/2020","130,95","130,95","130,95","130,95","0,02K","-3,00%"
"09/01/2020","135,00","135,00","135,00","135,00","0,00K","0,00%"
"08/01/2020","135,00","135,00","135,00","135,00","0,70K","0,00%"
"07/01/2020","135,00","135,00","135,00","135,00","1,92K","-1,52%"
"06/01/2020","137,09","137,09","137,09","137,09","0,28K","-0,05%"
"03/01/2020","137,16","137,16","137,16","137,16","0,10K","0,00%"
"31/12/2019","137,16","141,00","141,40","137,16","0,80K","-3,00%"
"30/12/2019","141,40","143,40","143,40","141,40","0,53K","-0,42%"
"27/12/2019","142,00","141,00","144,00","141,00","1,04K","0,71%"
"26/12/2019","141,00","143,99","143,99","141,00","0,52K","-0,70%"
"25/12/2019","142,00","140,90","142,00","140,90","0,50K","0,71%"
"24/12/2019","141,00","140,99","141,00","140,99","0,21K","-0,70%"
"19/12/2019","142,00","140,40","142,00","140,40","0,50K","1,15%"
"18/12/2019","140,38","139,88","140,38","139,88","0,69K","-0,01%"
"13/12/2019","140,40","138,79","140,40","138,79","0,38K","1,16%"
"12/12/2019","138,79","137,00","138,79","137,00","0,56K","0,00%"
"03/12/2019","138,79","138,79","138,79","138,79","0,08K","2,98%"
"29/11/2019","134,78","133,00","134,78","133,00","0,20K","1,34%"
"27/11/2019","133,00","131,50","133,00","131,50","0,31K","-0,75%"
"14/11/2019","134,00","134,00","134,00","134,00","0,02K","0,00%"
"07/11/2019","134,00","134,00","134,00","134,00","0,01K","0,00%"
"06/11/2019","134,00","132,50","134,00","130,75","0,10K","-0,59%"
"01/11/2019","134,79","134,79","134,79","134,79","0,00K","-0,08%"
"31/10/2019","134,90","131,00","134,90","131,00","0,85K","-2,95%"
"24/10/2019","139,00","139,00","139,00","139,00","0,00K","0,00%"
"18/10/2019","139,00","138,00","139,00","138,00","0,55K","0,00%"
"17/10/2019","139,00","137,00","139,00","137,00","1,30K","1,46%"
"14/10/2019","137,00","137,00","137,00","137,00","0,00K","0,00%"
"11/10/2019","137,00","133,00","137,00","133,00","0,59K","0,00%"
"08/10/2019","137,00","136,99","137,00","136,99","0,44K","0,01%"
"07/10/2019","136,99","136,99","136,99","136,99","0,00K","3,00%"
"04/10/2019","133,00","136,99","137,00","133,00","3,67K","-2,92%"
"03/10/2019","137,00","131,00","137,00","131,00","0,55K","1,86%"
"02/10/2019","134,50","127,00","134,50","127,00","0,34K","2,99%"
"01/10/2019","130,60","130,60","130,60","130,60","0,20K","-2,97%"
"27/09/2019","134,60","134,60","134,60","134,60","0,01K","-2,98%"
"26/09/2019","138,74","138,73","138,74","138,73","0,03K","2,39%"
"25/09/2019","135,50","132,00","135,50","132,00","0,40K","2,65%"
"20/09/2019","132,00","130,00","132,00","130,00","0,10K","0,00%"
"18/09/2019","132,00","126,00","132,00","126,00","0,02K","1,71%"
"17/09/2019","129,78","129,78","129,78","129,78","0,00K","3,00%"
"16/09/2019","126,00","126,00","126,00","126,00","0,05K","-4,45%"
"13/09/2019","131,87","126,24","131,87","126,24","0,02K","-0,23%"
"10/09/2019","132,18","126,06","132,18","126,06","0,12K","0,14%"
"04/09/2019","132,00","132,00","132,00","132,00","0,04K","0,91%"
"03/09/2019","130,81","130,81","130,81","130,81","0,00K","3,00%"
"02/09/2019","127,00","129,00","129,00","127,00","0,06K","-2,31%"
"30/08/2019","130,00","130,00","130,00","130,00","0,55K","-2,99%"
"20/08/2019","134,00","134,00","134,00","134,00","0,00K","1,52%"
"16/08/2019","132,00","132,00","132,00","132,00","0,50K","1,54%"
"08/08/2019","130,00","134,00","134,00","130,00","0,01K","-5,80%"
"23/07/2019","138,00","138,00","138,00","138,00","0,00K","0,00%"
"22/07/2019","138,00","134,00","138,00","134,00","0,23K","0,00%"
"18/07/2019","138,00","137,00","138,00","137,00","0,01K","0,00%"
"16/07/2019","138,00","132,26","138,00","132,26","0,02K","-0,35%"
"15/07/2019","138,49","138,40","138,49","138,40","0,06K","0,00%"
"10/07/2019","138,49","138,49","140,00","138,49","0,35K","-0,01%"
"09/07/2019","138,50","138,49","139,00","138,49","0,75K","1,10%"
"08/07/2019","136,99","136,99","136,99","136,99","0,06K","1,47%"
"03/07/2019","135,00","134,60","135,00","134,50","0,47K","0,22%"
"02/07/2019","134,70","134,90","134,90","134,70","4,78K","2,20%"
"28/06/2019","131,80","131,74","135,60","131,73","1,71K","0,05%"
"27/06/2019","131,73","131,73","131,73","131,73","0,15K","-3,00%"
"26/06/2019","135,80","136,50","136,50","135,80","0,64K","-3,69%"
"24/06/2019","141,00","139,00","141,00","139,00","0,50K","0,71%"
"21/06/2019","140,00","140,00","140,00","140,00","0,01K","-1,06%"
"19/06/2019","141,50","141,50","141,50","141,50","0,00K","-1,05%"
"18/06/2019","143,00","138,00","143,50","138,00","0,71K","3,62%"
"17/06/2019","138,00","134,00","139,00","134,00","0,67K","2,22%"
