"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","3,85","3,79","3,85","3,72","3,83K","1,32%"
"08/04/2020","3,80","3,91","3,99","3,80","12,83K","-2,56%"
"07/04/2020","3,90","3,99","3,99","3,77","1,50K","0,52%"
"06/04/2020","3,88","3,88","3,98","3,88","1,87K","-2,76%"
"03/04/2020","3,99","4,10","4,10","3,89","0,78K","-0,50%"
"02/04/2020","4,01","4,13","4,13","4,01","1,51K","-2,91%"
"01/04/2020","4,13","3,99","4,13","3,99","10,88K","0,49%"
"31/03/2020","4,11","4,18","4,18","4,11","0,07K","0,00%"
"30/03/2020","4,11","4,19","4,19","4,00","9,99K","-0,24%"
"27/03/2020","4,12","4,29","4,29","4,12","0,48K","-2,83%"
"26/03/2020","4,24","4,25","4,25","4,24","0,20K","1,19%"
"25/03/2020","4,19","4,20","4,20","4,18","1,13K","-0,24%"
"24/03/2020","4,20","4,19","4,20","4,08","2,00K","2,94%"
"23/03/2020","4,08","4,12","4,12","4,07","5,35K","2,00%"
"19/03/2020","4,00","3,89","4,00","3,89","1,00K","0,00%"
"18/03/2020","4,00","4,00","4,00","3,86","66,41K","0,76%"
"17/03/2020","3,97","4,03","4,03","3,97","20,07K","-7,03%"
"13/03/2020","4,27","4,30","4,38","4,20","6,53K","-3,39%"
"12/03/2020","4,42","4,55","4,55","4,42","8,46K","-2,86%"
"11/03/2020","4,55","4,30","4,55","4,30","8,97K","5,81%"
"10/03/2020","4,30","4,35","4,35","4,22","7,38K","-1,60%"
"09/03/2020","4,37","4,50","4,50","4,37","17,42K","-2,89%"
"06/03/2020","4,50","4,60","4,60","4,47","12,82K","-1,10%"
"05/03/2020","4,55","4,60","4,60","4,48","11,31K","-0,66%"
"04/03/2020","4,58","4,59","4,60","4,50","16,39K","-0,22%"
"03/03/2020","4,59","4,60","4,60","4,55","5,82K","-0,22%"
"02/03/2020","4,60","4,54","4,64","4,54","7,32K","1,32%"
"28/02/2020","4,54","4,60","4,60","4,50","6,88K","0,00%"
"27/02/2020","4,54","4,52","4,54","4,50","9,28K","-1,30%"
"26/02/2020","4,60","4,68","4,68","4,60","4,46K","-0,22%"
"25/02/2020","4,61","4,73","4,73","4,58","37,61K","-2,33%"
"24/02/2020","4,72","4,74","4,74","4,71","17,41K","-0,63%"
"21/02/2020","4,75","4,74","4,75","4,70","55,12K","0,00%"
"20/02/2020","4,75","4,70","4,83","4,63","179,92K","2,81%"
"19/02/2020","4,62","4,49","4,62","4,39","97,44K","4,29%"
"18/02/2020","4,43","4,35","4,43","4,32","17,51K","2,55%"
"17/02/2020","4,32","4,22","4,34","4,22","19,42K","2,86%"
"14/02/2020","4,20","4,20","4,21","4,11","49,62K","-0,47%"
"13/02/2020","4,22","4,30","4,30","4,20","21,61K","-1,40%"
"12/02/2020","4,28","4,28","4,31","4,22","7,72K","-0,47%"
"11/02/2020","4,30","4,27","4,34","4,26","9,06K","-0,92%"
"10/02/2020","4,34","4,30","4,35","4,26","9,44K","0,93%"
"07/02/2020","4,30","4,38","4,40","4,25","3,94K","-1,83%"
"06/02/2020","4,38","4,29","4,38","4,19","16,17K","1,86%"
"05/02/2020","4,30","4,50","4,50","4,27","18,46K","-2,27%"
"04/02/2020","4,40","4,35","4,44","4,35","8,49K","-0,90%"
"03/02/2020","4,44","4,31","4,50","4,30","13,77K","0,91%"
"31/01/2020","4,40","4,20","4,40","4,20","4,59K","2,33%"
"30/01/2020","4,30","4,30","4,38","4,30","9,06K","-1,83%"
"29/01/2020","4,38","4,38","4,38","4,30","1,01K","-0,45%"
"28/01/2020","4,40","4,27","4,40","4,27","11,97K","0,00%"
"27/01/2020","4,40","4,44","4,44","4,40","12,29K","0,00%"
"24/01/2020","4,40","4,28","4,40","4,18","26,46K","2,56%"
"23/01/2020","4,29","4,29","4,29","4,16","2,84K","0,23%"
"22/01/2020","4,28","4,18","4,30","4,13","1,57K","-0,23%"
"21/01/2020","4,29","4,30","4,30","4,18","7,85K","-0,23%"
"20/01/2020","4,30","4,35","4,36","4,30","2,72K","0,00%"
"17/01/2020","4,30","4,12","4,30","4,12","9,49K","2,63%"
"16/01/2020","4,19","4,24","4,24","4,12","8,11K","-1,18%"
"15/01/2020","4,24","4,28","4,28","4,09","8,44K","0,95%"
"13/01/2020","4,20","4,20","4,29","4,08","4,19K","0,00%"
"10/01/2020","4,20","4,27","4,30","4,16","2,46K","-1,64%"
"09/01/2020","4,27","4,28","4,30","4,16","2,09K","-0,47%"
"08/01/2020","4,29","4,33","4,34","4,22","1,60K","-1,38%"
"07/01/2020","4,35","4,35","4,40","4,35","3,28K","-2,90%"
"06/01/2020","4,48","4,51","4,55","4,38","10,08K","-0,67%"
"03/01/2020","4,51","4,64","4,64","4,51","333,77K","-2,80%"
"02/01/2020","4,64","4,78","4,78","4,64","2,87K","-0,85%"
"31/12/2019","4,68","4,69","4,69","4,55","16,06K","-0,21%"
"30/12/2019","4,69","4,45","4,69","4,45","35,84K","2,40%"
"27/12/2019","4,58","4,50","4,60","4,42","20,90K","1,78%"
"26/12/2019","4,50","4,50","4,50","4,41","5,05K","0,45%"
"25/12/2019","4,48","4,40","4,50","4,33","25,08K","0,67%"
"24/12/2019","4,45","4,40","4,45","4,40","46,51K","2,06%"
"23/12/2019","4,36","4,36","4,36","4,36","0,05K","-0,91%"
"20/12/2019","4,40","4,44","4,44","4,30","19,05K","0,00%"
"19/12/2019","4,40","4,40","4,41","4,40","43,47K","-1,12%"
"18/12/2019","4,45","4,41","4,47","4,36","8,71K","0,00%"
"17/12/2019","4,45","4,40","4,45","4,34","4,72K","0,23%"
"16/12/2019","4,44","4,40","4,44","4,32","7,83K","0,91%"
"13/12/2019","4,40","4,35","4,40","4,35","20,43K","-1,12%"
"12/12/2019","4,45","4,47","4,47","4,34","29,36K","0,23%"
"11/12/2019","4,44","4,31","4,44","4,31","8,78K","2,07%"
"10/12/2019","4,35","4,49","4,49","4,35","14,21K","-2,90%"
"09/12/2019","4,48","4,35","4,48","4,31","3,58K","2,99%"
"06/12/2019","4,35","4,30","4,42","4,30","16,34K","1,16%"
"05/12/2019","4,30","4,33","4,34","4,30","6,41K","-0,69%"
"04/12/2019","4,33","4,26","4,37","4,26","3,64K","-0,23%"
"03/12/2019","4,34","4,24","4,34","4,14","24,81K","2,36%"
"02/12/2019","4,24","4,31","4,31","4,24","8,05K","-2,97%"
"29/11/2019","4,37","4,44","4,44","4,31","15,48K","-1,58%"
"28/11/2019","4,44","4,44","4,48","4,39","33,71K","-2,84%"
"27/11/2019","4,57","4,59","4,59","4,46","37,74K","2,01%"
