"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","11,50","11,30","11,50","11,30","0,10K","2,04%"
"08/04/2020","11,27","11,27","11,27","11,27","0,01K","2,45%"
"07/04/2020","11,00","11,00","11,00","10,62","0,16K","1,38%"
"06/04/2020","10,85","10,60","10,85","10,60","0,02K","2,17%"
"03/04/2020","10,62","10,60","11,18","10,60","0,24K","-2,57%"
"02/04/2020","10,90","10,58","10,99","10,58","0,53K","0,00%"
"01/04/2020","10,90","10,60","10,90","10,58","1,21K","0,00%"
"31/03/2020","10,90","10,79","10,90","10,50","0,57K","0,93%"
"30/03/2020","10,80","10,80","10,80","10,80","0,05K","1,03%"
"27/03/2020","10,69","10,40","10,70","10,40","0,25K","2,79%"
"26/03/2020","10,40","10,40","10,40","10,40","0,01K","0,00%"
"25/03/2020","10,40","10,40","10,40","10,40","0,01K","0,00%"
"24/03/2020","10,40","10,40","10,40","10,40","0,01K","0,00%"
"23/03/2020","10,40","10,40","10,40","9,91","0,41K","2,06%"
"19/03/2020","10,19","10,70","10,70","10,18","0,78K","-2,86%"
"18/03/2020","10,49","10,14","10,75","10,14","1,02K","0,38%"
"17/03/2020","10,45","10,45","10,45","10,45","0,01K","-2,79%"
"16/03/2020","10,75","10,60","10,99","10,51","0,53K","-2,27%"
"13/03/2020","11,00","11,30","11,30","11,00","0,28K","-0,90%"
"12/03/2020","11,10","10,80","11,30","10,74","1,54K","-1,25%"
"11/03/2020","11,24","11,25","11,25","11,10","0,16K","2,27%"
"10/03/2020","10,99","10,67","10,99","10,40","0,82K","-0,09%"
"09/03/2020","11,00","11,02","11,35","11,00","2,66K","-3,00%"
"06/03/2020","11,34","11,35","11,35","11,34","0,20K","1,25%"
"05/03/2020","11,20","11,35","11,35","11,05","2,99K","-1,32%"
"04/03/2020","11,35","11,35","11,35","11,35","0,01K","0,00%"
"02/03/2020","11,35","11,35","11,35","11,35","0,22K","0,00%"
"28/02/2020","11,35","11,40","11,40","11,30","0,45K","1,70%"
"27/02/2020","11,16","11,40","11,40","11,16","4,52K","-1,59%"
"26/02/2020","11,34","11,35","11,35","11,34","0,13K","-0,53%"
"25/02/2020","11,40","11,40","11,40","11,40","0,01K","0,00%"
"24/02/2020","11,40","11,40","11,40","11,40","0,08K","0,00%"
"21/02/2020","11,40","11,38","11,40","11,11","1,10K","1,69%"
"20/02/2020","11,21","11,45","11,45","11,21","1,20K","-1,49%"
"19/02/2020","11,38","11,22","11,38","11,21","0,72K","-0,18%"
"18/02/2020","11,40","11,45","11,45","11,40","0,21K","-0,44%"
"14/02/2020","11,45","11,44","11,45","11,11","0,45K","0,00%"
"13/02/2020","11,45","11,45","11,45","11,40","0,40K","0,17%"
"12/02/2020","11,43","11,38","11,43","11,03","0,23K","0,53%"
"11/02/2020","11,37","11,37","11,37","11,23","0,46K","1,25%"
"10/02/2020","11,23","11,24","11,39","10,91","10,73K","-0,09%"
"07/02/2020","11,24","11,59","11,59","11,24","1,95K","-2,94%"
"06/02/2020","11,58","11,30","11,59","11,30","0,79K","0,35%"
"05/02/2020","11,54","11,30","11,54","11,30","0,11K","-0,52%"
"04/02/2020","11,60","11,60","11,60","11,60","0,12K","0,43%"
"03/02/2020","11,55","11,22","11,55","11,20","0,29K","0,52%"
"31/01/2020","11,49","11,55","11,55","11,49","0,02K","-0,52%"
"30/01/2020","11,55","11,50","11,55","11,20","4,31K","3,13%"
"29/01/2020","11,20","11,48","11,48","11,19","1,21K","-2,52%"
"28/01/2020","11,49","11,40","11,58","11,18","0,67K","0,79%"
"27/01/2020","11,40","11,45","11,45","11,16","0,76K","2,15%"
"24/01/2020","11,16","11,49","11,49","11,16","0,07K","-2,96%"
"23/01/2020","11,50","11,39","11,50","11,39","0,01K","0,97%"
"22/01/2020","11,39","11,08","11,39","11,07","0,32K","-0,09%"
"21/01/2020","11,40","11,58","11,58","11,01","0,25K","0,44%"
"20/01/2020","11,35","11,35","11,35","11,35","0,02K","0,00%"
"17/01/2020","11,35","11,35","11,35","11,35","0,01K","0,00%"
"16/01/2020","11,35","11,18","11,35","11,18","1,25K","1,70%"
"15/01/2020","11,16","11,18","11,18","11,16","0,03K","-0,18%"
"13/01/2020","11,18","11,35","11,35","11,18","2,04K","-2,78%"
"09/01/2020","11,50","11,58","11,58","11,50","0,91K","-0,86%"
"08/01/2020","11,60","11,60","11,60","11,60","0,01K","0,00%"
"07/01/2020","11,60","11,55","11,60","11,48","0,45K","0,00%"
"06/01/2020","11,60","11,70","11,70","11,60","0,74K","-2,52%"
"03/01/2020","11,90","11,90","11,90","11,90","0,98K","0,00%"
"02/01/2020","11,90","11,98","11,98","11,90","1,35K","0,68%"
"31/12/2019","11,82","11,48","11,82","11,48","9,85K","2,96%"
"30/12/2019","11,48","11,50","11,50","11,20","0,79K","1,59%"
"27/12/2019","11,30","11,40","11,40","11,28","8,90K","-2,50%"
"26/12/2019","11,59","11,60","11,60","11,59","0,10K","1,67%"
"25/12/2019","11,40","11,64","11,64","11,40","8,27K","-2,06%"
"24/12/2019","11,64","11,60","11,64","11,50","0,48K","0,34%"
"23/12/2019","11,60","11,60","11,60","11,60","0,43K","0,00%"
"20/12/2019","11,60","11,65","11,65","11,50","0,50K","-0,43%"
"19/12/2019","11,65","11,66","11,66","11,52","1,60K","0,00%"
"18/12/2019","11,65","11,65","11,65","11,65","0,72K","0,43%"
"17/12/2019","11,60","11,65","11,67","11,60","7,59K","-0,60%"
"16/12/2019","11,67","11,65","11,67","11,65","13,39K","0,17%"
"13/12/2019","11,65","11,65","11,65","11,65","0,01K","1,48%"
"12/12/2019","11,48","11,48","11,48","11,48","0,49K","0,00%"
"11/12/2019","11,48","11,20","11,48","11,15","0,48K","2,96%"
"10/12/2019","11,15","11,00","11,15","11,00","0,55K","1,83%"
"09/12/2019","10,95","11,00","11,00","10,95","0,07K","-1,17%"
"06/12/2019","11,08","11,08","11,08","11,00","0,12K","0,00%"
"05/12/2019","11,08","11,00","11,09","11,00","0,09K","-0,18%"
"04/12/2019","11,10","11,20","11,20","11,05","0,50K","-2,46%"
"03/12/2019","11,38","11,38","11,38","11,38","0,16K","-0,18%"
"02/12/2019","11,40","11,41","11,41","11,40","0,03K","-0,09%"
"29/11/2019","11,41","11,41","11,41","11,41","0,08K","-0,70%"
"28/11/2019","11,49","11,50","11,50","11,49","0,46K","-0,09%"
"27/11/2019","11,50","11,60","11,60","11,41","1,49K","-1,29%"
"26/11/2019","11,65","11,65","11,65","11,41","0,45K","-0,85%"
"25/11/2019","11,75","11,75","11,75","11,65","0,36K","-2,08%"
