"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","0,55","0,54","0,55","0,53","15,60K","1,85%"
"08/04/2020","0,54","0,55","0,55","0,54","1,96K","-1,82%"
"07/04/2020","0,55","0,55","0,55","0,55","9,27K","-1,79%"
"06/04/2020","0,56","0,56","0,56","0,56","14,30K","-1,75%"
"03/04/2020","0,57","0,58","0,58","0,57","19,98K","-1,72%"
"02/04/2020","0,58","0,59","0,60","0,58","13,11K","-1,69%"
"01/04/2020","0,59","0,58","0,59","0,58","2,02K","1,72%"
"31/03/2020","0,58","0,59","0,59","0,57","4,81K","0,00%"
"30/03/2020","0,58","0,58","0,58","0,57","5,83K","0,00%"
"27/03/2020","0,58","0,59","0,59","0,58","3,34K","-1,69%"
"26/03/2020","0,59","0,61","0,61","0,59","1,28K","-1,67%"
"25/03/2020","0,60","0,59","0,60","0,59","8,20K","1,69%"
"24/03/2020","0,59","0,58","0,59","0,58","4,16K","0,00%"
"23/03/2020","0,59","0,58","0,59","0,58","1,65K","0,00%"
"19/03/2020","0,59","0,59","0,60","0,59","12,05K","-1,67%"
"18/03/2020","0,60","0,60","0,60","0,60","0,12K","-1,64%"
"17/03/2020","0,61","0,61","0,61","0,61","0,05K","-1,61%"
"16/03/2020","0,62","0,62","0,62","0,62","13,05K","-3,12%"
"13/03/2020","0,64","0,63","0,64","0,62","67,68K","1,59%"
"12/03/2020","0,63","0,63","0,64","0,62","32,51K","0,00%"
"11/03/2020","0,63","0,63","0,65","0,63","43,44K","-3,08%"
"10/03/2020","0,65","0,64","0,65","0,64","14,08K","-2,99%"
"09/03/2020","0,67","0,67","0,69","0,65","68,59K","-1,47%"
"06/03/2020","0,68","0,68","0,70","0,66","116,79K","-2,86%"
"05/03/2020","0,70","0,71","0,71","0,69","19,27K","0,00%"
"04/03/2020","0,70","0,71","0,71","0,70","16,62K","-1,41%"
"03/03/2020","0,71","0,71","0,72","0,70","76,57K","0,00%"
"02/03/2020","0,71","0,72","0,72","0,71","22,10K","0,00%"
"28/02/2020","0,71","0,68","0,71","0,68","117,49K","1,43%"
"27/02/2020","0,70","0,70","0,70","0,68","17,20K","0,00%"
"26/02/2020","0,70","0,70","0,70","0,70","2,77K","1,45%"
"25/02/2020","0,69","0,70","0,71","0,68","31,19K","-1,43%"
"24/02/2020","0,70","0,72","0,72","0,70","13,21K","-2,78%"
"21/02/2020","0,72","0,72","0,72","0,70","6,93K","0,00%"
"20/02/2020","0,72","0,71","0,73","0,71","31,74K","1,41%"
"19/02/2020","0,71","0,69","0,71","0,68","87,46K","1,43%"
"18/02/2020","0,70","0,72","0,74","0,70","171,71K","-1,41%"
"17/02/2020","0,71","0,71","0,73","0,69","101,09K","-1,39%"
"14/02/2020","0,72","0,70","0,72","0,69","207,94K","5,88%"
"13/02/2020","0,68","0,66","0,68","0,65","60,80K","4,62%"
"12/02/2020","0,65","0,64","0,65","0,64","86,31K","3,17%"
"11/02/2020","0,63","0,63","0,64","0,63","34,38K","-1,56%"
"10/02/2020","0,64","0,64","0,65","0,62","66,47K","1,59%"
"07/02/2020","0,63","0,61","0,63","0,61","81,76K","5,00%"
"06/02/2020","0,60","0,59","0,60","0,59","36,70K","0,00%"
"05/02/2020","0,60","0,61","0,61","0,60","141,63K","3,45%"
"03/02/2020","0,58","0,59","0,60","0,58","46,61K","-3,33%"
"31/01/2020","0,60","0,59","0,60","0,59","19,87K","-1,64%"
"30/01/2020","0,61","0,61","0,61","0,60","0,20K","0,00%"
"29/01/2020","0,61","0,61","0,61","0,60","9,27K","0,00%"
"28/01/2020","0,61","0,60","0,61","0,59","17,75K","1,67%"
"27/01/2020","0,60","0,62","0,62","0,60","19,87K","-3,23%"
"24/01/2020","0,62","0,62","0,63","0,61","19,52K","0,00%"
"23/01/2020","0,62","0,61","0,62","0,61","4,19K","1,64%"
"22/01/2020","0,61","0,60","0,61","0,59","39,30K","3,39%"
"21/01/2020","0,59","0,59","0,59","0,57","14,09K","3,51%"
"20/01/2020","0,57","0,56","0,57","0,56","5,34K","0,00%"
"17/01/2020","0,57","0,56","0,57","0,56","31,62K","0,00%"
"16/01/2020","0,57","0,57","0,58","0,56","10,26K","0,00%"
"15/01/2020","0,57","0,57","0,57","0,56","32,39K","0,00%"
"13/01/2020","0,57","0,57","0,58","0,57","8,47K","0,00%"
"10/01/2020","0,57","0,58","0,58","0,57","28,88K","-3,39%"
"09/01/2020","0,59","0,60","0,60","0,59","22,84K","0,00%"
"08/01/2020","0,59","0,59","0,59","0,58","60,14K","0,00%"
"07/01/2020","0,59","0,60","0,60","0,59","69,79K","-1,67%"
"06/01/2020","0,60","0,63","0,63","0,59","124,30K","-3,23%"
"03/01/2020","0,62","0,63","0,63","0,62","22,16K","-1,59%"
"02/01/2020","0,63","0,63","0,63","0,62","13,39K","0,00%"
"31/12/2019","0,63","0,63","0,64","0,62","21,82K","-1,56%"
"30/12/2019","0,64","0,65","0,65","0,64","4,49K","-1,54%"
"27/12/2019","0,65","0,65","0,66","0,64","5,83K","0,00%"
"26/12/2019","0,65","0,65","0,66","0,64","19,17K","1,56%"
"25/12/2019","0,64","0,63","0,64","0,63","7,69K","1,59%"
"24/12/2019","0,63","0,62","0,63","0,62","30,76K","3,28%"
"23/12/2019","0,61","0,62","0,62","0,60","43,09K","-1,61%"
"20/12/2019","0,62","0,64","0,64","0,62","11,04K","-1,59%"
"19/12/2019","0,63","0,63","0,63","0,62","16,69K","0,00%"
"18/12/2019","0,63","0,62","0,63","0,61","52,50K","3,28%"
"17/12/2019","0,61","0,62","0,62","0,61","9,53K","-1,61%"
"16/12/2019","0,62","0,63","0,64","0,62","34,73K","-1,59%"
"13/12/2019","0,63","0,62","0,63","0,62","6,67K","0,00%"
"12/12/2019","0,63","0,62","0,63","0,61","25,49K","1,61%"
"11/12/2019","0,62","0,61","0,62","0,61","6,94K","1,64%"
"10/12/2019","0,61","0,62","0,62","0,61","17,72K","-1,61%"
"09/12/2019","0,62","0,64","0,64","0,62","20,65K","-1,59%"
"06/12/2019","0,63","0,62","0,65","0,61","109,70K","1,61%"
"05/12/2019","0,62","0,61","0,62","0,61","15,57K","0,00%"
"04/12/2019","0,62","0,61","0,62","0,61","5,63K","0,00%"
"03/12/2019","0,62","0,64","0,64","0,62","3,59K","-1,59%"
"02/12/2019","0,63","0,65","0,65","0,63","3,61K","-1,56%"
"29/11/2019","0,64","0,64","0,64","0,64","3,75K","-1,54%"
"28/11/2019","0,65","0,64","0,65","0,63","26,28K","0,00%"
"27/11/2019","0,65","0,65","0,65","0,63","20,33K","0,00%"
"26/11/2019","0,65","0,65","0,65","0,64","3,02K","1,56%"
"25/11/2019","0,64","0,64","0,65","0,63","13,43K","0,00%"
"22/11/2019","0,64","0,67","0,67","0,64","12,04K","-3,03%"
"21/11/2019","0,66","0,64","0,66","0,64","38,22K","4,76%"
"20/11/2019","0,63","0,63","0,63","0,63","9,65K","1,61%"
"19/11/2019","0,62","0,62","0,62","0,61","2,95K","0,00%"
"18/11/2019","0,62","0,62","0,62","0,62","2,17K","-1,59%"
"15/11/2019","0,63","0,63","0,63","0,61","11,23K","0,00%"
"14/11/2019","0,63","0,64","0,64","0,62","5,11K","0,00%"
"13/11/2019","0,63","0,64","0,65","0,63","45,49K","-3,08%"
"12/11/2019","0,65","0,68","0,68","0,65","149,86K","-1,52%"
"08/11/2019","0,66","0,64","0,66","0,64","61,95K","4,76%"
"07/11/2019","0,63","0,61","0,63","0,61","80,10K","5,00%"
"06/11/2019","0,60","0,60","0,61","0,59","42,91K","0,00%"
"05/11/2019","0,60","0,61","0,61","0,60","5,01K","0,00%"
"04/11/2019","0,60","0,60","0,61","0,59","25,84K","-1,64%"
"01/11/2019","0,61","0,61","0,61","0,61","0,02K","-1,61%"
"31/10/2019","0,62","0,61","0,62","0,60","4,10K","1,64%"
"30/10/2019","0,61","0,60","0,61","0,60","18,48K","0,00%"
"29/10/2019","0,61","0,62","0,62","0,61","21,01K","0,00%"
"28/10/2019","0,61","0,62","0,63","0,61","31,34K","-1,61%"
"25/10/2019","0,62","0,62","0,62","0,61","15,46K","0,00%"
"24/10/2019","0,62","0,62","0,63","0,61","10,75K","0,00%"
"23/10/2019","0,62","0,63","0,63","0,62","17,94K","-1,59%"
"22/10/2019","0,63","0,62","0,63","0,62","10,11K","0,00%"
"21/10/2019","0,63","0,63","0,63","0,61","8,73K","0,00%"
"18/10/2019","0,63","0,63","0,63","0,62","1,75K","0,00%"
"17/10/2019","0,63","0,62","0,63","0,62","5,20K","0,00%"
"16/10/2019","0,63","0,63","0,63","0,62","3,20K","0,00%"
"14/10/2019","0,63","0,63","0,63","0,62","9,78K","0,00%"
"11/10/2019","0,63","0,62","0,63","0,62","6,65K","0,00%"
"10/10/2019","0,63","0,62","0,63","0,62","8,57K","0,00%"
"09/10/2019","0,63","0,63","0,63","0,62","2,46K","0,00%"
"08/10/2019","0,63","0,63","0,63","0,62","5,44K","0,00%"
"07/10/2019","0,63","0,63","0,63","0,62","7,12K","0,00%"
"04/10/2019","0,63","0,63","0,63","0,63","2,40K","0,00%"
"03/10/2019","0,63","0,64","0,64","0,63","11,50K","-1,56%"
"02/10/2019","0,64","0,65","0,66","0,64","9,85K","-1,54%"
"01/10/2019","0,65","0,64","0,66","0,64","11,44K","0,00%"
"30/09/2019","0,65","0,64","0,65","0,63","16,19K","3,17%"
"27/09/2019","0,63","0,62","0,63","0,62","10,86K","0,00%"
"26/09/2019","0,63","0,61","0,63","0,61","17,46K","1,61%"
"25/09/2019","0,62","0,63","0,63","0,62","4,73K","-1,59%"
"24/09/2019","0,63","0,62","0,63","0,62","2,01K","0,00%"
"23/09/2019","0,63","0,64","0,66","0,62","4,27K","-1,56%"
"20/09/2019","0,64","0,64","0,64","0,63","1,71K","0,00%"
"19/09/2019","0,64","0,64","0,64","0,63","7,03K","0,00%"
"18/09/2019","0,64","0,65","0,65","0,64","9,01K","-1,54%"
"17/09/2019","0,65","0,64","0,65","0,63","10,87K","4,84%"
"16/09/2019","0,62","0,62","0,63","0,62","12,60K","0,00%"
"13/09/2019","0,62","0,62","0,62","0,62","3,60K","0,00%"
"12/09/2019","0,62","0,63","0,63","0,62","3,54K","-1,59%"
"11/09/2019","0,63","0,62","0,63","0,62","6,62K","1,61%"
"10/09/2019","0,62","0,61","0,62","0,61","5,85K","0,00%"
"09/09/2019","0,62","0,61","0,62","0,61","10,46K","-1,59%"
"06/09/2019","0,63","0,63","0,64","0,62","9,88K","0,00%"
"05/09/2019","0,63","0,63","0,63","0,62","11,60K","0,00%"
"04/09/2019","0,63","0,62","0,63","0,62","3,29K","0,00%"
"03/09/2019","0,63","0,63","0,63","0,63","3,82K","0,00%"
"02/09/2019","0,63","0,63","0,64","0,62","6,38K","0,00%"
"30/08/2019","0,63","0,65","0,65","0,63","4,76K","-1,56%"
"29/08/2019","0,64","0,64","0,65","0,64","7,93K","-1,54%"
"28/08/2019","0,65","0,65","0,65","0,64","4,55K","0,00%"
"27/08/2019","0,65","0,64","0,65","0,63","13,20K","0,00%"
"26/08/2019","0,65","0,65","0,65","0,64","0,62K","0,00%"
"23/08/2019","0,65","0,65","0,65","0,62","8,79K","1,56%"
"22/08/2019","0,64","0,63","0,64","0,63","4,79K","0,00%"
"21/08/2019","0,64","0,64","0,64","0,64","0,79K","-1,54%"
"20/08/2019","0,65","0,64","0,65","0,64","3,07K","1,56%"
"19/08/2019","0,64","0,64","0,65","0,64","6,86K","-1,54%"
"16/08/2019","0,65","0,66","0,66","0,65","4,22K","-1,52%"
"15/08/2019","0,66","0,66","0,66","0,66","2,14K","0,00%"
"14/08/2019","0,66","0,66","0,66","0,65","0,87K","0,00%"
"09/08/2019","0,66","0,66","0,66","0,65","9,83K","-1,49%"
"08/08/2019","0,67","0,67","0,67","0,66","5,34K","1,52%"
"07/08/2019","0,66","0,65","0,66","0,65","18,74K","-1,49%"
"06/08/2019","0,67","0,67","0,67","0,65","2,82K","1,52%"
"05/08/2019","0,66","0,67","0,67","0,65","13,51K","-1,49%"
"02/08/2019","0,67","0,65","0,67","0,65","12,63K","3,08%"
"01/08/2019","0,65","0,66","0,66","0,65","9,28K","-1,52%"
"31/07/2019","0,66","0,66","0,66","0,65","15,01K","1,54%"
"30/07/2019","0,65","0,66","0,67","0,65","43,64K","-1,52%"
"29/07/2019","0,66","0,66","0,66","0,66","19,45K","-1,49%"
"26/07/2019","0,67","0,67","0,67","0,67","0,01K","0,00%"
"24/07/2019","0,67","0,67","0,67","0,66","5,33K","0,00%"
"23/07/2019","0,67","0,66","0,67","0,66","7,40K","0,00%"
"22/07/2019","0,67","0,68","0,68","0,67","6,92K","-1,47%"
"19/07/2019","0,68","0,68","0,68","0,67","5,17K","-1,45%"
"18/07/2019","0,69","0,68","0,69","0,68","2,69K","0,00%"
"17/07/2019","0,69","0,67","0,69","0,67","8,24K","1,47%"
"16/07/2019","0,68","0,68","0,68","0,68","3,37K","0,00%"
"15/07/2019","0,68","0,68","0,68","0,67","0,35K","1,49%"
"12/07/2019","0,67","0,66","0,67","0,66","1,50K","-1,47%"
"11/07/2019","0,68","0,67","0,68","0,66","4,99K","1,49%"
"10/07/2019","0,67","0,68","0,68","0,66","40,02K","-2,90%"
"09/07/2019","0,69","0,69","0,69","0,67","11,23K","2,99%"
"08/07/2019","0,67","0,69","0,69","0,67","7,04K","-2,90%"
"05/07/2019","0,69","0,68","0,69","0,67","9,69K","2,99%"
"04/07/2019","0,67","0,66","0,67","0,66","7,36K","1,52%"
"03/07/2019","0,66","0,67","0,68","0,66","20,68K","-2,94%"
"02/07/2019","0,68","0,69","0,69","0,66","14,81K","0,00%"
"01/07/2019","0,68","0,70","0,70","0,68","6,51K","-2,86%"
"28/06/2019","0,70","0,70","0,70","0,68","16,02K","1,45%"
"27/06/2019","0,69","0,70","0,71","0,68","17,20K","-1,43%"
"26/06/2019","0,70","0,70","0,70","0,69","15,36K","-1,41%"
"25/06/2019","0,71","0,71","0,71","0,70","16,48K","1,43%"
"24/06/2019","0,70","0,70","0,71","0,69","6,89K","0,00%"
"21/06/2019","0,70","0,68","0,70","0,68","5,24K","0,00%"
"20/06/2019","0,70","0,70","0,70","0,68","17,92K","0,00%"
"19/06/2019","0,70","0,69","0,71","0,67","15,41K","2,94%"
"18/06/2019","0,68","0,69","0,70","0,67","9,21K","-2,86%"
"17/06/2019","0,70","0,73","0,73","0,70","4,95K","-1,41%"
"14/06/2019","0,71","0,72","0,72","0,70","1,89K","1,43%"
"13/06/2019","0,70","0,69","0,70","0,67","8,37K","1,45%"
"12/06/2019","0,69","0,73","0,73","0,68","30,64K","-4,17%"
"11/06/2019","0,72","0,72","0,72","0,70","11,94K","-1,37%"
"10/06/2019","0,73","0,75","0,75","0,73","7,19K","-2,67%"
"07/06/2019","0,75","0,75","0,75","0,73","11,40K","0,00%"
"03/06/2019","0,75","0,74","0,75","0,73","4,65K","1,35%"
"31/05/2019","0,74","0,75","0,75","0,73","9,84K","-1,33%"
"30/05/2019","0,75","0,75","0,77","0,73","60,24K","-2,60%"
"29/05/2019","0,77","0,79","0,80","0,77","49,02K","-3,75%"
"28/05/2019","0,80","0,79","0,81","0,76","207,01K","6,67%"
"24/05/2019","0,75","0,74","0,75","0,70","156,89K","17,19%"
"20/05/2019","0,64","0,63","0,64","0,63","8,17K","1,59%"
"17/05/2019","0,63","0,62","0,63","0,62","6,91K","0,00%"
"16/05/2019","0,63","0,63","0,63","0,62","0,88K","0,00%"
"15/05/2019","0,63","0,63","0,63","0,63","20,00K","3,28%"
"14/05/2019","0,61","0,63","0,63","0,61","13,30K","-3,17%"
"13/05/2019","0,63","0,64","0,64","0,63","11,98K","-1,56%"
"10/05/2019","0,64","0,64","0,65","0,63","54,96K","-1,54%"
"09/05/2019","0,65","0,64","0,65","0,64","45,60K","0,00%"
"08/05/2019","0,65","0,65","0,65","0,64","78,64K","0,00%"
"07/05/2019","0,65","0,66","0,67","0,65","54,90K","-2,99%"
"06/05/2019","0,67","0,67","0,68","0,67","1,09K","-1,47%"
"03/05/2019","0,68","0,68","0,68","0,67","3,28K","-1,45%"
"02/05/2019","0,69","0,67","0,69","0,65","79,68K","2,99%"
"30/04/2019","0,67","0,69","0,69","0,67","9,29K","-2,90%"
"29/04/2019","0,69","0,70","0,70","0,68","4,75K","-1,43%"
"26/04/2019","0,70","0,70","0,71","0,69","6,47K","-1,41%"
"25/04/2019","0,71","0,70","0,72","0,70","7,86K","-1,39%"
"24/04/2019","0,72","0,73","0,73","0,71","4,31K","0,00%"
"23/04/2019","0,72","0,72","0,73","0,70","8,53K","0,00%"
"22/04/2019","0,72","0,70","0,72","0,69","72,29K","4,35%"
"19/04/2019","0,69","0,67","0,69","0,65","38,18K","2,99%"
"18/04/2019","0,67","0,69","0,69","0,67","44,80K","-2,90%"
