"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","0,22","0,22","0,22","0,22","-","0,00%"
"08/04/2020","0,22","0,22","0,22","0,22","0,01K","0,00%"
"07/04/2020","0,22","0,22","0,22","0,22","1,01K","0,00%"
"06/04/2020","0,22","0,22","0,22","0,22","0,01K","0,00%"
"03/04/2020","0,22","0,22","0,22","0,22","1,02K","0,00%"
"02/04/2020","0,22","0,22","0,22","0,22","4,90K","0,00%"
"01/04/2020","0,22","0,22","0,22","0,22","0,41K","0,00%"
"31/03/2020","0,22","0,22","0,22","0,22","0,01K","0,00%"
"30/03/2020","0,22","0,22","0,22","0,22","0,15K","0,00%"
"27/03/2020","0,22","0,22","0,22","0,22","0,50K","0,00%"
"26/03/2020","0,22","0,22","0,22","0,22","0,70K","0,00%"
"25/03/2020","0,22","0,22","0,22","0,22","3,62K","0,00%"
"24/03/2020","0,22","0,22","0,22","0,22","46,46K","0,00%"
"23/03/2020","0,22","0,22","0,22","0,22","1,00K","0,00%"
"19/03/2020","0,22","0,22","0,22","0,22","13,54K","-4,35%"
"13/03/2020","0,23","0,24","0,24","0,23","0,01K","-4,17%"
"12/03/2020","0,24","0,24","0,24","0,24","0,01K","0,00%"
"11/03/2020","0,24","0,23","0,24","0,23","5,19K","0,00%"
"10/03/2020","0,24","0,23","0,24","0,23","16,00K","0,00%"
"09/03/2020","0,24","0,26","0,26","0,24","10,23K","-4,00%"
"06/03/2020","0,25","0,25","0,25","0,25","1,50K","-3,85%"
"05/03/2020","0,26","0,26","0,26","0,25","8,82K","0,00%"
"04/03/2020","0,26","0,25","0,26","0,25","61,80K","4,00%"
"02/03/2020","0,25","0,24","0,25","0,24","19,51K","4,17%"
"28/02/2020","0,24","0,23","0,24","0,23","5,00K","0,00%"
"27/02/2020","0,24","0,23","0,24","0,23","19,37K","0,00%"
"26/02/2020","0,24","0,24","0,24","0,24","1,13K","0,00%"
"24/02/2020","0,24","0,23","0,24","0,23","4,75K","0,00%"
"21/02/2020","0,24","0,24","0,24","0,23","75,31K","0,00%"
"20/02/2020","0,24","0,23","0,24","0,23","0,15K","0,00%"
"19/02/2020","0,24","0,24","0,24","0,23","12,53K","0,00%"
"18/02/2020","0,24","0,23","0,24","0,23","2,63K","0,00%"
