"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"05/03/2020","5,20","5,20","5,20","5,20","0,21K","4,42%"
"04/03/2020","4,98","4,84","4,98","4,84","0,05K","5,96%"
"03/03/2020","4,70","4,61","4,70","4,61","0,06K","4,91%"
"02/03/2020","4,48","4,48","4,48","4,48","0,00K","5,91%"
"28/02/2020","4,23","4,23","4,23","4,23","0,03K","0,24%"
"27/02/2020","4,22","4,22","4,22","4,22","0,02K","2,93%"
"24/02/2020","4,10","4,10","4,10","4,10","0,46K","-0,97%"
"19/02/2020","4,14","4,14","4,14","4,14","0,20K","0,00%"
"14/02/2020","4,14","4,14","4,14","4,14","0,55K","2,99%"
"13/02/2020","4,02","4,05","4,05","4,02","3,92K","0,00%"
"10/02/2020","4,02","4,02","4,02","4,02","0,01K","0,00%"
"07/02/2020","4,02","4,10","4,10","4,02","0,38K","-1,95%"
"05/02/2020","4,10","4,10","4,10","4,10","0,40K","-0,24%"
"04/02/2020","4,11","4,11","4,11","4,11","0,33K","0,24%"
"31/01/2020","4,10","4,09","4,10","4,09","0,87K","-0,24%"
"28/01/2020","4,11","4,11","4,11","4,11","0,04K","-2,84%"
"23/01/2020","4,23","4,36","4,36","4,23","1,04K","-2,98%"
"22/01/2020","4,36","4,36","4,36","4,36","0,05K","-4,39%"
"21/01/2020","4,56","4,56","4,56","4,56","0,05K","-2,98%"
"20/01/2020","4,70","4,70","4,70","4,70","0,04K","-2,08%"
"17/01/2020","4,80","4,80","4,80","4,80","0,05K","-2,04%"
"16/01/2020","4,90","4,90","4,90","4,90","0,10K","0,00%"
"15/01/2020","4,90","4,90","4,90","4,90","0,15K","-2,00%"
"06/01/2020","5,00","5,00","5,00","5,00","0,13K","-0,60%"
"30/12/2019","5,03","5,03","5,03","5,03","0,07K","0,00%"
"25/12/2019","5,03","4,91","5,03","4,91","0,31K","2,65%"
"23/12/2019","4,90","4,90","4,90","4,90","0,01K","-2,58%"
"13/11/2019","5,03","5,03","5,03","5,03","0,32K","-2,90%"
"05/11/2019","5,18","5,18","5,18","5,18","0,01K","-3,00%"
"29/10/2019","5,34","5,34","5,34","5,34","0,00K","0,00%"
"28/10/2019","5,34","5,34","5,34","5,34","0,02K","-2,91%"
"23/10/2019","5,50","5,50","5,50","5,50","0,25K","-1,61%"
"27/09/2019","5,59","5,59","5,59","5,59","0,00K","2,76%"
"19/09/2019","5,44","5,44","5,44","5,44","0,04K","-0,18%"
"18/09/2019","5,45","5,45","5,45","5,45","0,01K","-0,91%"
"11/09/2019","5,50","5,67","5,67","5,50","0,08K","-1,79%"
"10/09/2019","5,60","5,60","5,60","5,60","0,10K","1,82%"
"03/09/2019","5,50","5,50","5,50","5,50","0,55K","-0,18%"
"29/08/2019","5,51","5,51","5,51","5,51","0,40K","-4,34%"
"19/08/2019","5,76","5,76","5,76","5,76","0,02K","-2,87%"
"26/07/2019","5,93","5,93","5,93","5,93","0,50K","-0,17%"
"24/07/2019","5,94","5,94","5,94","5,94","0,00K","2,95%"
"23/07/2019","5,77","5,77","5,77","5,77","0,01K","2,85%"
"22/07/2019","5,61","5,61","5,61","5,61","0,00K","2,94%"
"16/07/2019","5,45","5,45","5,45","5,45","0,20K","-2,85%"
"12/07/2019","5,61","5,61","5,61","5,61","0,00K","2,94%"
"09/07/2019","5,45","5,61","5,61","5,45","0,05K","0,00%"
"08/07/2019","5,45","5,45","5,45","5,45","0,00K","-6,03%"
"04/07/2019","5,80","5,80","5,80","5,80","0,10K","0,00%"
"03/07/2019","5,80","5,80","5,80","5,80","1,07K","0,00%"
"02/07/2019","5,80","5,80","5,80","5,80","0,50K","0,00%"
"01/07/2019","5,80","5,80","5,80","5,80","0,85K","0,00%"
"28/06/2019","5,80","5,80","5,80","5,80","6,99K","0,00%"
"27/06/2019","5,80","5,80","5,80","5,80","0,10K","0,00%"
