"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","6,30","6,58","6,58","6,21","1,44K","-1,56%"
"08/04/2020","6,40","6,23","6,45","6,23","4,53K","0,79%"
"07/04/2020","6,35","6,30","6,58","6,30","1,53K","-0,94%"
"06/04/2020","6,41","6,77","6,79","6,41","10,71K","-2,88%"
"03/04/2020","6,60","6,98","6,98","6,60","3,95K","-2,94%"
"02/04/2020","6,80","7,05","7,05","6,79","4,27K","-2,86%"
"01/04/2020","7,00","7,05","7,05","6,95","0,30K","0,29%"
"31/03/2020","6,98","7,10","7,10","6,92","3,47K","-0,14%"
"30/03/2020","6,99","7,07","7,15","6,78","2,00K","0,14%"
"27/03/2020","6,98","7,00","7,20","6,85","3,14K","-0,29%"
"26/03/2020","7,00","7,27","7,27","6,87","1,23K","-0,99%"
"25/03/2020","7,07","7,27","7,27","6,89","1,73K","-0,14%"
"24/03/2020","7,08","6,75","7,14","6,75","17,15K","1,87%"
"23/03/2020","6,95","6,79","6,98","6,79","2,90K","-0,57%"
"19/03/2020","6,99","7,06","7,06","6,70","6,75K","1,90%"
"18/03/2020","6,86","6,68","6,87","6,68","3,49K","-0,29%"
"17/03/2020","6,88","6,88","7,33","6,88","2,17K","-4,44%"
"16/03/2020","7,20","7,30","7,30","7,18","5,93K","-2,70%"
"13/03/2020","7,40","7,79","7,80","7,40","6,37K","-5,97%"
"12/03/2020","7,87","8,00","8,24","7,76","8,83K","-3,44%"
"11/03/2020","8,15","8,01","8,21","8,00","2,90K","-0,73%"
"10/03/2020","8,21","8,11","8,30","7,87","9,45K","-0,97%"
"09/03/2020","8,29","8,22","8,39","8,22","6,78K","-2,01%"
"06/03/2020","8,46","8,44","8,47","8,30","5,38K","0,71%"
"05/03/2020","8,40","8,45","8,45","8,36","2,70K","-0,59%"
"04/03/2020","8,45","8,35","8,49","8,35","3,39K","0,60%"
"03/03/2020","8,40","8,40","8,49","8,40","1,37K","-1,18%"
"02/03/2020","8,50","8,58","8,58","8,42","1,00K","-0,82%"
"28/02/2020","8,57","8,58","8,59","8,50","6,81K","-0,35%"
"27/02/2020","8,60","8,60","8,60","8,50","2,50K","0,70%"
"26/02/2020","8,54","8,50","8,67","8,41","2,09K","-0,47%"
"25/02/2020","8,58","8,50","8,60","8,32","3,93K","0,94%"
"24/02/2020","8,50","8,52","8,52","8,49","2,23K","-1,62%"
"21/02/2020","8,64","8,69","8,69","8,52","0,40K","1,41%"
"20/02/2020","8,52","8,57","8,60","8,50","3,96K","-1,39%"
"19/02/2020","8,64","8,72","8,72","8,57","3,02K","-1,26%"
"18/02/2020","8,75","8,75","8,75","8,56","2,43K","1,16%"
"17/02/2020","8,65","8,74","8,74","8,54","0,70K","0,00%"
"14/02/2020","8,65","8,64","8,79","8,64","12,45K","0,00%"
"13/02/2020","8,65","8,47","8,65","8,29","28,91K","2,13%"
"12/02/2020","8,47","8,35","8,47","8,34","2,08K","-0,12%"
"11/02/2020","8,48","8,36","8,48","8,36","2,14K","-0,12%"
"10/02/2020","8,49","8,50","8,50","8,33","1,71K","-0,35%"
"07/02/2020","8,52","8,20","8,52","8,20","4,16K","2,04%"
"06/02/2020","8,35","8,50","8,50","8,30","2,90K","-1,88%"
"05/02/2020","8,51","8,65","8,65","8,50","7,17K","-1,62%"
"04/02/2020","8,65","8,65","8,69","8,60","2,96K","-0,23%"
"03/02/2020","8,67","8,61","8,67","8,50","3,79K","0,00%"
"31/01/2020","8,67","8,70","8,73","8,66","7,75K","-0,69%"
"30/01/2020","8,73","8,80","8,80","8,67","8,79K","-0,80%"
"29/01/2020","8,80","8,83","8,83","8,80","2,65K","-0,34%"
"28/01/2020","8,83","8,91","8,91","8,72","2,75K","0,91%"
"27/01/2020","8,75","8,90","8,90","8,62","4,42K","-0,23%"
"24/01/2020","8,77","8,77","8,78","8,65","0,79K","-0,23%"
"23/01/2020","8,79","8,65","8,80","8,61","7,27K","1,85%"
"22/01/2020","8,63","8,78","8,79","8,63","2,52K","-1,82%"
"21/01/2020","8,79","8,67","8,79","8,50","4,61K","1,62%"
"20/01/2020","8,65","8,65","8,66","8,65","0,41K","-1,70%"
"17/01/2020","8,80","8,91","8,91","8,63","5,49K","0,00%"
"16/01/2020","8,80","8,76","8,95","8,76","8,55K","1,15%"
"15/01/2020","8,70","8,76","8,85","8,70","1,84K","-0,68%"
"13/01/2020","8,76","8,60","8,76","8,60","4,32K","0,00%"
"10/01/2020","8,76","8,75","8,85","8,75","4,75K","0,11%"
"09/01/2020","8,75","8,80","8,80","8,75","2,51K","-0,57%"
"08/01/2020","8,80","8,86","8,86","8,80","3,81K","-0,68%"
"07/01/2020","8,86","8,90","8,90","8,80","5,48K","-0,89%"
"06/01/2020","8,94","9,00","9,18","8,90","4,99K","-0,67%"
"03/01/2020","9,00","9,10","9,10","9,00","7,85K","-2,17%"
"02/01/2020","9,20","9,25","9,25","9,03","11,48K","-1,08%"
"31/12/2019","9,30","9,50","9,50","9,23","14,43K","-1,06%"
"30/12/2019","9,40","9,57","9,84","9,40","41,22K","1,08%"
"27/12/2019","9,30","9,27","9,54","9,25","29,24K","0,32%"
"26/12/2019","9,27","9,26","9,53","9,09","41,20K","1,87%"
"25/12/2019","9,10","9,14","9,40","9,10","14,74K","0,11%"
"24/12/2019","9,09","9,15","9,20","9,00","20,04K","1,00%"
"23/12/2019","9,00","8,99","9,27","8,82","17,08K","0,00%"
"20/12/2019","9,00","9,20","9,20","9,00","10,14K","-2,17%"
"19/12/2019","9,20","9,20","9,20","9,16","3,74K","-0,54%"
"18/12/2019","9,25","9,36","9,37","9,11","6,36K","-0,54%"
"17/12/2019","9,30","9,05","9,32","9,05","22,63K","2,76%"
"16/12/2019","9,05","9,00","9,05","8,87","2,20K","0,56%"
"13/12/2019","9,00","8,87","9,00","8,87","4,33K","0,56%"
"12/12/2019","8,95","8,87","8,98","8,87","6,55K","0,00%"
"11/12/2019","8,95","8,87","9,07","8,87","0,75K","0,67%"
"10/12/2019","8,89","8,82","9,08","8,82","7,38K","-2,20%"
"09/12/2019","9,09","9,10","9,10","8,80","2,85K","1,56%"
