"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"08/04/2020","9,27","9,27","9,27","9,27","0,00K","3,00%"
"07/04/2020","9,00","9,00","9,00","9,00","0,00K","2,86%"
"06/04/2020","8,75","8,73","9,27","8,73","0,07K","0,11%"
"01/04/2020","8,74","8,73","9,00","8,73","2,09K","-2,89%"
"31/03/2020","9,00","9,53","9,53","9,00","0,02K","-2,81%"
"30/03/2020","9,26","9,26","9,82","9,26","4,01K","-2,94%"
"27/03/2020","9,54","10,12","10,12","9,54","0,70K","-2,95%"
"26/03/2020","9,83","9,83","9,83","9,55","0,17K","2,93%"
"25/03/2020","9,55","9,01","9,55","9,01","0,11K","2,91%"
"24/03/2020","9,28","9,28","9,28","9,28","0,00K","3,00%"
"19/03/2020","9,01","9,01","9,01","9,01","0,09K","-2,91%"
"18/03/2020","9,28","9,01","9,28","9,01","0,32K","0,00%"
"17/03/2020","9,28","9,28","9,28","9,28","1,06K","-5,79%"
"16/03/2020","9,85","9,85","9,85","9,85","0,05K","-2,76%"
"13/03/2020","10,13","10,13","10,13","10,13","0,03K","-2,97%"
"06/03/2020","10,44","10,44","10,44","10,44","0,00K","-1,42%"
"03/03/2020","10,59","10,15","10,59","10,15","0,10K","-0,19%"
"02/03/2020","10,61","10,47","10,61","10,47","0,12K","1,34%"
"28/02/2020","10,47","10,17","10,47","10,17","0,08K","-0,10%"
"26/02/2020","10,48","10,48","10,48","10,48","0,00K","1,75%"
"25/02/2020","10,30","10,00","10,30","9,70","3,46K","3,00%"
"24/02/2020","10,00","10,15","10,15","10,00","2,46K","-1,96%"
"21/02/2020","10,20","10,69","10,69","10,19","0,24K","-2,86%"
"20/02/2020","10,50","10,50","10,50","10,50","0,25K","-1,78%"
"17/02/2020","10,69","10,48","10,69","10,48","0,16K","-0,09%"
"14/02/2020","10,70","10,58","10,70","10,48","0,17K","0,38%"
"13/02/2020","10,66","10,67","10,67","10,66","0,14K","-2,91%"
"12/02/2020","10,98","10,59","11,20","10,59","9,62K","0,64%"
"11/02/2020","10,91","10,91","10,91","10,91","0,19K","-2,94%"
"10/02/2020","11,24","11,24","11,24","11,24","0,01K","-0,27%"
