"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"13/04/2020","18,15","18,15","18,15","18,15","-","0,00%"
"08/04/2020","18,15","18,15","18,15","18,15","16,17K","0,00%"
"07/04/2020","18,15","18,15","18,15","18,15","16,94K","0,00%"
"06/04/2020","18,15","18,15","18,15","18,15","10,84K","0,00%"
"03/04/2020","18,15","18,15","18,15","18,15","7,62K","0,00%"
"02/04/2020","18,15","18,15","18,15","18,15","12,11K","0,00%"
"01/04/2020","18,15","18,15","18,15","18,15","21,99K","0,00%"
"31/03/2020","18,15","18,15","18,16","18,15","61,85K","0,00%"
"30/03/2020","18,15","18,15","18,15","18,15","123,07K","0,00%"
"27/03/2020","18,15","18,15","18,15","18,15","115,02K","0,00%"
"26/03/2020","18,15","18,15","18,16","18,15","1,45M","1,97%"
"23/03/2020","17,80","17,70","17,80","17,70","1,12K","-0,56%"
"19/03/2020","17,90","18,05","18,05","17,52","0,34K","0,56%"
"18/03/2020","17,80","17,36","17,80","17,35","6,61K","1,14%"
"17/03/2020","17,60","17,20","17,60","17,20","1,75K","-0,28%"
"16/03/2020","17,65","17,55","17,70","17,55","4,42K","1,44%"
"13/03/2020","17,40","17,50","17,50","17,40","9,97K","-0,57%"
"12/03/2020","17,50","17,40","17,50","17,40","12,30K","0,00%"
"11/03/2020","17,50","17,40","17,50","17,40","1,25K","0,00%"
"10/03/2020","17,50","17,35","17,50","17,35","3,87K","0,06%"
"09/03/2020","17,49","17,49","17,49","17,35","4,75K","-0,06%"
"06/03/2020","17,50","17,41","17,50","17,38","2,22K","0,52%"
"05/03/2020","17,41","17,42","17,42","17,41","1,03K","0,00%"
"04/03/2020","17,41","17,40","17,49","17,40","3,35K","0,06%"
"03/03/2020","17,40","17,40","17,50","17,35","1,67K","0,00%"
"02/03/2020","17,40","17,30","17,81","17,30","1,19K","-0,57%"
"28/02/2020","17,50","17,38","17,50","17,38","3,41K","0,11%"
"27/02/2020","17,48","17,40","17,48","17,40","0,21K","0,63%"
"26/02/2020","17,37","17,37","17,37","17,36","0,47K","0,06%"
"25/02/2020","17,36","17,33","17,40","17,33","4,76K","0,06%"
"24/02/2020","17,35","17,40","17,40","17,35","0,68K","0,12%"
"20/02/2020","17,33","17,50","17,50","17,33","0,15K","-0,97%"
"19/02/2020","17,50","17,50","17,50","17,50","0,38K","0,00%"
