"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"24/03/2020","28,30","28,30","28,30","28,30","0,40K","2,46%"
"23/03/2020","27,62","27,62","27,62","27,62","0,25K","2,98%"
"18/03/2020","26,82","26,82","26,82","26,82","0,36K","-4,49%"
"12/03/2020","28,08","28,08","28,08","28,08","0,02K","2,97%"
"10/03/2020","27,27","27,27","27,27","27,27","0,00K","2,98%"
"06/03/2020","26,48","26,48","26,48","26,48","0,05K","-2,97%"
"05/03/2020","27,29","28,13","28,13","27,29","0,14K","-5,86%"
"28/02/2020","28,99","28,99","28,99","28,99","0,05K","-2,98%"
"18/02/2020","29,88","29,88","29,88","29,88","0,01K","0,00%"
"17/02/2020","29,88","29,88","29,88","29,88","0,25K","0,00%"
"14/02/2020","29,88","29,88","29,88","29,88","0,05K","-2,03%"
"13/02/2020","30,50","30,50","30,50","30,50","0,01K","-4,09%"
"28/01/2020","31,80","30,90","31,80","30,90","1,57K","6,00%"
"27/01/2020","30,00","29,90","30,00","29,90","4,16K","0,00%"
"24/01/2020","30,00","30,00","30,00","30,00","0,58K","0,40%"
"23/01/2020","29,88","30,00","30,00","29,88","0,32K","-0,40%"
"22/01/2020","30,00","30,00","30,00","30,00","0,77K","-2,60%"
"08/01/2020","30,80","30,00","30,80","30,00","0,22K","5,84%"
"06/01/2020","29,10","29,10","29,10","29,10","0,01K","-3,00%"
"30/12/2019","30,00","30,00","30,00","30,00","0,20K","0,00%"
"18/12/2019","30,00","30,00","30,00","30,00","0,55K","0,03%"
"17/12/2019","29,99","29,12","29,99","29,12","0,03K","2,99%"
"16/12/2019","29,12","29,10","29,12","29,10","0,76K","0,00%"
"13/12/2019","29,12","29,12","29,12","29,12","2,58K","-2,93%"
"04/12/2019","30,00","30,00","30,00","30,00","0,02K","-1,64%"
"02/12/2019","30,50","30,50","30,50","30,50","0,50K","0,93%"
"29/11/2019","30,22","30,23","30,23","30,22","0,51K","-2,52%"
"28/11/2019","31,00","31,00","31,00","31,00","0,59K","-0,16%"
"26/11/2019","31,05","31,05","31,05","31,05","0,50K","0,00%"
"25/11/2019","31,05","31,05","31,05","31,05","0,50K","-2,97%"
"21/11/2019","32,00","32,00","32,00","32,00","0,00K","-1,54%"
"08/11/2019","32,50","32,50","32,50","32,50","0,60K","0,00%"
"07/11/2019","32,50","32,50","32,50","32,50","0,01K","0,00%"
"06/11/2019","32,50","32,50","32,50","32,50","0,51K","0,00%"
"04/11/2019","32,50","32,93","32,93","32,45","0,65K","1,56%"
"01/11/2019","32,00","31,98","32,00","31,98","4,65K","0,57%"
"31/10/2019","31,82","30,90","31,82","30,90","3,02K","6,07%"
"30/10/2019","30,00","30,00","30,00","30,00","10,91K","1,69%"
"28/10/2019","29,50","29,50","29,50","29,50","0,01K","-1,67%"
