"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"07/04/2020","7,90","8,12","8,12","7,90","0,02K","-8,35%"
"27/03/2020","8,62","8,62","8,62","8,62","0,00K","-2,93%"
"26/03/2020","8,88","8,88","8,88","8,88","0,01K","2,54%"
"25/03/2020","8,66","8,66","8,66","8,66","0,02K","2,85%"
"18/03/2020","8,42","8,42","8,42","8,42","0,02K","2,93%"
"17/03/2020","8,18","8,18","8,18","8,18","0,01K","2,89%"
"11/03/2020","7,95","7,95","7,95","7,95","0,02K","2,58%"
"25/02/2020","7,75","7,75","7,75","7,75","0,01K","-0,26%"
"24/02/2020","7,77","7,77","7,77","7,77","0,01K","2,91%"
"12/02/2020","7,55","7,55","7,55","7,55","0,02K","2,44%"
"11/02/2020","7,37","7,16","7,37","7,16","0,41K","2,93%"
"10/02/2020","7,16","7,16","7,16","7,16","0,28K","0,00%"
"04/02/2020","7,16","7,16","7,16","7,16","0,26K","0,00%"
"31/01/2020","7,16","7,16","7,16","7,16","0,02K","0,00%"
"30/01/2020","7,16","7,16","7,16","7,16","0,08K","1,99%"
"29/01/2020","7,02","7,00","7,02","7,00","0,33K","-1,96%"
"23/01/2020","7,16","7,16","7,16","7,16","0,01K","-0,14%"
"20/01/2020","7,17","7,17","7,17","7,17","0,00K","0,70%"
"13/01/2020","7,12","6,66","7,12","6,66","0,02K","2,45%"
"03/01/2020","6,95","7,16","7,16","6,95","0,90K","-3,07%"
"31/12/2019","7,17","6,97","7,17","6,97","1,52K","2,87%"
"30/12/2019","6,97","7,18","7,18","6,97","0,15K","-2,92%"
"27/12/2019","7,18","7,57","7,57","7,18","0,04K","-2,31%"
"26/12/2019","7,35","7,58","7,58","7,35","0,08K","-0,14%"
"25/12/2019","7,36","7,50","7,79","7,35","0,21K","-2,77%"
"24/12/2019","7,57","7,73","7,73","7,57","0,01K","0,00%"
"17/12/2019","7,57","7,57","7,57","7,57","0,01K","-2,82%"
"12/12/2019","7,79","7,79","7,79","7,79","1,77K","-0,13%"
"10/12/2019","7,80","7,80","7,80","7,58","0,26K","2,63%"
"09/12/2019","7,60","7,80","7,80","7,60","0,00K","-2,56%"
"06/12/2019","7,80","7,80","7,80","7,80","0,00K","-4,29%"
"04/12/2019","8,15","8,15","8,15","8,15","0,02K","0,62%"
"03/12/2019","8,10","8,09","8,10","8,09","0,04K","0,62%"
"02/12/2019","8,05","7,52","8,05","7,52","0,31K","-0,62%"
"27/11/2019","8,10","7,64","8,10","7,64","0,05K","2,92%"
"26/11/2019","7,87","7,43","7,87","7,43","0,02K","2,88%"
"25/11/2019","7,65","7,70","8,10","7,65","0,09K","-3,16%"
"22/11/2019","7,90","7,90","7,90","7,90","0,00K","-2,95%"
"20/11/2019","8,14","8,14","8,14","8,14","0,01K","-0,73%"
"05/11/2019","8,20","7,96","8,20","7,96","0,04K","0,00%"
"01/11/2019","8,20","8,09","8,20","8,09","0,23K","0,00%"
"28/10/2019","8,20","8,20","8,20","8,20","0,01K","-1,80%"
"23/10/2019","8,35","8,14","8,39","8,14","0,23K","-0,48%"
"22/10/2019","8,39","7,91","8,39","7,91","0,90K","2,94%"
"21/10/2019","8,15","7,86","8,30","7,86","0,48K","0,62%"
"18/10/2019","8,10","8,10","8,10","8,10","0,05K","2,14%"
"17/10/2019","7,93","7,47","7,93","7,47","0,13K","2,99%"
"16/10/2019","7,70","7,70","7,70","7,70","0,01K","2,67%"
"14/10/2019","7,50","7,50","7,50","7,50","0,01K","2,88%"
"11/10/2019","7,29","7,29","7,29","7,29","0,02K","2,97%"
"09/10/2019","7,08","7,08","7,08","7,08","0,05K","-2,88%"
"08/10/2019","7,29","7,08","7,29","7,08","0,04K","0,00%"
"30/09/2019","7,29","7,29","7,29","7,29","0,01K","2,68%"
"27/09/2019","7,10","7,10","7,10","7,10","0,05K","0,00%"
"25/09/2019","7,10","7,11","7,34","7,10","1,35K","-2,87%"
"24/09/2019","7,31","7,31","7,31","7,31","0,01K","2,96%"
"23/09/2019","7,10","7,15","7,20","7,10","0,80K","0,00%"
"20/09/2019","7,10","7,10","7,10","7,10","5,55K","0,00%"
"19/09/2019","7,10","7,10","7,10","7,10","4,50K","-0,14%"
"18/09/2019","7,11","7,11","7,11","7,11","0,02K","-2,87%"
"13/09/2019","7,32","7,32","7,32","7,32","0,01K","-1,74%"
"12/09/2019","7,45","7,50","7,69","7,45","0,07K","-0,67%"
"11/09/2019","7,50","7,70","7,70","7,50","0,42K","0,00%"
"10/09/2019","7,50","7,31","7,52","7,31","0,23K","2,60%"
"09/09/2019","7,31","7,10","7,31","7,10","8,35K","2,96%"
"06/09/2019","7,10","6,96","7,10","6,96","3,47K","2,16%"
"05/09/2019","6,95","6,75","6,95","6,75","0,81K","2,96%"
"04/09/2019","6,75","6,75","6,75","6,75","0,01K","2,43%"
"03/09/2019","6,59","6,59","6,59","6,59","0,30K","0,00%"
"28/08/2019","6,59","6,59","6,59","6,59","0,05K","0,15%"
"27/08/2019","6,58","6,40","6,59","6,40","8,00K","2,81%"
"26/08/2019","6,40","6,40","6,40","6,40","6,25K","0,00%"
"22/08/2019","6,40","6,40","6,40","6,40","3,00K","0,00%"
"21/08/2019","6,40","6,30","6,40","6,30","0,65K","1,59%"
"20/08/2019","6,30","6,12","6,30","6,12","0,44K","0,00%"
"16/08/2019","6,30","6,29","6,30","6,29","0,80K","1,61%"
"09/08/2019","6,20","6,19","6,20","6,19","7,66K","-1,59%"
"02/08/2019","6,30","6,30","6,30","6,30","0,15K","2,77%"
"30/07/2019","6,13","6,12","6,13","6,12","2,00K","0,16%"
"26/07/2019","6,12","6,13","6,13","6,12","0,29K","2,00%"
"24/07/2019","6,00","6,00","6,12","6,00","1,14K","0,84%"
"17/07/2019","5,95","5,95","5,95","5,95","1,19K","0,00%"
"15/07/2019","5,95","5,95","5,97","5,95","0,98K","-2,94%"
"11/07/2019","6,13","6,13","6,13","6,13","0,09K","0,16%"
"10/07/2019","6,12","6,12","6,12","6,12","0,09K","2,86%"
"09/07/2019","5,95","6,13","6,13","5,95","0,14K","-2,94%"
"08/07/2019","6,13","6,13","6,13","6,13","0,09K","0,00%"
"05/07/2019","6,13","6,13","6,13","6,13","1,56K","0,00%"
"04/07/2019","6,13","6,12","6,13","6,12","0,08K","0,16%"
"03/07/2019","6,12","5,95","6,12","5,95","0,14K","-0,16%"
"27/06/2019","6,13","6,12","6,13","6,12","0,60K","0,00%"
"26/06/2019","6,13","6,14","6,14","6,13","0,57K","-0,33%"
"25/06/2019","6,15","6,15","6,15","6,15","0,15K","2,50%"
"24/06/2019","6,00","5,73","6,00","5,73","0,07K","0,00%"
"21/06/2019","6,00","5,80","6,00","5,80","0,11K","0,84%"
"20/06/2019","5,95","5,95","5,95","5,95","0,10K","-4,03%"
"19/06/2019","6,20","6,19","6,20","6,19","0,10K","-1,59%"
"17/06/2019","6,30","6,36","6,36","6,20","0,20K","-0,94%"
"14/06/2019","6,36","6,36","6,36","6,36","0,10K","-2,90%"
"10/06/2019","6,55","6,40","6,55","6,40","0,03K","-0,61%"
"07/06/2019","6,59","6,40","6,59","6,40","0,12K","0,00%"
"31/05/2019","6,59","6,59","6,59","6,59","0,11K","0,76%"
"30/05/2019","6,54","6,40","6,54","6,40","1,31K","2,99%"
"29/05/2019","6,35","6,20","6,35","6,20","1,54K","2,42%"
"28/05/2019","6,20","6,20","6,20","6,06","0,17K","0,00%"
"27/05/2019","6,20","6,29","6,40","6,11","0,64K","-1,43%"
"24/05/2019","6,29","6,29","6,29","6,29","0,03K","2,28%"
"22/05/2019","6,15","6,00","6,15","5,90","0,36K","3,36%"
"21/05/2019","5,95","5,95","5,95","5,95","0,19K","0,00%"
"20/05/2019","5,95","6,04","6,04","5,78","0,43K","0,00%"
"17/05/2019","5,95","5,95","5,95","5,95","0,05K","0,00%"
"16/05/2019","5,95","5,95","5,95","5,95","0,60K","1,61%"
"15/05/2019","5,86","5,67","5,86","5,67","0,73K","4,39%"
"14/05/2019","5,61","5,61","5,61","5,61","0,49K","0,00%"
"10/05/2019","5,61","5,67","5,67","5,61","0,31K","-8,33%"
"08/05/2019","6,12","6,12","6,12","6,12","0,02K","0,00%"
"07/05/2019","6,12","6,12","6,12","6,12","0,20K","-2,86%"
"02/05/2019","6,30","6,30","6,30","6,30","0,20K","0,00%"
"29/04/2019","6,30","6,17","6,30","6,17","0,51K","-0,94%"
"26/04/2019","6,36","6,30","6,36","6,30","0,48K","2,91%"
"25/04/2019","6,18","6,18","6,18","6,18","2,25K","3,00%"
"24/04/2019","6,00","5,86","6,00","5,86","9,08K","2,74%"
"23/04/2019","5,84","5,84","5,84","5,84","2,49K","0,00%"
"17/04/2019","5,84","5,84","5,84","5,84","0,21K","-0,17%"
"15/04/2019","5,85","5,85","5,85","5,85","0,38K","-2,50%"
"12/04/2019","6,00","6,00","6,00","6,00","0,68K","2,56%"
"11/04/2019","5,85","6,00","6,00","5,85","0,02K","-2,50%"
"10/04/2019","6,00","6,00","6,00","6,00","0,24K","0,00%"
"08/04/2019","6,00","6,00","6,00","5,71","0,38K","2,56%"
"05/04/2019","5,85","5,85","5,85","5,85","0,02K","1,74%"
"03/04/2019","5,75","5,75","5,75","5,75","0,28K","-1,71%"
"01/04/2019","5,85","5,85","5,86","5,85","0,49K","-2,82%"
"29/03/2019","6,02","6,02","6,02","6,02","0,06K","2,03%"
"28/03/2019","5,90","6,00","6,02","5,90","0,22K","-1,67%"
"27/03/2019","6,00","6,00","6,03","5,95","0,42K","0,00%"
"26/03/2019","6,00","6,00","6,03","6,00","0,98K","2,56%"
"25/03/2019","5,85","5,85","5,85","5,85","6,18K","0,00%"
"22/03/2019","5,85","5,70","5,85","5,67","0,76K","0,86%"
"21/03/2019","5,80","5,80","5,80","5,80","0,10K","0,00%"
"19/03/2019","5,80","5,80","5,80","5,80","0,10K","1,75%"
"18/03/2019","5,70","5,70","5,70","5,70","0,30K","0,00%"
"13/03/2019","5,70","5,70","5,83","5,68","0,95K","-2,56%"
"11/03/2019","5,85","5,85","5,85","5,80","10,88K","0,00%"
"05/03/2019","5,85","5,85","5,85","5,85","0,13K","0,00%"
"01/03/2019","5,85","5,85","5,85","5,85","0,06K","0,00%"
"26/02/2019","5,85","5,85","5,85","5,85","0,01K","0,00%"
